autoID,link.citation,link.methodology,interaction.type,interaction.dimensionality,interaction.classification,con.taxonomy,con.taxonomy.level,con.common,con.lifestage,con.metabolic.type,con.movement.type,con.size.citation,con.size.method,con.length.min.cm.,con.length.mean.cm.,con.length.max.cm.,con.mass.min.g.,con.mass.mean.g.,con.mass.max.g.,res.taxonomy,res.taxonomy.level,res.common,res.lifestage,res.metabolic.type,res.movement.type,res.size.citation,res.size.method,res.length.min.cm.,res.length.mean.cm.,res.length.max.cm.,res.mass.min.g.,res.mass.mean.g.,res.mass.max.g.,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,foodweb.name
220334,Mendonca et al. (2018),,predacious,2D,ibi,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0002,-999,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0002,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220335,Mendonca et al. (2018),,predacious,2D,ibi,Alitta virens,species,Sandworm,,invertebrate,walking,,,-999,-999.0,-999,-999,0.2926,-999,Alitta virens,species,Sandworm,,invertebrate,walking,,,-999,-999.0,-999,-999,0.2926,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220336,Mendonca et al. (2018),,predacious,2D,ibi,Eteone longa,species,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.147,-999,Alitta virens,species,Sandworm,,invertebrate,walking,,,-999,-999.0,-999,-999,0.2926,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220337,Mendonca et al. (2018),,herbivorous,,ibi,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0002,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220338,Mendonca et al. (2018),,herbivorous,,ibi,Mytilus sp.,genus,,,invertebrate,sessile,,,-999,-999.0,-999,-999,2.652,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220339,Mendonca et al. (2018),,herbivorous,,ibi,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220340,Mendonca et al. (2018),,herbivorous,,ibi,Fabricia stellaris,species,,,invertebrate,sessile,,,-999,-999.0,-999,-999,0.0003,-999,PhytoP,,PhytoPlamcton,,primary producer,other,,,-999,-999.0,-999,-999,0.0001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220341,Mendonca et al. (2018),,predacious,3D  ,ibi,Polychaeta,class,,,invertebrate,walking,,,-999,-999.0,-999,-999,0.0002,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220342,Mendonca et al. (2018),,predacious,3D  ,ibi,Alitta virens,species,Sandworm,,invertebrate,walking,,,-999,-999.0,-999,-999,0.2926,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
220343,Mendonca et al. (2018),,predacious,3D  ,ibi,Hediste diversicolor,species,Ragworm (Nereidae),,invertebrate,walking,,,-999,-999.0,-999,-999,0.0362,-999,Zooplankton,,Zooplankton,,invertebrate,swimming,,,-999,-999.0,-999,-999,0.001,-999,Canada,-68.230795,48.612345,marine,Intertidal rocky pools,-999.0,-999.0,,,,,SF1I4
