|====================================================================================|
|    Iteration   |      AUC       |  Time Elapsed  |Encoded subgraph|   Train ratio  |
|                |                |   (hh:mm:ss)   |      (K)       |       %        |
|====================================================================================|
|              1 |         0.8505 |       00:00:01 |              5 |            90% |
|              2 |         0.8557 |       00:00:01 |              5 |            90% |
|              3 |         0.7706 |       00:00:01 |              5 |            90% |
|              4 |         0.6237 |       00:00:01 |              5 |            90% |
|              5 |         0.8763 |       00:00:01 |              5 |            90% |
|              6 |         0.7268 |       00:00:01 |              5 |            90% |
|              7 |         0.8015 |       00:00:01 |              5 |            90% |
|              8 |         0.8505 |       00:00:01 |              5 |            90% |
|              9 |         0.8273 |       00:00:01 |              5 |            90% |
|             10 |         0.8814 |       00:00:01 |              5 |            90% |
|             11 |         0.8196 |       00:00:01 |              5 |            90% |
|             12 |         0.8660 |       00:00:01 |              5 |            90% |
|             13 |         0.7964 |       00:00:01 |              5 |            90% |
|             14 |         0.9536 |       00:00:01 |              5 |            90% |
|             15 |         0.8351 |       00:00:01 |              5 |            90% |
|             16 |         0.7268 |       00:00:01 |              5 |            90% |
|             17 |         0.8454 |       00:00:01 |              5 |            90% |
|             18 |         0.4768 |       00:00:01 |              5 |            90% |
|             19 |         0.7552 |       00:00:01 |              5 |            90% |
|             20 |         0.8686 |       00:00:01 |              5 |            90% |
|             21 |         0.6057 |       00:00:01 |              5 |            90% |
|             22 |         0.8660 |       00:00:01 |              5 |            90% |
|             23 |         0.7268 |       00:00:01 |              5 |            90% |
|             24 |         0.8918 |       00:00:01 |              5 |            90% |
|             25 |         0.8454 |       00:00:01 |              5 |            90% |
|             26 |         0.8918 |       00:00:01 |              5 |            90% |
|             27 |         0.6856 |       00:00:01 |              5 |            90% |
|             28 |         0.4742 |       00:00:01 |              5 |            90% |
|             29 |         0.2629 |       00:00:01 |              5 |            90% |
|             30 |         0.5851 |       00:00:01 |              5 |            90% |
|             31 |         0.8711 |       00:00:01 |              5 |            90% |
|             32 |         0.5799 |       00:00:01 |              5 |            90% |
|             33 |         0.8557 |       00:00:01 |              5 |            90% |
|             34 |         0.8866 |       00:00:01 |              5 |            90% |
|             35 |         0.9175 |       00:00:01 |              5 |            90% |
|             36 |         0.8814 |       00:00:01 |              5 |            90% |
|             37 |         0.8711 |       00:00:01 |              5 |            90% |
|             38 |         0.9175 |       00:00:01 |              5 |            90% |
|             39 |         0.9227 |       00:00:01 |              5 |            90% |
|             40 |         0.0206 |       00:00:01 |              5 |            90% |
|             41 |         0.2809 |       00:00:01 |              5 |            90% |
|             42 |         0.8402 |       00:00:01 |              5 |            90% |
|             43 |         0.9175 |       00:00:01 |              5 |            90% |
|             44 |         0.9175 |       00:00:01 |              5 |            90% |
|             45 |         0.8814 |       00:00:01 |              5 |            90% |
|             46 |         0.6031 |       00:00:01 |              5 |            90% |
|             47 |         0.8763 |       00:00:01 |              5 |            90% |
|             48 |         0.8711 |       00:00:01 |              5 |            90% |
|             49 |         0.8247 |       00:00:01 |              5 |            90% |
|             50 |         0.4175 |       00:00:01 |              5 |            90% |
|              1 |         0.5515 |       00:00:01 |              6 |            90% |
|              2 |         0.5309 |       00:00:01 |              6 |            90% |
|              3 |         0.5928 |       00:00:01 |              6 |            90% |
|              4 |         0.7500 |       00:00:01 |              6 |            90% |
|              5 |         0.0928 |       00:00:01 |              6 |            90% |
|              6 |         0.7062 |       00:00:01 |              6 |            90% |
|              7 |         0.5155 |       00:00:01 |              6 |            90% |
|              8 |         0.5284 |       00:00:01 |              6 |            90% |
|              9 |         0.8660 |       00:00:01 |              6 |            90% |
|             10 |         0.8582 |       00:00:01 |              6 |            90% |
|             11 |         0.8557 |       00:00:01 |              6 |            90% |
|             12 |         0.8711 |       00:00:01 |              6 |            90% |
|             13 |         0.7500 |       00:00:01 |              6 |            90% |
|             14 |         0.4742 |       00:00:01 |              6 |            90% |
|             15 |         0.5000 |       00:00:01 |              6 |            90% |
|             16 |         0.8247 |       00:00:01 |              6 |            90% |
|             17 |         0.9124 |       00:00:01 |              6 |            90% |
|             18 |         0.4510 |       00:00:01 |              6 |            90% |
|             19 |         0.4691 |       00:00:01 |              6 |            90% |
|             20 |         0.2474 |       00:00:01 |              6 |            90% |
|             21 |         0.9021 |       00:00:01 |              6 |            90% |
|             22 |         0.7294 |       00:00:01 |              6 |            90% |
|             23 |         0.4974 |       00:00:01 |              6 |            90% |
|             24 |         0.8273 |       00:00:01 |              6 |            90% |
|             25 |         0.7629 |       00:00:01 |              6 |            90% |
|             26 |         0.8015 |       00:00:01 |              6 |            90% |
|             27 |         0.8454 |       00:00:01 |              6 |            90% |
|             28 |         0.9124 |       00:00:01 |              6 |            90% |
|             29 |         0.4691 |       00:00:01 |              6 |            90% |
|             30 |         0.4304 |       00:00:01 |              6 |            90% |
|             31 |         0.4175 |       00:00:01 |              6 |            90% |
|             32 |         0.4588 |       00:00:01 |              6 |            90% |
|             33 |         0.1443 |       00:00:01 |              6 |            90% |
|             34 |         0.9072 |       00:00:01 |              6 |            90% |
|             35 |         0.8763 |       00:00:01 |              6 |            90% |
|             36 |         0.6392 |       00:00:01 |              6 |            90% |
|             37 |         0.5026 |       00:00:01 |              6 |            90% |
|             38 |         0.8711 |       00:00:01 |              6 |            90% |
|             39 |         0.2113 |       00:00:01 |              6 |            90% |
|             40 |         0.8763 |       00:00:01 |              6 |            90% |
|             41 |         0.5902 |       00:00:01 |              6 |            90% |
|             42 |         0.8376 |       00:00:01 |              6 |            90% |
|             43 |         0.0670 |       00:00:01 |              6 |            90% |
|             44 |         0.6495 |       00:00:01 |              6 |            90% |
|             45 |         0.7423 |       00:00:01 |              6 |            90% |
|             46 |         0.9278 |       00:00:01 |              6 |            90% |
|             47 |         0.3454 |       00:00:01 |              6 |            90% |
|             48 |         0.4433 |       00:00:01 |              6 |            90% |
|             49 |         0.5464 |       00:00:01 |              6 |            90% |
|             50 |         0.8763 |       00:00:01 |              6 |            90% |
|              1 |         0.6598 |       00:00:01 |              7 |            90% |
|              2 |         0.6804 |       00:00:01 |              7 |            90% |
|              3 |         0.9433 |       00:00:01 |              7 |            90% |
|              4 |         0.8789 |       00:00:01 |              7 |            90% |
|              5 |         0.7191 |       00:00:01 |              7 |            90% |
|              6 |         0.1418 |       00:00:01 |              7 |            90% |
|              7 |         0.9845 |       00:00:01 |              7 |            90% |
|              8 |         0.6469 |       00:00:01 |              7 |            90% |
|              9 |         0.8866 |       00:00:01 |              7 |            90% |
|             10 |         0.8918 |       00:00:01 |              7 |            90% |
|             11 |         0.8041 |       00:00:01 |              7 |            90% |
|             12 |         0.0928 |       00:00:01 |              7 |            90% |
|             13 |         0.7964 |       00:00:01 |              7 |            90% |
|             14 |         0.2423 |       00:00:01 |              7 |            90% |
|             15 |         0.3789 |       00:00:01 |              7 |            90% |
|             16 |         0.6160 |       00:00:01 |              7 |            90% |
|             17 |         0.1959 |       00:00:01 |              7 |            90% |
|             18 |         0.3093 |       00:00:01 |              7 |            90% |
|             19 |         0.0258 |       00:00:01 |              7 |            90% |
|             20 |         0.8067 |       00:00:01 |              7 |            90% |
|             21 |         0.5052 |       00:00:01 |              7 |            90% |
|             22 |         0.4175 |       00:00:01 |              7 |            90% |
|             23 |         0.6108 |       00:00:01 |              7 |            90% |
|             24 |         0.4381 |       00:00:01 |              7 |            90% |
|             25 |         0.6521 |       00:00:01 |              7 |            90% |
|             26 |         0.3196 |       00:00:01 |              7 |            90% |
|             27 |         0.2603 |       00:00:01 |              7 |            90% |
|             28 |         0.7706 |       00:00:01 |              7 |            90% |
|             29 |         0.8119 |       00:00:01 |              7 |            90% |
|             30 |         0.9485 |       00:00:01 |              7 |            90% |
|             31 |         0.8918 |       00:00:01 |              7 |            90% |
|             32 |         0.7088 |       00:00:01 |              7 |            90% |
|             33 |         0.8376 |       00:00:01 |              7 |            90% |
|             34 |         0.2320 |       00:00:01 |              7 |            90% |
|             35 |         0.8196 |       00:00:01 |              7 |            90% |
|             36 |         0.7216 |       00:00:01 |              7 |            90% |
|             37 |         0.8067 |       00:00:01 |              7 |            90% |
|             38 |         0.7397 |       00:00:01 |              7 |            90% |
|             39 |         0.7423 |       00:00:01 |              7 |            90% |
|             40 |         0.7938 |       00:00:01 |              7 |            90% |
|             41 |         0.1392 |       00:00:01 |              7 |            90% |
|             42 |         0.1340 |       00:00:01 |              7 |            90% |
|             43 |         0.7809 |       00:00:01 |              7 |            90% |
|             44 |         0.4227 |       00:00:01 |              7 |            90% |
|             45 |         0.7294 |       00:00:01 |              7 |            90% |
|             46 |         0.9433 |       00:00:01 |              7 |            90% |
|             47 |         0.8505 |       00:00:01 |              7 |            90% |
|             48 |         0.8840 |       00:00:01 |              7 |            90% |
|             49 |         0.0309 |       00:00:01 |              7 |            90% |
|             50 |         0.6727 |       00:00:01 |              7 |            90% |
|              1 |         0.4845 |       00:00:01 |              8 |            90% |
|              2 |         0.6572 |       00:00:01 |              8 |            90% |
|              3 |         0.8299 |       00:00:01 |              8 |            90% |
|              4 |         0.6675 |       00:00:01 |              8 |            90% |
|              5 |         0.7088 |       00:00:01 |              8 |            90% |
|              6 |         0.3144 |       00:00:01 |              8 |            90% |
|              7 |         0.0155 |       00:00:01 |              8 |            90% |
|              8 |         0.3299 |       00:00:01 |              8 |            90% |
|              9 |         0.7113 |       00:00:01 |              8 |            90% |
|             10 |         0.0052 |       00:00:01 |              8 |            90% |
|             11 |         0.8454 |       00:00:01 |              8 |            90% |
|             12 |         0.0155 |       00:00:01 |              8 |            90% |
|             13 |         0.0155 |       00:00:01 |              8 |            90% |
|             14 |         0.6005 |       00:00:01 |              8 |            90% |
|             15 |         0.7294 |       00:00:01 |              8 |            90% |
|             16 |         0.0103 |       00:00:01 |              8 |            90% |
|             17 |         0.0052 |       00:00:01 |              8 |            90% |
|             18 |         0.7732 |       00:00:01 |              8 |            90% |
|             19 |         0.0103 |       00:00:01 |              8 |            90% |
|             20 |         0.4871 |       00:00:01 |              8 |            90% |
|             21 |         0.0103 |       00:00:01 |              8 |            90% |
|             22 |         0.8119 |       00:00:01 |              8 |            90% |
|             23 |         0.5928 |       00:00:01 |              8 |            90% |
|             24 |         0.7784 |       00:00:01 |              8 |            90% |
|             25 |         0.7809 |       00:00:01 |              8 |            90% |
|             26 |         0.7577 |       00:00:01 |              8 |            90% |
|             27 |         0.0258 |       00:00:01 |              8 |            90% |
|             28 |         0.4356 |       00:00:01 |              8 |            90% |
|             29 |         0.5361 |       00:00:01 |              8 |            90% |
|             30 |         0.4768 |       00:00:01 |              8 |            90% |
|             31 |         0.4510 |       00:00:01 |              8 |            90% |
|             32 |         0.6830 |       00:00:01 |              8 |            90% |
|             33 |         0.4046 |       00:00:01 |              8 |            90% |
|             34 |         0.7474 |       00:00:01 |              8 |            90% |
|             35 |         0.7294 |       00:00:01 |              8 |            90% |
|             36 |         0.3608 |       00:00:01 |              8 |            90% |
|             37 |         0.6134 |       00:00:01 |              8 |            90% |
|             38 |         0.4845 |       00:00:01 |              8 |            90% |
|             39 |         0.6160 |       00:00:01 |              8 |            90% |
|             40 |         0.5129 |       00:00:01 |              8 |            90% |
|             41 |         0.6031 |       00:00:01 |              8 |            90% |
|             42 |         0.0155 |       00:00:01 |              8 |            90% |
|             43 |         0.0103 |       00:00:01 |              8 |            90% |
|             44 |         0.9459 |       00:00:01 |              8 |            90% |
|             45 |         0.5412 |       00:00:01 |              8 |            90% |
|             46 |         0.4098 |       00:00:01 |              8 |            90% |
|             47 |         0.0103 |       00:00:01 |              8 |            90% |
|             48 |         0.6469 |       00:00:01 |              8 |            90% |
|             49 |         0.2191 |       00:00:01 |              8 |            90% |
|             50 |         0.0103 |       00:00:01 |              8 |            90% |
|              1 |         0.5155 |       00:00:01 |              9 |            90% |
|              2 |         0.6753 |       00:00:01 |              9 |            90% |
|              3 |         0.9098 |       00:00:01 |              9 |            90% |
|              4 |         0.7139 |       00:00:01 |              9 |            90% |
|              5 |         0.5206 |       00:00:01 |              9 |            90% |
|              6 |         0.3351 |       00:00:01 |              9 |            90% |
|              7 |         0.9124 |       00:00:01 |              9 |            90% |
|              8 |         0.2088 |       00:00:01 |              9 |            90% |
|              9 |         0.4356 |       00:00:01 |              9 |            90% |
|             10 |         0.9124 |       00:00:01 |              9 |            90% |
|             11 |         0.9485 |       00:00:01 |              9 |            90% |
|             12 |         0.9691 |       00:00:01 |              9 |            90% |
|             13 |         0.0206 |       00:00:01 |              9 |            90% |
|             14 |         0.5129 |       00:00:01 |              9 |            90% |
|             15 |         0.6933 |       00:00:01 |              9 |            90% |
|             16 |         0.7294 |       00:00:01 |              9 |            90% |
|             17 |         0.2242 |       00:00:01 |              9 |            90% |
|             18 |         0.0464 |       00:00:01 |              9 |            90% |
|             19 |         0.8428 |       00:00:01 |              9 |            90% |
|             20 |         0.7500 |       00:00:01 |              9 |            90% |
|             21 |         0.4613 |       00:00:01 |              9 |            90% |
|             22 |         0.3660 |       00:00:01 |              9 |            90% |
|             23 |         0.9124 |       00:00:01 |              9 |            90% |
|             24 |         0.3660 |       00:00:01 |              9 |            90% |
|             25 |         0.7345 |       00:00:01 |              9 |            90% |
|             26 |         0.5000 |       00:00:01 |              9 |            90% |
|             27 |         0.7552 |       00:00:01 |              9 |            90% |
|             28 |         0.5026 |       00:00:01 |              9 |            90% |
|             29 |         0.9510 |       00:00:01 |              9 |            90% |
|             30 |         0.7448 |       00:00:01 |              9 |            90% |
|             31 |         0.7784 |       00:00:01 |              9 |            90% |
|             32 |         0.5954 |       00:00:01 |              9 |            90% |
|             33 |         0.0077 |       00:00:01 |              9 |            90% |
|             34 |         0.5928 |       00:00:01 |              9 |            90% |
|             35 |         0.0077 |       00:00:01 |              9 |            90% |
|             36 |         0.4613 |       00:00:01 |              9 |            90% |
|             37 |         0.6985 |       00:00:01 |              9 |            90% |
|             38 |         0.6521 |       00:00:01 |              9 |            90% |
|             39 |         0.0052 |       00:00:01 |              9 |            90% |
|             40 |         0.5155 |       00:00:01 |              9 |            90% |
|             41 |         0.3918 |       00:00:01 |              9 |            90% |
|             42 |         0.4381 |       00:00:01 |              9 |            90% |
|             43 |         0.7938 |       00:00:01 |              9 |            90% |
|             44 |         0.2603 |       00:00:01 |              9 |            90% |
|             45 |         0.5103 |       00:00:01 |              9 |            90% |
