Prey,Predator,PreyMass,PredatorMass
amoebae,Enchytraeidae,2.8e-08,-999
roots,mykorrhiza,-999,-999
roots,root feeding nematodes,-999,2.35e-07
Enchytraeidae,Oribatida sp. (juv),-999,7.36e-07
algae,Sminthurinus aureus,-999,5.1e-06
bacterivorous nematodes,Suctobelbella sp.,8.52e-07,6.17e-06
omnivorous nematodes,Suctobelbella sp.,6.02e-05,6.17e-06
Folsomia quadrioculata,Pergamasinae (juv) {xs},5.41e-06,6.46e-06
Isotomiella minor,Pergamasinae (juv) {xs},3.27e-06,6.46e-06
Sminthurinus aureus,Pergamasinae (juv) {xs},5.1e-06,6.46e-06
Onychiuridae,Veigaia exigua (juv),6.75e-06,8.43e-06
leaf litter,Megalothorax minimus,-999,1.52e-05
bacterivorous nematodes,Oppiella obsoleta,8.52e-07,1.58e-05
root feeding nematodes,Oppiella obsoleta,2.35e-07,1.58e-05
Veigaia exigua (juv),Veigaia exigua,8.43e-06,1.59e-05
fungivorous nematodes,Pachyseius humeralis,5.35e-07,3.28e-05
Veigaia exigua (juv),Veigaia nemorensis,8.43e-06,4.83e-05
plants,omnivorous nematodes,-999,6.02e-05
algae,Eulohmannia ribagai,-999,8.7e-05
Saloca diceros,Lithobius sp2 {l},0.001156146,0.000157031
Lithobius sp2 {l},Tachyusa sp. (juv),0.000157031,0.000198338
Veigaia exigua (juv),Tachyusa sp. (juv),8.43e-06,0.000198338
Neobisium sp.,Lithobius sp3 {m},0.001603525,0.000204057
Trichoniscus sp.,Lithobius sp3 {m},0.001742812,0.000204057
plants,Pulmonata sp. (juv),-999,0.000232019
Lithobius sp2 {l},Athous subfuscus (juv) {m},0.000157031,0.000471002
Tachyusa sp. (juv),Athous subfuscus (juv) {m},0.000198338,0.000471002
Veigaia exigua (juv),Scydmaenidae sp2,8.43e-06,0.000550589
Linyphiidae (juv),Geostiba circellaris,0.000519895,0.001056938
Scutigerella immaculata {m},Tenuiphantes tenebricola,0.000203722,0.001080164
Scydmaenidae sp2,Saloca diceros,0.000550589,0.001156146
Tenuiphantes tenebricola,Xantholinus sp. (juv) {m},0.001080164,0.001552369
Neobisium sp.,Diplocephalus picinus,0.001603525,0.001612679
Chordeumatidae (juv) {s},Lithobius cf. mutabilis (juv),0.000194267,0.001784674
Glomeris sp. (juv) {m},Lithobius cf. mutabilis (juv),0.000269864,0.001784674
Lithobius cf. mutabilis (juv),Salticidae sp. (juv),0.001784674,0.001820737
Plectophoreus fischeri,Tenuiphantes tenuis,0.000326196,0.001997645
Salticidae sp. (juv),Campodea sp. {l},0.001820737,0.002292383
Tenuiphantes tenuis,Campodea sp. {l},0.001997645,0.002292383
Veigaia nemorensis,Campodea sp. {l},4.83e-05,0.002292383
Quedius sp. (juv),Harpactea lepida (juv) small,0.002088641,0.002996785
Nargus anisotomoides,Walckenaeria cuspidata,0.001385543,0.003001519
plants,Discus rotundatus (juv),-999,0.003997226
Cylisticus sp.,Staphylinidae spec,0.003154401,0.004003596
Discus rotundatus (juv),Staphylinidae spec,0.003997226,0.004003596
Phthiracarus compressus,Geophilus ribauti,0.000123863,0.004253993
Cylisticus sp.,Cantharidae sp.,0.003154401,0.004843955
Discus rotundatus (juv),Cantharidae sp.,0.003997226,0.004843955
Geophilus ribauti,Harpactea lepida (juv) large,0.004253993,0.004962887
Lithobius muticus,Harpactea lepida (juv) large,0.003677257,0.004962887
Geophilus insculptus,Strigamia acuminata,0.005906476,0.006997365
Robertus lividus,Xantholinus laevigatus,0.008396656,0.010916669
Harpactea lepida (juv) large,Harpactea lepida large,0.004962887,0.014693674
Lithobius muticus,Harpactea lepida large,0.003677257,0.014693674
Staphylinidae spec,Harpactea lepida large,0.004003596,0.014693674
Tenuiphantes tenuis,Harpactea lepida large,0.001997645,0.014693674
Curculionidae sp. (juv),Coelotes sp. (juv) {xl},0.017685976,0.018715775
Coelotes sp. (juv) {xl},Histopona torpida,0.018715775,0.030705366
Xantholinus laevigatus,Histopona torpida,0.010916669,0.030705366
Trachelipus sp.,Harpalus sp.,0.009576654,0.038172623
Brachyderinae sp.,Callobius claustrarius,0.007247949,0.077277391
saphrophytes,Clausilia bidentata,-999,0.079863719
Tenuiphantes tenuis,Abax ovalis,0.001997645,0.178420123
plants,Limacidae sp.,-999,0.184894
saphrophytes,Limacidae sp.,-999,0.184894
Elateridae sp1 (juv) {l},Cychrus attenuatus,0.01092301,0.51825924
Octolasion tyrtaeum{xxl},Cychrus attenuatus,0.495,0.51825924
leaf litter,Lumbricus terrestris (juv) {xxxl},-999,2.295738095
