Prey,Predator,PreyMass,PredatorMass
Asparagopsis armata,PhytoP,0.000228,0.0001
Gibbula umbilicalis,Omalogyra atomus,0.368,0.0008
Musculus costulatus,Omalogyra atomus,0.0099,0.0008
Mytilus galloprovincialis,Omalogyra atomus,0.277,0.0008
PhytoP,Omalogyra atomus,0.0001,0.0008
Leathesia marina,Copepoda,0.000228,0.001
Sphacelaria cirrosa,Copepoda,0.000228,0.001
Ophiuroidea,Tanaidacea,0.0039,0.0011
Patella ulyssiponensis,Tanaidacea,0.0042,0.0011
Gibbula umbilicalis,Ampithoidae,0.368,0.0012
Copepoda,Barleeia sp.,0.001,0.003
Patella ulyssiponensis,Barleeia sp.,0.0042,0.003
PhytoP,Barleeia sp.,0.0001,0.003
Polychaeta,Barleeia sp.,0.0064,0.003
Zooplankton,Patella ulyssiponensis,0.001,0.0042
Chondrus crispus,Nematoda,0.000228,0.01
Insecta,Gobius paganellus,0.0002,0.2273
Holothuria sp.,Eriphia verrucosa,0.01,0.73
Nematoda,Eriphia verrucosa,0.01,0.73
Rissoidae,Eriphia verrucosa,0.0028,0.73
Copepoda,Paracentrotus lividus,0.001,4.04
Colpomenia peregrina,Anemonia sulcata,0.000228,40.89
