Prey,Predator,PreyMass,PredatorMass
Algae,Detritus,8.21e-07,-999
Fungi,Detritus,4.46244769,-999
Rhizophora mangle,Detritus,0.057932236,-999
Amblyseius,Ornitnonyssus bursa,0.0004,3.77e-09
Littorina angulifera,Ornitnonyssus bursa,0.588325869,3.77e-09
Tachys occulator,Ornitnonyssus bursa,0.0035,3.77e-09
Fungi,Algae,4.46244769,8.21e-07
Amblyseius,Pellonyssus,0.0004,2.71e-06
Aysha velox,Pellonyssus,0.0065,2.71e-06
Hentzia palmarum,Pellonyssus,0.006,2.71e-06
Littorina angulifera,Pellonyssus,0.588325869,2.71e-06
Scheloribates,Pellonyssus,0.000282,2.71e-06
Tachys occulator,Pellonyssus,0.0035,2.71e-06
Veigaia,Pellonyssus,0.000795,2.71e-06
Actinopteryx fucicola,Bdella,0.000866,8.52e-06
Anisomeristes,Bdella,3.62e-05,8.52e-06
Aratus pisonii,Bdella,0.311301534,8.52e-06
Bembidion contractum,Bdella,0.0051,8.52e-06
Dendroica,Bdella,8,8.52e-06
Fungi,Bdella,4.46244769,8.52e-06
Ligia exotica,Bdella,1.348779475,8.52e-06
Natrix,Bdella,100,8.52e-06
Odonata,Bdella,0.399604248,8.52e-06
Pentacora sphacelata,Bdella,0.032069663,8.52e-06
Phalacrocorax dilophus,Bdella,2568.732374,8.52e-06
Staphylinidae,Bdella,0.0476,8.52e-06
Actinopteryx fucicola,Anisomeristes,0.000866,3.62e-05
Algae,Anisomeristes,8.21e-07,3.62e-05
Pentacora sphacelata,Anisomeristes,0.032069663,3.62e-05
Rhizophora mangle,Anisomeristes,0.057932236,3.62e-05
Veigaia,Anisomeristes,0.000795,3.62e-05
Algae,Amblyseius,8.21e-07,0.0004
Apidae,Amblyseius,0.001671743,0.0004
Detritus,Amblyseius,-999,0.0004
Fungi,Amblyseius,4.46244769,0.0004
Liposcelis bostrychophilus,Amblyseius,0.00325,0.0004
Natrix,Amblyseius,100,0.0004
Neotermes castaneus,Amblyseius,0.006623951,0.0004
Pentacora sphacelata,Amblyseius,0.032069663,0.0004
Phocides batabano,Amblyseius,1.36330884,0.0004
Phoebis agarithe,Amblyseius,5.536546454,0.0004
Pseudomyrmex elongatus,Amblyseius,0.016248394,0.0004
Rhizophora mangle,Anurida maritima,0.057932236,0.00065
Tachys occulator,Anurida maritima,0.0035,0.00065
Veigaia,Anurida maritima,0.000795,0.00065
Rhizophora mangle,Axelsonia littoralis,0.057932236,0.00074676
Xenomyrmex floridanus,Axelsonia littoralis,0.000760079,0.00074676
Ornitnonyssus bursa,Xenomyrmex floridanus,3.77e-09,0.000760079
Agelaius phoeniceus,Veigaia,54.5,0.000795
Ascia monuste,Veigaia,6.828348317,0.000795
