Prey,Predator,PreyMass,PredatorMass
Achipteria coleoptrata,Enchytraeidae,5e-05,-999
Achipteria coleoptrata,mykorrhiza,5e-05,-999
Achipteria coleoptrata,saphrophytes,5e-05,-999
Agriotes aterrimus (juv),Enchytraeidae,0.003631715,-999
Aleocharinae sp1 (juv),Enchytraeidae,0.000349987,-999
Atheta sp. (juv),Enchytraeidae,0.000175231,-999
Athous subfuscus (juv) {m},Enchytraeidae,0.000471002,-999
Brachyderinae sp.,Enchytraeidae,0.007247949,-999
Campodea sp. {l},Enchytraeidae,0.002292383,-999
Carabidae sp.,Enchytraeidae,0.065971077,-999
Carabidae sp.,mykorrhiza,0.065971077,-999
Carabidae sp.,saphrophytes,0.065971077,-999
Ceratophysella denticulata,Enchytraeidae,5.96e-06,-999
Damaeus riparius,Enchytraeidae,0.000216929,-999
Damaeus riparius,mykorrhiza,0.000216929,-999
Damaeus riparius,saphrophytes,0.000216929,-999
Enchytraeidae,Enchytraeidae,-999,-999
Enchytraeidae,mykorrhiza,-999,-999
Enchytraeidae,saphrophytes,-999,-999
Eupelops hirtus,Enchytraeidae,0.000241607,-999
Eupelops hirtus,mykorrhiza,0.000241607,-999
Eupelops hirtus,saphrophytes,0.000241607,-999
Folsomia quadrioculata,Enchytraeidae,5.41e-06,-999
Geophilomorpha sp.,Enchytraeidae,0.006669259,-999
Geophilomorpha sp.,mykorrhiza,0.006669259,-999
Geophilomorpha sp.,saphrophytes,0.006669259,-999
Geostiba circellaris,Enchytraeidae,0.001056938,-999
Gnaphosidae sp. (juv),Enchytraeidae,0.004960839,-999
Hypoaspis aculeifer,Enchytraeidae,4.51e-05,-999
Isotomiella minor,Enchytraeidae,3.27e-06,-999
Julidae sp.,Enchytraeidae,0.00617,-999
Leioseius bicolor,Enchytraeidae,8.3e-06,-999
Lepidocyrtus lanuginosus,Enchytraeidae,8.99e-06,-999
Leptogamasus suecicus,Enchytraeidae,1.44e-05,-999
Linyphiidae (juv),Enchytraeidae,0.000519895,-999
Linyphiidae cf Erigoniinae (juv) {m},Enchytraeidae,0.000220271,-999
Lipothrix lubbocki,Enchytraeidae,1.11e-05,-999
Lithobius sp.,Enchytraeidae,0.00359344,-999
Lysigamasus runcatellus,Enchytraeidae,4.31e-05,-999
Megalothorax minimus,Enchytraeidae,1.52e-05,-999
Mesaphorura macrochaeta,Enchytraeidae,1.46e-05,-999
Mesaphorura sp.,Enchytraeidae,1.46e-05,-999
Mesaphorura yosii,Enchytraeidae,1.43e-06,-999
Micraphorura absoloni,Enchytraeidae,3.88e-06,-999
Microneta viaria,Enchytraeidae,0.001863227,-999
Nanhermannia elegantula,Enchytraeidae,5.52e-05,-999
Nanhermannia elegantula,mykorrhiza,5.52e-05,-999
Nanhermannia elegantula,saphrophytes,5.52e-05,-999
Nanhermannia nana,Enchytraeidae,6.37e-05,-999
Nanhermannia nana,mykorrhiza,6.37e-05,-999
Nanhermannia nana,saphrophytes,6.37e-05,-999
Neobisium sp.,Enchytraeidae,0.001603525,-999
Nothrus silvestris,Enchytraeidae,8.43e-05,-999
Nothrus silvestris,mykorrhiza,8.43e-05,-999
Nothrus silvestris,saphrophytes,8.43e-05,-999
Oodes helipioides,Enchytraeidae,0.027943755,-999
Oribatella calcarata,Enchytraeidae,6.23e-05,-999
Oribatella calcarata,mykorrhiza,6.23e-05,-999
Oribatella calcarata,saphrophytes,6.23e-05,-999
Oribatida sp. (juv),Enchytraeidae,7.36e-07,-999
Oribatida sp. (juv),mykorrhiza,7.36e-07,-999
Oribatida sp. (juv),saphrophytes,7.36e-07,-999
Parisotoma notabilis,Enchytraeidae,2.41e-06,-999
Pergamasinae (juv) {s},Enchytraeidae,1.87e-05,-999
Phalangiidae sp. (juv),Enchytraeidae,0.005966949,-999
Phthiracarus laevigatus,Enchytraeidae,0.000367071,-999
Phthiracarus laevigatus,mykorrhiza,0.000367071,-999
Phthiracarus laevigatus,saphrophytes,0.000367071,-999
Protaphorura armata,Enchytraeidae,8.73e-06,-999
Pterostichus sp.,Enchytraeidae,0.14115915,-999
Pterostichus sp.,mykorrhiza,0.14115915,-999
Pterostichus sp.,saphrophytes,0.14115915,-999
Rhysotritia duplicata,Enchytraeidae,0.000173747,-999
Rhysotritia duplicata,mykorrhiza,0.000173747,-999
Rhysotritia duplicata,saphrophytes,0.000173747,-999
Schendyla nemorensis,Enchytraeidae,0.005111424,-999
Staphylinidae spec,Enchytraeidae,0.004003596,-999
Tapinocyba insecta,Enchytraeidae,0.001163738,-999
Tapinocyba praecox,Enchytraeidae,0.000410938,-999
Theridiidae sp. (juv),Enchytraeidae,0.003831577,-999
Trachytes aegrota,Enchytraeidae,3.7e-05,-999
Trachytes aegrota (juv) {s},Enchytraeidae,2.42e-05,-999
Uropoda minima,Enchytraeidae,1.34e-05,-999
Uropoda minima (juv),Enchytraeidae,7.91e-06,-999
Veigaia nemorensis,Enchytraeidae,4.83e-05,-999
Veigaia nemorensis (juv),Enchytraeidae,1.79e-05,-999
Vulgarogamasus kraepelini,Enchytraeidae,0.000101723,-999
Xantholinus sp. (juv) {s},Enchytraeidae,0.000392277,-999
Zercon cf peltatus,Enchytraeidae,1.34e-05,-999
Zercon cf peltatus (juv),Enchytraeidae,8.22e-06,-999
algae,Enchytraeidae,-999,-999
algae,mykorrhiza,-999,-999
algae,saphrophytes,-999,-999
amoebae,Enchytraeidae,2.8e-08,-999
amoebae,mykorrhiza,2.8e-08,-999
amoebae,saphrophytes,2.8e-08,-999
bacteria,Enchytraeidae,9.5e-16,-999
bacteria,mykorrhiza,9.5e-16,-999
bacteria,saphrophytes,9.5e-16,-999
bacterivorous nematodes,Enchytraeidae,8.52e-07,-999
bacterivorous nematodes,mykorrhiza,8.52e-07,-999
bacterivorous nematodes,saphrophytes,8.52e-07,-999
ciliates,Enchytraeidae,2.63e-09,-999
ciliates,mykorrhiza,2.63e-09,-999
ciliates,saphrophytes,2.63e-09,-999
dead organic matter,Enchytraeidae,-999,-999
dead organic matter,mykorrhiza,-999,-999
dead organic matter,saphrophytes,-999,-999
flagellates,Enchytraeidae,3.63e-07,-999
flagellates,mykorrhiza,3.63e-07,-999
flagellates,saphrophytes,3.63e-07,-999
fungivorous nematodes,Enchytraeidae,5.35e-07,-999
fungivorous nematodes,mykorrhiza,5.35e-07,-999
fungivorous nematodes,saphrophytes,5.35e-07,-999
leaf litter,Enchytraeidae,-999,-999
leaf litter,mykorrhiza,-999,-999
leaf litter,saphrophytes,-999,-999
mykorrhiza,Enchytraeidae,-999,-999
mykorrhiza,mykorrhiza,-999,-999
mykorrhiza,saphrophytes,-999,-999
omnivorous nematodes,Enchytraeidae,6.02e-05,-999
omnivorous nematodes,mykorrhiza,6.02e-05,-999
omnivorous nematodes,saphrophytes,6.02e-05,-999
plants,Enchytraeidae,-999,-999
plants,mykorrhiza,-999,-999
plants,saphrophytes,-999,-999
predacious nematodes,Enchytraeidae,3.56e-06,-999
predacious nematodes,mykorrhiza,3.56e-06,-999
predacious nematodes,saphrophytes,3.56e-06,-999
root exudates,Enchytraeidae,-999,-999
root exudates,mykorrhiza,-999,-999
root exudates,saphrophytes,-999,-999
root feeding nematodes,Enchytraeidae,2.35e-07,-999
root feeding nematodes,mykorrhiza,2.35e-07,-999
root feeding nematodes,saphrophytes,2.35e-07,-999
roots,Enchytraeidae,-999,-999
roots,mykorrhiza,-999,-999
roots,saphrophytes,-999,-999
saphrophytes,Enchytraeidae,-999,-999
saphrophytes,mykorrhiza,-999,-999
saphrophytes,saphrophytes,-999,-999
Achipteria coleoptrata,bacteria,5e-05,9.5e-16
Carabidae sp.,bacteria,0.065971077,9.5e-16
Damaeus riparius,bacteria,0.000216929,9.5e-16
Enchytraeidae,bacteria,-999,9.5e-16
Eupelops hirtus,bacteria,0.000241607,9.5e-16
Geophilomorpha sp.,bacteria,0.006669259,9.5e-16
Nanhermannia elegantula,bacteria,5.52e-05,9.5e-16
Nanhermannia nana,bacteria,6.37e-05,9.5e-16
Nothrus silvestris,bacteria,8.43e-05,9.5e-16
Oribatella calcarata,bacteria,6.23e-05,9.5e-16
Oribatida sp. (juv),bacteria,7.36e-07,9.5e-16
Phthiracarus laevigatus,bacteria,0.000367071,9.5e-16
Pterostichus sp.,bacteria,0.14115915,9.5e-16
Rhysotritia duplicata,bacteria,0.000173747,9.5e-16
algae,bacteria,-999,9.5e-16
amoebae,bacteria,2.8e-08,9.5e-16
bacteria,bacteria,9.5e-16,9.5e-16
bacterivorous nematodes,bacteria,8.52e-07,9.5e-16
ciliates,bacteria,2.63e-09,9.5e-16
dead organic matter,bacteria,-999,9.5e-16
flagellates,bacteria,3.63e-07,9.5e-16
fungivorous nematodes,bacteria,5.35e-07,9.5e-16
leaf litter,bacteria,-999,9.5e-16
mykorrhiza,bacteria,-999,9.5e-16
omnivorous nematodes,bacteria,6.02e-05,9.5e-16
plants,bacteria,-999,9.5e-16
predacious nematodes,bacteria,3.56e-06,9.5e-16
root exudates,bacteria,-999,9.5e-16
root feeding nematodes,bacteria,2.35e-07,9.5e-16
roots,bacteria,-999,9.5e-16
saphrophytes,bacteria,-999,9.5e-16
Achipteria coleoptrata,ciliates,5e-05,2.63e-09
Carabidae sp.,ciliates,0.065971077,2.63e-09
Damaeus riparius,ciliates,0.000216929,2.63e-09
Enchytraeidae,ciliates,-999,2.63e-09
Eupelops hirtus,ciliates,0.000241607,2.63e-09
Geophilomorpha sp.,ciliates,0.006669259,2.63e-09
Nanhermannia elegantula,ciliates,5.52e-05,2.63e-09
Nanhermannia nana,ciliates,6.37e-05,2.63e-09
Nothrus silvestris,ciliates,8.43e-05,2.63e-09
Oribatella calcarata,ciliates,6.23e-05,2.63e-09
Oribatida sp. (juv),ciliates,7.36e-07,2.63e-09
Phthiracarus laevigatus,ciliates,0.000367071,2.63e-09
Pterostichus sp.,ciliates,0.14115915,2.63e-09
Rhysotritia duplicata,ciliates,0.000173747,2.63e-09
algae,ciliates,-999,2.63e-09
amoebae,ciliates,2.8e-08,2.63e-09
bacteria,ciliates,9.5e-16,2.63e-09
bacterivorous nematodes,ciliates,8.52e-07,2.63e-09
ciliates,ciliates,2.63e-09,2.63e-09
dead organic matter,ciliates,-999,2.63e-09
flagellates,ciliates,3.63e-07,2.63e-09
fungivorous nematodes,ciliates,5.35e-07,2.63e-09
leaf litter,ciliates,-999,2.63e-09
mykorrhiza,ciliates,-999,2.63e-09
omnivorous nematodes,ciliates,6.02e-05,2.63e-09
plants,ciliates,-999,2.63e-09
predacious nematodes,ciliates,3.56e-06,2.63e-09
root exudates,ciliates,-999,2.63e-09
root feeding nematodes,ciliates,2.35e-07,2.63e-09
roots,ciliates,-999,2.63e-09
saphrophytes,ciliates,-999,2.63e-09
Achipteria coleoptrata,amoebae,5e-05,2.8e-08
Carabidae sp.,amoebae,0.065971077,2.8e-08
