Prey,Predator,PreyMass,PredatorMass
amoebae,Enchytraeidae,2.8e-08,-999
bacteria,Enchytraeidae,9.5e-16,-999
Enchytraeidae,Oribatida sp. (juv),-999,7.36e-07
mykorrhiza,Isotomiella minor,-999,3.27e-06
bacterivorous nematodes,predacious nematodes,8.52e-07,3.56e-06
root feeding nematodes,predacious nematodes,2.35e-07,3.56e-06
Oribatida sp. (juv),Epicrius sp. (juv),7.36e-07,3.7e-06
roots,Scutigerella immaculata {xs},-999,4.38e-06
Scutigerella immaculata {xs},Leitneria granulata (juv),4.38e-06,4.8e-06
saphrophytes,Oppiella marginedentata,-999,5.68e-06
fungivorous nematodes,Suctobelbella sp.,5.35e-07,6.17e-06
saphrophytes,Deuteraphorura inermis,-999,8.45e-06
bacterivorous nematodes,Suctobelba altvateri,8.52e-07,8.99e-06
flagellates,Megalothorax minimus,3.63e-07,1.52e-05
mykorrhiza,Megalothorax minimus,-999,1.52e-05
Enchytraeidae,Oppiella obsoleta,-999,1.58e-05
Zercon cf gurensis,Epicrius canestrinii,1.22e-05,2.2e-05
Epicrius canestrinii,Uroseius cylindricus (juv),2.2e-05,2.39e-05
Oribatida sp. (juv),Holoparasitus stramenti,7.36e-07,3.12e-05
Trachytes aegrota (juv) {s},Holoparasitus stramenti,2.42e-05,3.12e-05
Veigaia nemorensis,Vulgarogamasus sp. (juv),4.83e-05,5.1e-05
plants,omnivorous nematodes,-999,6.02e-05
Veigaia nemorensis,Veigaia kochi (juv),4.83e-05,0.000101558
Pulmonata sp. (juv),Vitrea diaphana (juv),0.000232019,0.000366553
Lithobius cf. crassipes (juv),Hahnia pusilla,0.000951286,0.001021355
Lithobius sp2 {l},Hahnia pusilla,0.000157031,0.001021355
Enchytraeidae,Geostiba circellaris,-999,0.001056938
Vitrea diaphana (juv),Geostiba circellaris,0.000366553,0.001056938
Ptiliidae sp.,Saloca diceros,0.001136191,0.001156146
Lithobius sp1 {s},Walckenaeria nudipalpis,4.11e-05,0.003178051
Trichoniscus pusillus {m},Staphylinidae spec,0.000404192,0.004003596
Veigaia kochi (juv),Staphylinidae spec,0.000101558,0.004003596
Walckenaeria nudipalpis,Staphylinidae spec,0.003178051,0.004003596
Pulmonata sp. (juv),Athous subfuscus (juv) {l},0.000232019,0.00467099
Euconulus fulvus,Phalangiidae sp. (juv),0.000675792,0.005966949
bacteria,Julidae sp.,9.5e-16,0.00617
algae,Discus rotundatus,-999,0.007771684
plants,Discus rotundatus,-999,0.007771684
Coleoptera sp.,Staphylinidae sp. (juv) {s},0.001535648,0.010186866
Euophrys frontalis,Amaurobius sp. (juv),0.00313298,0.012068147
Ptiliidae sp.,Amaurobius sp. (juv),0.001136191,0.012068147
Walckenaeria cucullata,Trogulus sp. (juv),0.002215063,0.012859195
Elateridae sp1 (juv) {l},Harpactea lepida large,0.01092301,0.014693674
Geophilomorpha sp.,Harpactea lepida large,0.006669259,0.014693674
Ptiliidae sp.,Eurocoelotes inermis,0.001136191,0.086659497
Trichoniscus sp.,Eurocoelotes inermis,0.001742812,0.086659497
Arion silvaticus,Limax cinereoniger,0.192352467,3.3210975
Arionidae sp.,Limax cinereoniger,0.173821667,3.3210975
Monachoides incarnatus,Limax cinereoniger,0.125012001,3.3210975
