Prey,Predator,PreyMass,PredatorMass
Detritus,Microfauna,-999,0.3367
Polychaetes,Phaeoptyx conklini,6,3.3
Echinoids,Stomatopods,57,4
Holothurians,Stomatopods,40,4
Isopoda,Stomatopods,0.14,4
Phytoplankton,Hermit crabs,5e-10,5
Amphipoda,Polychaetes,5,6
Gastropoda,Polychaetes,9.0875,6
Hydrozoans,Polychaetes,9.83,6
Sea Fan,Polychaetes,22.47,6
Sponges,Polychaetes,184,6
Tunicates,Polychaetes,90,6
Benthic algae,Gastropoda,1e-10,9.0875
Chitons,Gastropoda,6.3,9.0875
Sponges,Gastropoda,184,9.0875
Detritus,Hydrozoans,-999,9.83
Sponges,Holacanthus ciliaris,184,10
Tunicates,Holacanthus ciliaris,90,10
Hermit crabs,Shrimps,5,12
Isopoda,Shrimps,0.14,12
Scaphopoda,Shrimps,4.3,12
Scyllarid Lobsters,Shrimps,63.8,12
Tanaids,Shrimps,0.2,12
Zooplankton,Bryozoans,1e-08,12.3
Barnacles,Atherinomorus stipes,10,16
Zooplankton,Ophiuroids,1e-08,23
Microfauna,Halichoeres maculipinna,0.3367,25
Tanaids,Halichoeres maculipinna,0.2,25
Symbiotic algae,Stony corals,3e-10,36.47
Benthic algae,Stegastes leucostictus,1e-10,50
Gastropoda,Xyrichtys splendens,9.0875,50
Hydrozoans,Stegastes leucostictus,9.83,50
Isopoda,Xyrichtys splendens,0.14,50
Parablennius marmoreus,Hypoplectrus aberrans,10,50
Symbiotic algae,Stegastes leucostictus,3e-10,50
Tunicates,Stegastes leucostictus,90,50
Sponges,Echinoids,184,57
Amphipoda,Crabs,5,58.23
Barnacles,Crabs,10,58.23
Hermit crabs,Crabs,5,58.23
Crabs,Hypoplectrus puella,58.23,64
Scartella cristata,Hypoplectrus puella,27,64
Amphipoda,Stegastes planifrons,5,68
Isopoda,Stegastes planifrons,0.14,68
Microfauna,Stegastes planifrons,0.3367,68
Haemulon carbonarium,Antennarius multiocellatus,861,70
Holacanthus tricolor,Scorpaenodes caribbaeus,1988,80
Parablennius marmoreus,Hypoplectrus nigricans,10,90
Chitons,Sphoeroides spengleri,6.3,92
Pycnogonids,Thalassoma bifasciatum,5,97
Sea Fan,Chaetodon capistratus,22.47,120
Echinoids,Labrisomus nuchipinnis,57,137
Ophiuroids,Labrisomus nuchipinnis,23,137
Hermit crabs,Halichoeres poeyi,5,150
Isopoda,Halichoeres poeyi,0.14,150
Microfauna,Neoniphon marianus,0.3367,163
Amphipoda,Stegastes fuscus,5,168
Benthic algae,Stegastes fuscus,1e-10,168
Polychaetes,Stegastes fuscus,6,168
Shrimps,Stegastes fuscus,12,168
Tunicates,Stegastes fuscus,90,168
Stomatopods,Bothus ocellatus,4,180
Acanthurus chirugus,Sargocentron vexillarium,820,181
Acanthurus coeruleus,Sargocentron vexillarium,983,181
Detritus,Sponges,-999,184
