Prey,Predator,PreyMass,PredatorMass
amoebae,dead organic matter,2.8e-08,-999
leaf litter,roots,-999,-999
algae,bacteria,-999,9.5e-16
bacteria,Oribatida sp. (juv),9.5e-16,7.36e-07
bacterivorous nematodes,Quadroppia monstruosa,8.52e-07,3.47e-06
fungivorous nematodes,Quadroppia monstruosa,5.35e-07,3.47e-06
dead organic matter,predacious nematodes,-999,3.56e-06
Mesaphorura sp.,Prozercon fimbriatus,1.46e-05,6.12e-06
flagellates,Supraphorura furcifera,3.63e-07,6.36e-06
algae,Lepidocyrtus lanuginosus,-999,8.99e-06
leaf litter,Tectocepheus minor,-999,9.85e-06
amoebae,Dissorhina ornata,2.8e-08,1.17e-05
Enchytraeidae,Pantelozetes paolii,-999,1.22e-05
leaf litter,Pantelozetes paolii,-999,1.22e-05
dead organic matter,Oppiella subpectinata,-999,1.52e-05
root feeding nematodes,Chamobates cuspidatus,2.35e-07,1.55e-05
flagellates,Oppiella obsoleta,3.63e-07,1.58e-05
algae,Oncopodura crassicornis,-999,1.67e-05
dead organic matter,Hypochthonius luteus,-999,1.67e-05
Julidae sp.,Veigaia nemorensis (juv),0.00617,1.79e-05
Scolopendrella cf. subnuda {s},Veigaia nemorensis (juv),2.33e-05,1.79e-05
Chamobates cuspidatus,Epicrius canestrinii,1.55e-05,2.2e-05
Cryptorhynchinae sp.,Epicrius canestrinii,0.01426803,2.2e-05
Geholaspis sp. (juv),Epicrius canestrinii,4.74e-05,2.2e-05
Geophilus insculptus,Epicrius canestrinii,0.005906476,2.2e-05
Walckenaeria cucullata,Epicrius canestrinii,0.002215063,2.2e-05
Geholaspis sp. (juv),Lysigamasus sp. (juv),4.74e-05,2.42e-05
Julidae sp.,Lysigamasus sp. (juv),0.00617,2.42e-05
Lithobius sp2 {s},Lysigamasus sp. (juv),6.6e-05,2.42e-05
Tectocepheus velatus alatus,Lysigamasus sp. (juv),1.35e-05,2.42e-05
Suctobelbella sp.,Uroseius cylindricus,6.17e-06,4.03e-05
Veigaia nemorensis,Uroseius cylindricus,4.83e-05,4.03e-05
leaf litter,Uroseius cylindricus,-999,4.03e-05
Hypochthonius luteus,Geholaspis sp. (juv),1.67e-05,4.74e-05
Geophilus insculptus,Veigaia nemorensis,0.005906476,4.83e-05
Oppiella subpectinata,Veigaia nemorensis,1.52e-05,4.83e-05
Phthiracarus globosus,Veigaia nemorensis,0.000154429,4.83e-05
Aporrectodea caliginosa,Lysigamasus lapponicus,0.607275641,5.21e-05
Lumbricus sp. (juv),Lysigamasus lapponicus,0.07282,5.21e-05
algae,Lysigamasus lapponicus,-999,5.21e-05
Lamprohiza splendidula (juv),omnivorous nematodes,0.000513793,6.02e-05
Lepidocyrtus lanuginosus,omnivorous nematodes,8.99e-06,6.02e-05
Trichoniscus pusillus {m},omnivorous nematodes,0.000404192,6.02e-05
amoebae,Oribatella calcarata,2.8e-08,6.23e-05
Monachoides incarnatus (juv),Leptogamasus sp. (juv),0.039101123,6.45e-05
Octolasion tyrtaeum{xxxl},Leptogamasus sp. (juv),2.000714286,6.45e-05
Oppiella nova,Leptogamasus sp. (juv),8.99e-06,6.45e-05
Geophilus insculptus,Lithobius sp2 {s},0.005906476,6.6e-05
Glomeris sp.,Lithobius sp2 {s},0.03548,6.6e-05
amoebae,Lithobius sp2 {s},2.8e-08,6.6e-05
Onychiuridae,Geholaspis mandibularis,6.75e-06,7.64e-05
algae,Eupelops plicatus,-999,7.89e-05
Athous vittatus (juv),Hahnia pusilla (juv),0.007401825,0.000174151
Chamobates cuspidatus,Hahnia pusilla (juv),1.55e-05,0.000174151
Enchytraeidae,Hahnia pusilla (juv),-999,0.000174151
Octolasion tyrtaeum{xxxl},Hahnia pusilla (juv),2.000714286,0.000174151
Oppiella obsoleta,Hahnia pusilla (juv),1.58e-05,0.000174151
Trichoniscus pusillus {m},Hahnia pusilla (juv),0.000404192,0.000174151
Uropoda athiasae,Hahnia pusilla (juv),2.17e-05,0.000174151
Uropoda minima,Hahnia pusilla (juv),1.34e-05,0.000174151
dead organic matter,Hahnia pusilla (juv),-999,0.000174151
plants,Tomocerus flavescens,-999,0.000281974
bacteria,Glomeris connexa,9.5e-16,0.000381907
fungivorous nematodes,Glomeris connexa,5.35e-07,0.000381907
mykorrhiza,Lamprohiza splendidula (juv),-999,0.000513793
Athous vittatus (juv),Linyphiidae (juv),0.007401825,0.000519895
Coleoptera sp.,Linyphiidae (juv),0.001535648,0.000519895
Oppiella falcata,Linyphiidae (juv),6.68e-06,0.000519895
Sminthurinus aureus,Linyphiidae (juv),5.1e-06,0.000519895
mykorrhiza,Linyphiidae (juv),-999,0.000519895
Ena montana,Scydmaenidae sp2,0.185357828,0.000550589
Octolasion tyrtaeum{xxxl},Scydmaenidae sp2,2.000714286,0.000550589
Phalangiidae sp. (juv),Scydmaenidae sp2,0.005966949,0.000550589
predacious nematodes,Scydmaenidae sp2,3.56e-06,0.000550589
