Prey,Predator,PreyMass,PredatorMass
Nematoda,Caprella sp.,0.01,0.0002
Polychaeta,Caprella sp.,0.0035,0.0002
Sphaeromatidae,Caprella sp.,0.162,0.0002
Chthamalus sp.,Gammaridae,0.01,0.0004
Lithophyllum sp.,Gammaridae,0.000228,0.0004
Polychaeta,Gammaridae,0.0035,0.0004
Lithophyllum sp.,Stenothoidae,0.000228,0.0006
Lysianassidae,Stenothoidae,0.0075,0.0006
Aeolidia papillosa,Omalogyra atomus,0.237,0.0007
Nematoda,Omalogyra atomus,0.01,0.0007
PhytoP,Omalogyra atomus,0.0001,0.0007
Turbellaria,Omalogyra atomus,0.0008,0.0007
Turridae,Omalogyra atomus,0.0015,0.0007
Leptochiton algesirensis,Turbellaria,0.113,0.0008
Lithophyllum sp.,Pantopoda,0.000228,0.0008
Atherina boyeri,Barleeia sp.,0.01,0.002
Musculus costulatus,Barleeia sp.,0.0085,0.002
Sphaeromatidae,Musculus costulatus,0.162,0.0085
Gammaridae,Botryllus schlosseri,0.0004,0.01
Stenothoidae,Nematoda,0.0006,0.01
Anemonia sulcata,Palaemon longirostris,35.33,0.102
Turridae,Acanthochitona crinita,0.0015,0.152
Mytilus galloprovincialis,Lepidochitona cinerea,0.156,0.162
Aulactinia verrucosa,Gobius niger,0.2,0.2
Insecta,Aulactinia verrucosa,0.0006,0.2
Nemertea,Aulactinia verrucosa,0.0003,0.2
Oligochaeta,Gobius paganellus,0.0004,0.285
Sagartia elegans,Gobius paganellus,0.15,0.285
Turbellaria,Gobius paganellus,0.0008,0.285
Turridae,Gobius paganellus,0.0015,0.285
Botryllus schlosseri,Gibbula umbilicalis,0.01,0.403
Copepoda,Gibbula umbilicalis,0.001,0.403
Lysianassidae,Gibbula umbilicalis,0.0075,0.403
Mytilus galloprovincialis,Gibbula umbilicalis,0.156,0.403
Oligochaeta,Gibbula umbilicalis,0.0004,0.403
Aeolidia papillosa,Asterina gibbosa,0.237,0.552
Gobius niger,Asterina gibbosa,0.2,0.552
Musculus costulatus,Asterina gibbosa,0.0085,0.552
Zooplankton,Asterina gibbosa,0.001,0.552
Anemonia sulcata,Patella vulgata,35.33,0.635
Copepoda,Coryphoblennius galerita,0.001,0.6575
Gammaridae,Coryphoblennius galerita,0.0004,0.6575
Anemonia sulcata,Actinia fragacea,35.33,0.935
PhytoP,Actinia fragacea,0.0001,0.935
Anemonia sulcata,Palaemon elegans,35.33,1.62
Copepoda,Palaemon elegans,0.001,1.62
Lysianassidae,Paracentrotus lividus,0.0075,2.48
Aeolidia papillosa,Lipophrys trigloides,0.237,2.51
Mytilus galloprovincialis,Lipophrys trigloides,0.156,2.51
Copepoda,Actinia equina,0.001,2.515
Gobius paganellus,Actinia equina,0.285,2.515
Lipophrys trigloides,Actinia equina,2.51,2.515
Polychaeta,Patella depressa,0.0035,3.14
Barleeia sp.,Lipophrys pholis,0.002,4.58
Lithophyllum sp.,Lipophrys pholis,0.000228,4.58
Musculus costulatus,Lipophrys pholis,0.0085,4.58
Aulactinia verrucosa,Anemonia sulcata,0.2,35.33
Oligochaeta,Anemonia sulcata,0.0004,35.33
