Prey,Predator,PreyMass,PredatorMass
bacteria,Enchytraeidae,9.5e-16,-999
dead organic matter,saphrophytes,-999,-999
bacteria,flagellates,9.5e-16,3.63e-07
Enchytraeidae,Oribatida sp. (juv),-999,7.36e-07
bacterivorous nematodes,Oribatida sp. (juv),8.52e-07,7.36e-07
bacteria,Parisotoma notabilis,9.5e-16,2.41e-06
saphrophytes,Parisotoma notabilis,-999,2.41e-06
amoebae,Isotomidae sp.,2.8e-08,3.27e-06
ciliates,Isotomidae sp.,2.63e-09,3.27e-06
mykorrhiza,Isotomidae sp.,-999,3.27e-06
mykorrhiza,Quadroppia quadricarinata,-999,4.77e-06
fungivorous nematodes,Suctobelbella sp.,5.35e-07,6.17e-06
mykorrhiza,Suctobelbella sp.,-999,6.17e-06
leaf litter,Lepidocyrtus lanuginosus,-999,8.99e-06
Desoria violacea,Zercon cf gurensis,8.34e-06,1.22e-05
Isotomidae sp.,Zercon cf gurensis,3.27e-06,1.22e-05
Lepidocyrtus lanuginosus,Zercon cf gurensis,8.99e-06,1.22e-05
Oribatida sp. (juv),Zercon cf gurensis,7.36e-07,1.22e-05
Stenaphorura denisi,Zercon cf gurensis,4.75e-06,1.22e-05
omnivorous nematodes,Mesaphorura sp.,6.02e-05,1.46e-05
predacious nematodes,Mesaphorura sp.,3.56e-06,1.46e-05
root feeding nematodes,Mesaphorura sp.,2.35e-07,1.46e-05
fungivorous nematodes,Veigaia exigua,5.35e-07,1.59e-05
Isotomidae sp.,Lysigamasus sp. (juv),3.27e-06,2.42e-05
Sminthurinus sp. (juv),Lysigamasus sp. (juv),5.1e-06,2.42e-05
mykorrhiza,Hypochthonius rufulus,-999,2.51e-05
bacteria,omnivorous nematodes,9.5e-16,6.02e-05
mykorrhiza,omnivorous nematodes,-999,6.02e-05
bacteria,Scutigerella immaculata {s},9.5e-16,7.15e-05
dead organic matter,Scutigerella immaculata {s},-999,7.15e-05
mykorrhiza,Scutigerella immaculata {s},-999,7.15e-05
mykorrhiza,Eulohmannia ribagai,-999,8.7e-05
Lysigamasus sp. (juv),Pergamasinae (male),2.42e-05,9.62e-05
Veigaia exigua,Pergamasinae (male),1.59e-05,9.62e-05
mykorrhiza,Phthiracarus lentulus,-999,0.000228193
leaf litter,Glomeris sp. (juv) {m},-999,0.000269864
leaf litter,Trichoniscus pusillus {m},-999,0.000404192
fungivorous nematodes,Trombidiidae,5.35e-07,0.000694885
omnivorous nematodes,Trombidiidae,6.02e-05,0.000694885
predacious nematodes,Trombidiidae,3.56e-06,0.000694885
Nargus anisotomoides,Neobisium sp.,0.001385543,0.001603525
Nargus anisotomoides,Microneta viaria,0.001385543,0.001863227
Pergamasinae (male),Coelotes sp. (juv) {l},9.62e-05,0.003123892
Neobisium sp.,Lithobius sp.,0.001603525,0.00359344
Scutigerella immaculata {s},Lithobius sp.,7.15e-05,0.00359344
leaf litter,Julidae sp.,-999,0.00617
Geophilus flavus,Agelenidae sp. (juv),0.007949148,0.009143081
Lithobius sp2 {l},Agelenidae sp. (juv),0.000157031,0.009143081
Tapinocyba insecta,Agelenidae sp. (juv),0.001163738,0.009143081
Coelotes sp. (juv) {l},Notiophilus biguttatus,0.003123892,0.009963206
leaf litter,Porcellio spinicornis,-999,0.010511452
Neobisium sp.,Pterostichus strenuus,0.001603525,0.019881566
Aporrectodea rosea (juv),Pterostichus sp.,0.085811429,0.14115915
Porcellio spinicornis,Pterostichus sp.,0.010511452,0.14115915
Aporrectodea rosea (juv),Abax ovalis,0.085811429,0.178420123
flagellates,Aporrectodea rosea,3.63e-07,0.219642857
flagellates,Aporrectodea caliginosa (juv) {xl},3.63e-07,0.267537302
Agelenidae sp. (juv),Abax parallelepipedus,0.009143081,0.427211499
Aporrectodea caliginosa (juv) {xl},Abax parallelepipedus,0.267537302,0.427211499
flagellates,Aporrectodea caliginosa,3.63e-07,0.607275641
