Prey,Predator,PreyMass,PredatorMass
Nematoda,PhytoP,0.01,0.0001
Bivalvia,Insecta,0.01,0.0002
Gibbula umbilicalis,Polychaeta,0.01,0.0002
PhytoP,Insecta,0.0001,0.0002
Furcellaria lumbricalis,Dictyota dichotoma,0.000228,0.000228
Nematoda,Dictyota dichotoma,0.01,0.000228
Ulva intestinalis,Dictyota dichotoma,0.000228,0.000228
Bivalvia,Omalogyra atomus,0.01,0.0003
Bivalvia,Ostracoda,0.01,0.001
Gibbula umbilicalis,Gammaridae,0.01,0.0012
Oligochaeta,Tanaidacea,0.0002,0.0021
Nematoda,Stenothoidae,0.01,0.0038
Omalogyra atomus,Palaemon elegans,0.0003,0.01
Palaemon serratus,Palaemon elegans,0.1553,0.01
Bivalvia,Membranipora membranaceae,0.01,0.01
Nymphon gracile,Carcinus maenas,0.01,0.01
Oligochaeta,Gibbula umbilicalis,0.0002,0.01
Oligochaeta,Littorina littorea,0.0002,0.01
PhytoP,Gibbula cineraria,0.0001,0.01
Zooplankton,Gibbula umbilicalis,0.001,0.01
Zooplankton,Nematoda,0.001,0.01
Gibbula cineraria,Palaemon serratus,0.01,0.1553
Mysida,Palaemon serratus,0.0002,0.1553
Nematoda,Palaemon serratus,0.01,0.1553
