Prey,Predator,PreyMass,PredatorMass
PhytoP,Copepoda,0.0001,0.001
PhytoP,Tetraclita stalactifera,0.0001,0.008
Zooplankton,Tetraclita stalactifera,0.001,0.008
Polychaeta,Eurypanopeus abreviatus,0.01,0.01
Zooplankton,Eurypanopeus abreviatus,0.001,0.01
Zooplankton,Polychaeta,0.001,0.01
Zooplankton,Tanaidacea,0.001,0.01
Polychaeta,Palaemon northropi,0.01,0.206
Callinectes sapidus,Bathygobius soporator,3.89,4.41
Polychaeta,Bathygobius soporator,0.01,4.41
Tanaidacea,Bathygobius soporator,0.01,4.41
Zooplankton,Crassostrea virginica,0.001,10.85
