Prey,Predator,PreyMass,PredatorMass
Chironomidae,Simuliidae,0.000118741,0.000382314
Tanypodinae,Simuliidae,0.00051759,0.000382314
Eunotia incisa,Tipulidae,1.51e-09,0.000891767
Eunotia rhomboidea,Tipulidae,3.13e-10,0.000891767
FPOM,Tipulidae,-999,0.000891767
Pinnularia subcapitata,Tipulidae,2.11e-08,0.000891767
Tabellaria flocculosa,Tipulidae,1.06e-09,0.000891767
Tanypodinae,Tipulidae,0.00051759,0.000891767
FPOM,Halesus radiatus,-999,0.001671464
Chironomidae,Salmo trutta,0.000118741,9.878923935
Electrogena lateralis,Salmo trutta,0.001905367,9.878923935
Halesus radiatus,Salmo trutta,0.001671464,9.878923935
Tanypodinae,Salmo trutta,0.00051759,9.878923935
