Prey,Predator,PreyMass,PredatorMass
Mesocyclops edax,Cryptomonas erosa,1e-05,4.75e-11
Cyclops bicuspidatus,Daphnia galeata,2.24e-05,1e-05
Salvelinus fontinalis small,Daphnia galeata,188,1e-05
Keratella taurocephala,Holopedium gibberum,1e-08,6.82e-05
Polyarthra major,Holopedium gibberum,8.55e-07,6.82e-05
Trichocerca cylindrica,Holopedium gibberum,2.5e-07,6.82e-05
Catostomus commersoni,Epishura lacustris,261,0.000122
Navicula sp.,Epishura lacustris,9.01e-10,0.000122
Cryptomonas erosa,fish eggs,4.75e-11,0.0201
Semotilus atromaculatus,Semotilus corporalis,51,61
