Prey,Predator,PreyMass,PredatorMass
Cladophora rupestris,Pantopoda,0.000228,0.0015
Colpomenia peregrina,Pantopoda,0.000228,0.0015
Cystoseira sp.,Pantopoda,0.000228,0.0015
PhytoP,Musculus costulatus,0.0001,0.003
PhytoP,Ophiuroidea,0.0001,0.0044
Cladophora rupestris,Insecta,0.000228,0.01
Dictyota dichotoma,Barleeia sp.,0.000228,0.03
Cystoseira sp.,Lepidochitona cinerea,0.000228,0.18
Lithophyllum sp.,Lepidochitona cinerea,0.000228,0.18
Ulva lactuca,Acanthochitona crinita,0.000228,0.18
Ulva lactuca,Paracentrotus lividus,0.000228,0.2
Gelidium corneum,Palaemon longirostris,0.000228,0.21
Cladophora rupestris,Diplodus sargus sargus,0.000228,0.46
Colpomenia peregrina,Diplodus sargus sargus,0.000228,0.46
Dictyopteris polypodioides,Diplodus sargus sargus,0.000228,0.46
Gelidium corneum,Diplodus sargus sargus,0.000228,0.46
Palaemon longirostris,Diplodus sargus sargus,0.21,0.46
Sphacelaria cirrosa,Diplodus sargus sargus,0.000228,0.46
Ulva lactuca,Diplodus sargus sargus,0.000228,0.46
Zooplankton,Diplodus sargus sargus,0.001,0.46
Acanthochitona crinita,Gobius paganellus,0.18,0.54
Chthamalus sp.,Gobius paganellus,0.01,0.54
Dictyota dichotoma,Gobius paganellus,0.000228,0.54
Gibbula umbilicalis,Gobius paganellus,0.24,0.54
Insecta,Gobius paganellus,0.01,0.54
Leptochiton algesirensis,Gobius paganellus,0.09,0.54
Ophiuroidea,Gobius paganellus,0.0044,0.54
Palaemon elegans,Gobius paganellus,0.55,0.54
Rissoidae,Gobius paganellus,0.0031,0.54
Cladophora rupestris,Palaemon elegans,0.000228,0.55
Polychaeta,Palaemon elegans,0.013,0.55
Acanthochitona crinita,Lipophrys trigloides,0.18,0.7
Balanus sp.,Lipophrys trigloides,0.01,0.7
Bifurcaria bifurcata,Lipophrys trigloides,0.000228,0.7
Chiton olivaceus,Lipophrys trigloides,0.2,0.7
Cladophora rupestris,Lipophrys trigloides,0.000228,0.7
Colpomenia peregrina,Lipophrys trigloides,0.000228,0.7
Cystoseira sp.,Lipophrys trigloides,0.000228,0.7
Gammaridae,Lipophrys trigloides,0.0023,0.7
Gelidium corneum,Lipophrys trigloides,0.000228,0.7
Gibbula umbilicalis,Lipophrys trigloides,0.24,0.7
Insecta,Lipophrys trigloides,0.01,0.7
Lepidochitona cinerea,Lipophrys trigloides,0.18,0.7
Leptochiton algesirensis,Lipophrys trigloides,0.09,0.7
Rissoidae,Lipophrys trigloides,0.0031,0.7
Tanaidacea,Lipophrys trigloides,0.01,0.7
Acanthochitona crinita,Lipophrys pholis,0.18,0.995
Balanus sp.,Lipophrys pholis,0.01,0.995
Barleeia sp.,Lipophrys pholis,0.03,0.995
Bifurcaria bifurcata,Lipophrys pholis,0.000228,0.995
Chiton olivaceus,Lipophrys pholis,0.2,0.995
Colpomenia peregrina,Lipophrys pholis,0.000228,0.995
Dictyota dichotoma,Lipophrys pholis,0.000228,0.995
Ellisolandia elongata,Lipophrys pholis,0.000228,0.995
Gammaridae,Lipophrys pholis,0.0023,0.995
Gibbula umbilicalis,Lipophrys pholis,0.24,0.995
Insecta,Lipophrys pholis,0.01,0.995
Leptochiton algesirensis,Lipophrys pholis,0.09,0.995
Musculus costulatus,Lipophrys pholis,0.003,0.995
Mytilus galloprovincialis,Lipophrys pholis,0.018,0.995
Ophiuroidea,Lipophrys pholis,0.0044,0.995
Paracentrotus lividus,Lipophrys pholis,0.2,0.995
Saccorhiza polyschides,Lipophrys pholis,0.000228,0.995
Tricolia pullus,Lipophrys pholis,0.004,0.995
Anemonia sulcata,Epitonium clathrus,91,9.28
Lipophrys pholis,Anemonia sulcata,0.995,91
Palaemon elegans,Anemonia sulcata,0.55,91
