Score,Label
0.1129945,1
0.005358567,1
0.9999964,1
3.655517e-12,1
0.9999964,1
0.9812556,1
1,1
0.9999431,1
1,1
0.290656,1
1,1
1,1
0.9999985,1
0.290656,1
0.9999864,1
0.9991142,1
1,1
0.9602883,1
0.9937781,1
0.9612595,1
0.3488059,1
0.9999801,1
0.6647072,1
0.5757174,1
1,1
1,1
0.971437,1
0.9738019,1
7.334788e-05,1
2.741764e-09,1
0.003215393,1
1,1
1,1
0.998724,1
0.9999999,1
0.9999999,1
1,1
0.001107755,1
0.9999793,1
0.9998181,1
0.6829327,1
0.3011115,1
0.1645206,1
0.9999986,1
0.4633836,1
1,1
0.9999999,1
0.9998944,1
0.4633836,1
1,1
0.8137285,1
0.4633836,1
0.9999888,1
0.9999812,1
0.9999969,1
1,1
0.9999995,1
0.9999987,1
1,1
0.5042393,1
0.9999995,1
0.9999824,1
0.8515326,1
0.3679808,1
0.3679808,1
0.9973372,1
0.9999942,1
0.9999999,1
0.999348,1
0.4061614,1
0.2174276,1
0.3348599,1
0.9902452,1
0.9902452,1
0.3348599,1
0.9902452,1
0.9902452,1
0.3348599,1
0.3348599,1
0.3348599,1
0.9902452,1
0.3348599,1
0.8467835,1
0.9999589,1
0.3348599,1
0.714563,1
0.9860449,1
0.9860449,1
0.3348599,1
0.3348599,1
0.3348599,1
0.3348599,1
0.9594783,1
0.3734595,1
0.9902452,1
0.9994513,1
0.3348599,1
0.714563,1
0.714563,1
0.9902452,1
0.8467835,1
0.3348599,1
0.8467835,1
0.9999908,1
1,1
0.9999889,1
1,1
1,1
0.003953016,1
1,1
0.9999959,1
1,1
0.9999999,1
0.9975986,1
1,1
0.9999996,1
0.9893916,1
0.9969473,1
0.9893916,1
0.3137473,1
0.3137473,1
0.9468751,1
0.9985352,1
0.0001392395,1
0.0001392395,1
0.9999851,1
0.9999944,1
0.9999851,1
0.3986451,1
0.8796608,1
0.9987671,1
0.4487345,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9986646,1
0.9986646,1
0.9986646,1
0.9999994,1
0.9998868,1
0.2774516,1
0.9987671,1
0.2880791,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9987671,1
0.9999994,1
0.9999994,1
0.9998868,1
0.9998868,1
0.9987671,1
0.9987671,1
0.2880791,1
0.9998868,1
0.9999994,1
0.9986646,1
0.9999994,1
0.9987671,1
0.9999994,1
0.623554,1
0.2715596,1
0.9996225,1
0.9999973,1
0.2715596,1
0.09374908,1
0.2715596,1
0.9914188,1
0.9999973,1
0.623554,1
0.623554,1
1,1
0.02028603,1
0.9999998,1
0.9999999,1
0.997649,1
0.9947733,1
0.2715596,1
0.9998592,1
1,1
0.1751173,1
0.99998,1
0.9999603,1
1,1
0.9999999,1
0.83044,1
0.9999998,1
0.1893765,1
0.999725,1
0.9999934,1
0.794338,1
0.00462655,1
0.9999713,1
0.1893765,1
0.9984139,1
0.9998471,1
0.9999995,1
0.9999998,1
0.9999999,1
0.9999934,1
0.9944786,1
0.9998726,1
0.1893765,1
0.1893765,1
0.9997429,1
0.9916891,1
0.9998471,1
0.999965,1
0.9999937,1
0.9976005,1
0.1893765,1
0.9999934,1
0.9999934,1
0.9980756,1
0.1893765,1
0.9997502,1
0.4334503,1
0.9999694,1
0.4334503,1
0.9997502,1
0.03489636,1
6.406636e-05,1
0.02816698,1
0.9999797,1
0.9997306,1
0.996912,1
0.9999976,1
0.9997502,1
0.9999748,1
0.999592,1
0.9999313,1
0.008837334,1
0.9914203,1
0.9757335,1
0.000378486,1
0.01043581,1
0.01043581,1
0.4544063,1
0.7624466,1
0.01043581,1
0.999969,1
0.9999996,1
0.01043581,1
0.6555632,1
1,1
0.5056919,1
0.6511813,1
0.2760994,1
0.2301683,1
0.2979753,1
0.01043581,1
0.01043581,1
0.8780692,1
0.9991936,1
0.9850246,1
0.00477476,1
0.2629623,1
0.2301683,1
0.5461857,1
0.7624466,1
0.7027737,1
0.01043581,1
0.8260241,1
0.9804896,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.8260241,1
0.9999255,1
0.8260241,1
0.8260241,1
0.9999659,1
0.9997199,1
0.8260241,1
0.002470136,1
0.8260241,1
0.8260241,1
0.9999255,1
