Prey,Predator,PreyMass,PredatorMass
Achnanthes lanceoloata,Caloneis sp. ?,-999,-999
Achnanthes lanceoloata,Navicula bicephala,-999,-999
Aucalosira sp.,Gomphoneis herculeana,-999,-999
Eunotia sp.,Cymbella cuspidata,-999,-999
Eunotia sp.,Diatoma heimale,-999,-999
Gomphonema parvulum,Rhopalodia novae zelandicae,-999,-999
Macrophyte,Achnanthes sp. (small),-999,-999
Macrophyte,Cocconeis sp.,-999,-999
Macrophyte,Rhoicosphenia curvata,-999,-999
Meridion circulare,Achnanthes sp. (small),-999,-999
Meridion circulare,Fragilaria spp.,-999,-999
Meridion circulare,Spirogyra,-999,-999
Navicula avenacea,Fragilaria spp.,-999,-999
Navicula avenacea,Navicula bicephala,-999,-999
Navicula avenacea,Rhopalodia novae zelandicae,-999,-999
Pinnularia sp. (large),Navicula bicephala,-999,-999
Pinnularia sp. (large),Terrestrial Invertebrates,-999,-999
Pinnularia sp. (large),Unknown green algae filaments,-999,-999
Synedra ulna,Achnanthes sp. (small),-999,-999
Synedra ulna,Fragilaria spp.,-999,-999
Terrestrial Invertebrates,Gomphonema subclavatum,-999,-999
Terrestrial Invertebrates,Synedra ulna,-999,-999
Gomphonema parvulum,Psilachorema bidens ,-999,0.000266079
Salmo trutta,Scirtid sp. (Broad type),200,0.000286519
Austroperla cyrene,Zealolessica cheira,2.34e-05,0.000409901
Orchymontia sp. ,Salmo trutta,0.000614333,200
Pycnocentria sp. ,Salmo trutta,1.22e-05,200
Zealolessica cheira,Salmo trutta,0.000409901,200
