Prey,Predator,PreyMass,PredatorMass
Bacteria,Metateratocephalus crassidens,1.04e-13,1.26e-08
Bacteria,Bastiania,1.04e-13,4.27e-08
Bacteria,Acrobeles ciliatus,1.04e-13,4.74e-08
Aphelenchus,Qudsianematidae,7.76e-09,1e-07
Cephalobidae,Qudsianematidae,2.22e-08,1e-07
Chromadoridae,Qudsianematidae,1.11e-08,1e-07
Dolichodoridae,Qudsianematidae,2.09e-08,1e-07
Paratrichodorus teres,Qudsianematidae,4.66e-08,1e-07
Paratylenchus,Qudsianematidae,1.38e-08,1e-07
Pratylenchus,Qudsianematidae,5.25e-09,1e-07
Aglenchus agricola,Mononchidae,5.13e-08,1.48e-07
Aphelenchoides,Mononchidae,1.02e-08,1.48e-07
Cephalobidae,Mononchidae,2.22e-08,1.48e-07
Dolichodoridae,Mononchidae,2.09e-08,1.48e-07
Dorylaimoidea,Mononchidae,2.1e-07,1.48e-07
Eucephalobus,Mononchidae,2.74e-08,1.48e-07
Eudorylaimus,Mononchidae,3.02e-07,1.48e-07
Filenchus,Mononchidae,1.65e-08,1.48e-07
Heterodera,Mononchidae,5e-08,1.48e-07
Plectus,Mononchidae,9.56e-08,1.48e-07
Aglenchus agricola,Dorylaimoidea,5.13e-08,2.1e-07
Alaimus,Dorylaimoidea,7.29e-08,2.1e-07
Dolichodoridae,Dorylaimoidea,2.09e-08,2.1e-07
Pratylenchus,Dorylaimoidea,5.25e-09,2.1e-07
Pratylenchus crenatus,Dorylaimoidea,5.89e-08,2.1e-07
Rhabditidae,Dorylaimoidea,3.32e-08,2.1e-07
Trichodorus similis,Dorylaimoidea,5.78e-08,2.1e-07
Tylenchorhynchus,Dorylaimoidea,6.78e-08,2.1e-07
Alaimus,Thornenematinae,7.29e-08,2.16e-07
Aphelenchus,Thornenematinae,7.76e-09,2.16e-07
Cephalobidae,Thornenematinae,2.22e-08,2.16e-07
Diphtherophora,Thornenematinae,8.71e-09,2.16e-07
Dolichodoridae,Thornenematinae,2.09e-08,2.16e-07
Paratylenchus,Thornenematinae,1.38e-08,2.16e-07
Trichodoridae,Thornenematinae,4.57e-08,2.16e-07
Acrobeles ciliatus,Eudorylaimus,4.74e-08,3.02e-07
Aphelenchoides,Eudorylaimus,1.02e-08,3.02e-07
Helicotylenchus,Eudorylaimus,3.73e-08,3.02e-07
Paratrichodorus,Eudorylaimus,2.34e-07,3.02e-07
Prismatolaimus,Eudorylaimus,7.08e-09,3.02e-07
Trichodoridae,Eudorylaimus,4.57e-08,3.02e-07
Trichodorus,Eudorylaimus,1.82e-07,3.02e-07
Tylenchidae,Eudorylaimus,2.21e-08,3.02e-07
Tylenchorhynchus dubius,Eudorylaimus,2.19e-07,3.02e-07
Aglenchus agricola,Aporcelaimellus obtusicaudatus,5.13e-08,1.91e-06
Filenchus,Aporcelaimellus obtusicaudatus,1.65e-08,1.91e-06
Fungal mycelium,Aporcelaimellus obtusicaudatus,-999,1.91e-06
Paratrichodorus teres,Aporcelaimellus obtusicaudatus,4.66e-08,1.91e-06
Teratocephalus,Aporcelaimellus obtusicaudatus,1.17e-08,1.91e-06
Tylenchidae,Aporcelaimellus obtusicaudatus,2.21e-08,1.91e-06
Wilsonema,Aporcelaimellus obtusicaudatus,1.41e-08,1.91e-06
Fungal mycelium,Isotomidae,-999,2.14e-06
Fungal mycelium,Isotomurus,-999,2.24e-06
Alaimus,Dendrolaelaps,7.29e-08,2.69e-06
Aphelenchoides,Dendrolaelaps,1.02e-08,2.69e-06
Aphelenchus,Dendrolaelaps,7.76e-09,2.69e-06
Brachystomella parvula,Dendrolaelaps,1.82e-06,2.69e-06
Cephalobidae,Dendrolaelaps,2.22e-08,2.69e-06
Chromadoridae,Dendrolaelaps,1.11e-08,2.69e-06
Diphtherophora,Dendrolaelaps,8.71e-09,2.69e-06
Eudorylaimus,Dendrolaelaps,3.02e-07,2.69e-06
Friesea truncata,Dendrolaelaps,4.47e-07,2.69e-06
Fungal mycelium,Dendrolaelaps,-999,2.69e-06
Helicotylenchus,Dendrolaelaps,3.73e-08,2.69e-06
Heterodera,Dendrolaelaps,5e-08,2.69e-06
Isotoma,Dendrolaelaps,1.43e-05,2.69e-06
Isotomiella minor,Dendrolaelaps,3.4e-06,2.69e-06
Isotomurus,Dendrolaelaps,2.24e-06,2.69e-06
Lepidocyrtus,Dendrolaelaps,8.61e-06,2.69e-06
Meloidogyne,Dendrolaelaps,1.91e-08,2.69e-06
Meloidogyne naasi,Dendrolaelaps,5.13e-08,2.69e-06
Mesaphorura,Dendrolaelaps,3.39e-06,2.69e-06
Mononchidae,Dendrolaelaps,1.48e-07,2.69e-06
Panagrolaimus,Dendrolaelaps,5.88e-08,2.69e-06
Paratrichodorus,Dendrolaelaps,2.34e-07,2.69e-06
Paratylenchus,Dendrolaelaps,1.38e-08,2.69e-06
Plectidae,Dendrolaelaps,3.89e-09,2.69e-06
Pratylenchus,Dendrolaelaps,5.25e-09,2.69e-06
Pygmephorus,Dendrolaelaps,1.51e-06,2.69e-06
Qudsianematidae,Dendrolaelaps,1e-07,2.69e-06
Rhabditidae,Dendrolaelaps,3.32e-08,2.69e-06
Sminthurinus elegans,Dendrolaelaps,5.5e-06,2.69e-06
Sphaeridia pumilis,Dendrolaelaps,3.68e-07,2.69e-06
Stigmaeidae,Dendrolaelaps,1.2e-05,2.69e-06
Symphypleona,Dendrolaelaps,2.18e-07,2.69e-06
Thornenematinae,Dendrolaelaps,2.16e-07,2.69e-06
Trichodoridae,Dendrolaelaps,4.57e-08,2.69e-06
Trichodorus,Dendrolaelaps,1.82e-07,2.69e-06
Tyrophagus,Dendrolaelaps,6.61e-06,2.69e-06
Cheiroseius,Eupodidae,4.68e-06,2.97e-06
Dendrolaelaps,Eupodidae,2.69e-06,2.97e-06
Onychiurus,Eupodidae,6.46e-06,2.97e-06
Tyrophagus,Eupodidae,6.61e-06,2.97e-06
Dendrolaelaps,Bdellidae,2.69e-06,4.37e-06
Eupodidae,Bdellidae,2.97e-06,4.37e-06
Isotoma,Bdellidae,1.43e-05,4.37e-06
Achipteria coleoptrata,Cheiroseius,1.38e-05,4.68e-06
Acrobeles ciliatus,Cheiroseius,4.74e-08,4.68e-06
Acrobeloides,Cheiroseius,2.16e-08,4.68e-06
Alaimus,Cheiroseius,7.29e-08,4.68e-06
Aporcelaimellus obtusicaudatus,Cheiroseius,1.91e-06,4.68e-06
Brachystomella parvula,Cheiroseius,1.82e-06,4.68e-06
Chromadoridae,Cheiroseius,1.11e-08,4.68e-06
Dauerlarvae,Cheiroseius,3.9e-08,4.68e-06
Diphtherophora,Cheiroseius,8.71e-09,4.68e-06
Dolichodoridae,Cheiroseius,2.09e-08,4.68e-06
Dorylaimida,Cheiroseius,2.51e-07,4.68e-06
Dorylaimoidea,Cheiroseius,2.1e-07,4.68e-06
Eucephalobus,Cheiroseius,2.74e-08,4.68e-06
Filenchus,Cheiroseius,1.65e-08,4.68e-06
Isotomiella minor,Cheiroseius,3.4e-06,4.68e-06
Isotomurus,Cheiroseius,2.24e-06,4.68e-06
Lepidocyrtus,Cheiroseius,8.61e-06,4.68e-06
Longidorus,Cheiroseius,4.68e-06,4.68e-06
Meloidogyne,Cheiroseius,1.91e-08,4.68e-06
Meloidogyne naasi,Cheiroseius,5.13e-08,4.68e-06
Onychiurus,Cheiroseius,6.46e-06,4.68e-06
Panagrolaimus,Cheiroseius,5.88e-08,4.68e-06
Paratrichodorus teres,Cheiroseius,4.66e-08,4.68e-06
Parisotoma notabilis,Cheiroseius,2.69e-06,4.68e-06
Plectidae,Cheiroseius,3.89e-09,4.68e-06
Plectus,Cheiroseius,9.56e-08,4.68e-06
Pratylenchus,Cheiroseius,5.25e-09,4.68e-06
Pygmephorus,Cheiroseius,1.51e-06,4.68e-06
Qudsianematidae,Cheiroseius,1e-07,4.68e-06
Rhizoglyphus,Cheiroseius,1.58e-05,4.68e-06
Sminthurinus elegans,Cheiroseius,5.5e-06,4.68e-06
Sphaeridia pumilis,Cheiroseius,3.68e-07,4.68e-06
Teratocephalus,Cheiroseius,1.17e-08,4.68e-06
Trichodorus similis,Cheiroseius,5.78e-08,4.68e-06
Wilsonema,Cheiroseius,1.41e-08,4.68e-06
Bacteria,Enchytraeus,1.04e-13,5.74e-06
Bacteria,Marionina argentea,1.04e-13,5.89e-06
Fungal mycelium,Onychiurus,-999,6.46e-06
Chromadoridae,Alliphis siculus,1.11e-08,7.24e-06
Dorylaimida,Alliphis siculus,2.51e-07,7.24e-06
Eucephalobus,Alliphis siculus,2.74e-08,7.24e-06
Eudorylaimus,Alliphis siculus,3.02e-07,7.24e-06
Heterodera,Alliphis siculus,5e-08,7.24e-06
Metateratocephalus crassidens,Alliphis siculus,1.26e-08,7.24e-06
Mononchidae,Alliphis siculus,1.48e-07,7.24e-06
Paratylenchus,Alliphis siculus,1.38e-08,7.24e-06
Trichodoridae,Alliphis siculus,4.57e-08,7.24e-06
Trichodorus,Alliphis siculus,1.82e-07,7.24e-06
Tylenchorhynchus dubius,Alliphis siculus,2.19e-07,7.24e-06
Friesea truncata,Stigmaeidae,4.47e-07,1.2e-05
Hypoaspis,Stigmaeidae,3.41e-05,1.2e-05
Isotomiella minor,Stigmaeidae,3.4e-06,1.2e-05
Lysigamasus,Stigmaeidae,1.62e-05,1.2e-05
Pygmephorus,Stigmaeidae,1.51e-06,1.2e-05
Fungal mycelium,Isotoma,-999,1.43e-05
Achipteria coleoptrata,Lysigamasus,1.38e-05,1.62e-05
Aglenchus agricola,Lysigamasus,5.13e-08,1.62e-05
Alaimus,Lysigamasus,7.29e-08,1.62e-05
Aphelenchus,Lysigamasus,7.76e-09,1.62e-05
