Prey,Predator,PreyMass,PredatorMass
Navicula seminulum,Staurosirella pinnata,1.29e-08,2.07e-09
Navicula seminulum,Meridion circulare,1.29e-08,3.53e-09
Navicula seminulum,Achnanthes lanceolata,1.29e-08,3.62e-09
Achnanthes delicatula,Ellerbeckia arenaria,4.41e-09,8.66e-07
Navicula atomus,Ellerbeckia arenaria,1.29e-08,8.66e-07
Navicula goeppertiana,Ellerbeckia arenaria,1.29e-08,8.66e-07
Navicula lanceolata,Ellerbeckia arenaria,3.66e-08,8.66e-07
Navicula seminulum,Ellerbeckia arenaria,1.29e-08,8.66e-07
Ithytrichia,Corynoneura,9.46e-05,6.98e-06
Bezzia,Thienemanniella,0.000150991,3.28e-05
Ithytrichia,Thienemanniella,9.46e-05,3.28e-05
Baetis vernus,Polypedilum nubeculosum,0.000329396,5.16e-05
Barbatula barbatula,Hydroptila,9.600696635,5.17e-05
Calopteryx virgo,Hydroptila,0.003440514,5.17e-05
Cottus gobio,Eukiefferiella claripennis,2.237172915,9.3e-05
Encyonema silesiacum,Ithytrichia,3.45e-09,9.46e-05
Barbatula barbatula,Epoicocladius flavens,9.600696635,9.71e-05
Ellerbeckia arenaria,Epoicocladius flavens,8.66e-07,9.71e-05
Hydracarina,Epoicocladius flavens,0.000320421,9.71e-05
Achnanthes minutissima,Tanytarsini,9.13e-10,9.86e-05
Ephemera danica,Tanytarsini,0.003194018,9.86e-05
Meridion circulare,Tanytarsini,3.53e-09,9.86e-05
Acroloxus lacustris,Cricotopus,0.010600875,9.89e-05
Clinocera,Cricotopus,0.000344584,9.89e-05
Calopteryx splendens,Parametriocnemus stylatus,0.004028394,0.000104589
Calopteryx virgo,Parametriocnemus stylatus,0.003440514,0.000104589
Goera pilosa,Parametriocnemus stylatus,0.021391212,0.000104589
Asellus aquaticus,Polypedilum convictum,0.007152198,0.000118642
Oulimnius tuberculatus,Polypedilum convictum,0.00037967,0.000118642
Potamopyrgus antipodarum,Polypedilum convictum,0.007630592,0.000118642
Calopteryx virgo,Cricotopus bicinctus,0.003440514,0.000129092
Barbatula barbatula,Synorthocladius semivirens,9.600696635,0.000144423
Calopteryx splendens,Baetis scambus,0.004028394,0.000149142
Cottus gobio,Baetis scambus,2.237172915,0.000149142
Meridion circulare,Baetis scambus,3.53e-09,0.000149142
Achnanthes minutissima,Bezzia,9.13e-10,0.000150991
Ellerbeckia arenaria,Bezzia,8.66e-07,0.000150991
Encyonema silesiacum,Bezzia,3.45e-09,0.000150991
Calopteryx splendens,Tvetenia,0.004028394,0.000152897
Calopteryx virgo,Tvetenia,0.003440514,0.000152897
Hydracarina,Tvetenia,0.000320421,0.000152897
Ithytrichia,Tvetenia,9.46e-05,0.000152897
Salmo trutta,Tvetenia,130.5166771,0.000152897
Calopteryx splendens,Elmis aenea,0.004028394,0.00016697
Ithytrichia,Elmis aenea,9.46e-05,0.00016697
Baetis rhodani,Simulium equinum,0.00027139,0.000167515
Gammarus pulex,Simulium equinum,0.004890172,0.000167515
Hydropsyche pellucidula,Simulium equinum,0.006422471,0.000167515
Navicula atomus,Simulium equinum,1.29e-08,0.000167515
Calopteryx splendens,Limnius volckmari,0.004028394,0.000167701
Dendrocoelum lacteum,Limnius volckmari,0.002000797,0.000167701
Heremodromia,Limnius volckmari,0.000363193,0.000167701
Goera pilosa,Chaetocladius piger,0.021391212,0.00017243
Serratella ignita,Chaetocladius piger,0.000469034,0.00017243
Ellerbeckia arenaria,Pseudosmittia,8.66e-07,0.00019678
Salmo trutta,Pseudosmittia,130.5166771,0.00019678
Calopteryx virgo,Heterotrissocladius marcidus,0.003440514,0.000226682
Clinocera,Heterotrissocladius marcidus,0.000344584,0.000226682
Goera pilosa,Heterotrissocladius marcidus,0.021391212,0.000226682
Dendrocoelum lacteum,Baetis rhodani,0.002000797,0.00027139
Ellerbeckia arenaria,Brillia modesta,8.66e-07,0.000276125
Goera pilosa,Brillia modesta,0.021391212,0.000276125
Baetis scambus,Hydracarina,0.000149142,0.000320421
Clinocera,Baetis vernus,0.000344584,0.000329396
Serratella ignita,Baetis vernus,0.000469034,0.000329396
Clinocera,Pseudorthocladius,0.000344584,0.000338411
Heremodromia,Pseudorthocladius,0.000363193,0.000338411
Serratella ignita,Pseudorthocladius,0.000469034,0.000338411
Calopteryx virgo,Clinocera,0.003440514,0.000344584
Simulium equinum,Clinocera,0.000167515,0.000344584
Baetis scambus,Heremodromia,0.000149142,0.000363193
Clinocera,Oulimnius tuberculatus,0.000344584,0.00037967
Cottus gobio,Oulimnius tuberculatus,2.237172915,0.00037967
Salmo trutta,Oulimnius tuberculatus,130.5166771,0.00037967
Clinocera,Brillia longifurca,0.000344584,0.000397291
Dendrocoelum lacteum,Brillia longifurca,0.002000797,0.000397291
Salmo trutta,Brillia longifurca,130.5166771,0.000397291
Serratella ignita,Brillia longifurca,0.000469034,0.000397291
Asellus aquaticus,Polypedilum pedestre,0.007152198,0.000417515
Encyonema silesiacum,Polypedilum pedestre,3.45e-09,0.000417515
Meridion circulare,Polypedilum pedestre,3.53e-09,0.000417515
Squalius cephalus,Serratella ignita,29.4334539,0.000469034
Asellus aquaticus,Simulium intermedium,0.007152198,0.000472497
Encyonema silesiacum,Simulium intermedium,3.45e-09,0.000472497
Lampetra planeri,Simulium intermedium,4.983824859,0.000472497
Navicula radiosa,Simulium intermedium,1.29e-08,0.000472497
Nitzschia agnita,Simulium intermedium,6e-09,0.000472497
Asellus aquaticus,Thienemannimyia,0.007152198,0.000528527
Hydroptila,Thienemannimyia,5.17e-05,0.000528527
Limnephilus lunatus,Thienemannimyia,0.000670151,0.000528527
Potamopyrgus antipodarum,Thienemannimyia,0.007630592,0.000528527
Hydracarina,Caenis rivulorum,0.000320421,0.000538682
Antocha,Microtendipes pedellus,0.000631705,0.000565952
Asellus aquaticus,Microtendipes pedellus,0.007152198,0.000565952
Antocha,Athripsodes,0.000631705,0.000575266
Asellus aquaticus,Athripsodes,0.007152198,0.000575266
Elmis aenea,Athripsodes,0.00016697,0.000575266
Lype reducta,Athripsodes,0.001283319,0.000575266
Oligochaeta,Athripsodes,0.001613797,0.000575266
Diatoma vulgaris,Antocha,6.01e-08,0.000631705
Hydracarina,Antocha,0.000320421,0.000631705
Simulium equinum,Antocha,0.000167515,0.000631705
Nitzschia heufleriana,Limnephilus lunatus,6e-09,0.000670151
Cottus gobio,Pisidium,2.237172915,0.000889912
Hydracarina,Pisidium,0.000320421,0.000889912
Limnius volckmari,Apsectrotanypus trifascipennis,0.000167701,0.001134434
Bezzia,Lype reducta,0.000150991,0.001283319
Ellerbeckia arenaria,Lype reducta,8.66e-07,0.001283319
Achnanthes lanceolata,Prodiamesa olivacea,3.62e-09,0.001700319
Clinocera,Prodiamesa olivacea,0.000344584,0.001700319
Gammarus pulex,Rhyacophila dorsalis,0.004890172,0.001887711
Phoxinus phoxinus,Rhyacophila dorsalis,1.80544639,0.001887711
Achnanthes lanceolata,Ephemera danica,3.62e-09,0.003194018
Heremodromia,Ephemera danica,0.000363193,0.003194018
Staurosirella pinnata,Ephemera danica,2.07e-09,0.003194018
Amphora inariensis,Calopteryx virgo,1.16e-09,0.003440514
Baetis rhodani,Calopteryx virgo,0.00027139,0.003440514
Potamopyrgus antipodarum,Gammarus pulex,0.007630592,0.004890172
Caenis rivulorum,Hydropsyche siltalai,0.000538682,0.005897064
Calopteryx splendens,Hydropsyche siltalai,0.004028394,0.005897064
Gobio gobio,Hydropsyche siltalai,20.39882147,0.005897064
Ithytrichia,Hydropsyche siltalai,9.46e-05,0.005897064
Squalius cephalus,Hydropsyche siltalai,29.4334539,0.005897064
Ancylus fluviatilis,Hydropsyche pellucidula,0.020020872,0.006422471
Achnanthes lanceolata,Asellus aquaticus,3.62e-09,0.007152198
Achnanthes minutissima,Asellus aquaticus,9.13e-10,0.007152198
Heremodromia,Asellus aquaticus,0.000363193,0.007152198
Achnanthes minutissima,Potamopyrgus antipodarum,9.13e-10,0.007630592
Cottus gobio,Potamopyrgus antipodarum,2.237172915,0.007630592
Encyonema silesiacum,Potamopyrgus antipodarum,3.45e-09,0.007630592
Ellerbeckia arenaria,Ancylus fluviatilis,8.66e-07,0.020020872
Salmo trutta,Ancylus fluviatilis,130.5166771,0.020020872
Staurosirella pinnata,Ancylus fluviatilis,2.07e-09,0.020020872
Achnanthes minutissima,Goera pilosa,9.13e-10,0.021391212
Staurosirella pinnata,Goera pilosa,2.07e-09,0.021391212
Cottus gobio,Lampetra planeri,2.237172915,4.983824859
Polypedilum nubeculosum,Lampetra planeri,5.16e-05,4.983824859
Elmis aenea,Gobio gobio,0.00016697,20.39882147
Ithytrichia,Gobio gobio,9.46e-05,20.39882147
Limnephilus lunatus,Gobio gobio,0.000670151,20.39882147
Heremodromia,Salmo trutta,0.000363193,130.5166771
