Prey,Predator,PreyMass,PredatorMass
saphrophytes,algae,-999,-999
algae,bacteria,-999,9.5e-16
leaf litter,ciliates,-999,2.63e-09
algae,Parisotoma notabilis,-999,2.41e-06
leaf litter,Ceratophysella denticulata,-999,5.96e-06
Xantholininae sp. (juv),Suctobelbella sp.,0.00144613,6.17e-06
algae,Suctobelbella sp.,-999,6.17e-06
amoebae,Oppiella falcata,2.8e-08,6.68e-06
root exudates,Oppiella falcata,-999,6.68e-06
root exudates,Megalothorax minimus,-999,1.52e-05
roots,Oppiella subpectinata,-999,1.52e-05
Atropacarus striculus,Veigaia exigua,2.49e-05,1.59e-05
Ceratozetes gracilis,Veigaia exigua,3.57e-05,1.59e-05
Diplocephalus picinus,Veigaia exigua,0.001612679,1.59e-05
Hypochthonius rufulus,Veigaia exigua,2.51e-05,1.59e-05
Monachoides incarnatus,Veigaia exigua,0.133691024,1.59e-05
Polydesmus denticulatus,Veigaia exigua,0.004118213,1.59e-05
Trichoniscus pusillus {m},Veigaia exigua,0.000404192,1.59e-05
Xantholininae sp. (juv),Veigaia exigua,0.00144613,1.59e-05
Brachychthoniidae spp.,Veigaia nemorensis (juv),7.11e-06,1.79e-05
Enchytraeidae,Veigaia nemorensis (juv),-999,1.79e-05
Lithobius aeruginosus {m},Veigaia nemorensis (juv),0.000549355,1.79e-05
Saloca diceros,Veigaia nemorensis (juv),0.001156146,1.79e-05
Scolopendrella cf. subnuda {m},Veigaia nemorensis (juv),0.000200929,1.79e-05
Suctobelbella sp.,Veigaia nemorensis (juv),6.17e-06,1.79e-05
Tenuiphantes mengei,Veigaia nemorensis (juv),0.001776666,1.79e-05
Theridiidae sp. (juv),Veigaia nemorensis (juv),0.003831577,1.79e-05
ciliates,Veigaia nemorensis (juv),2.63e-09,1.79e-05
Uropoda cassidea (juv),Pergamasinae (juv) {s},3.95e-05,1.87e-05
amoebae,Atropacarus striculus,2.8e-08,2.49e-05
Monachoides incarnatus,Lithobius sp1 {s},0.133691024,4.11e-05
Uropoda cf splendida (juv),Lithobius sp1 {s},7.64e-05,4.11e-05
Lumbricus terrestris,Lysigamasus lapponicus,6.054848485,5.21e-05
Molops piceus,Lysigamasus lapponicus,0.110875648,5.21e-05
Robertus sp. (juv) {m},Lysigamasus lapponicus,0.00037098,5.21e-05
Saloca diceros,Lysigamasus lapponicus,0.001156146,5.21e-05
Steganacarus herculeanus,Lysigamasus lapponicus,0.000275361,5.21e-05
Glomeris sp.,Lithobius sp2 {s},0.25318,6.6e-05
Limax cinereoniger,Lithobius sp2 {s},3.3210975,6.6e-05
bacterivorous nematodes,Lithobius sp2 {s},8.52e-07,6.6e-05
Oribatida sp. (juv),Uropoda cf splendida (juv),7.36e-07,7.64e-05
Campodea sp. {l},Eusphalerum sp.,0.002292383,0.000197532
Harpactea lepida (juv) large,Eusphalerum sp.,0.004962887,0.000197532
Hypochthonius rufulus,Eusphalerum sp.,2.51e-05,0.000197532
Linyphiidae cf Erigoniinae (juv) {m},Eusphalerum sp.,0.000220271,0.000197532
Lithobius melanops,Eusphalerum sp.,0.005704819,0.000197532
flagellates,Eusphalerum sp.,3.63e-07,0.000197532
Parisotoma notabilis,Robertus sp. (juv) {m},2.41e-06,0.00037098
omnivorous nematodes,Robertus sp. (juv) {m},6.02e-05,0.00037098
Oribatida sp. (juv),Athous subfuscus (juv) {m},7.36e-07,0.000471002
Abax sp.,Lithobius aeruginosus {m},0.192305356,0.000549355
Agelenidae sp. (juv),Lithobius aeruginosus {m},0.009143081,0.000549355
Harpactea lepida large,Lithobius aeruginosus {m},0.014693674,0.000549355
Parisotoma notabilis,Lithobius aeruginosus {m},2.41e-06,0.000549355
Protaphorura sp.,Lithobius aeruginosus {m},8.73e-06,0.000549355
omnivorous nematodes,Lithobius aeruginosus {m},6.02e-05,0.000549355
root exudates,Lithobius aeruginosus {m},-999,0.000549355
saphrophytes,Nitidulidae sp.,-999,0.000827099
Ceratophysella denticulata,Saloca diceros,5.96e-06,0.001156146
Uropoda cassidea (juv),Saloca diceros,3.95e-05,0.001156146
saphrophytes,Xantholininae sp. (juv),-999,0.00144613
bacteria,Coleoptera sp.,9.5e-16,0.001535648
leaf litter,Coleoptera sp.,-999,0.001535648
Folsomia spinosa,Xantholinus sp. (juv) {m},5.41e-06,0.001552369
Julidae sp.,Xantholinus sp. (juv) {m},0.00617,0.001552369
Lepidocyrtus cyaneus,Xantholinus sp. (juv) {m},8.99e-06,0.001552369
bacteria,Xantholinus sp. (juv) {m},9.5e-16,0.001552369
mykorrhiza,Xantholinus sp. (juv) {m},-999,0.001552369
