Prey,Predator,PreyMass,PredatorMass
Eupterygini,Sminthuridae,0.000366492,2.95e-05
Procloeon bifidum,Sminthuridae,0.003539066,2.95e-05
Dixella sp,Acari phyto,0.000531552,3.97e-05
Procloeon bifidum,Acari phyto,0.003539066,3.97e-05
Eupterygini,Cloeon simile,0.000366492,0.001946486
Eupterygini,Armadillidium vulgare,0.000366492,0.003273636
Procloeon bifidum,Ceratopogonidae,0.003539066,0.003322199
Philaenus spumarius,Ligidium hypnorum,0.005619538,0.010587704
Eupterygini,Porcellium conspersum,0.000366492,0.012858605
Herina parva,Tetrix sp,0.00132888,0.013292764
Dixella sp,Trachelipus rathkei,0.000531552,0.032146512
Philaenus spumarius,Trachelipus rathkei,0.005619538,0.032146512
Herina parva,Vertigo antivertigo,0.00132888,0.055187582
Procloeon bifidum,Vertigo antivertigo,0.003539066,0.055187582
Procloeon bifidum,Chorthippus sp,0.003539066,0.057241565
Eupterygini,Chorthippus montanus,0.000366492,0.085544339
Procloeon bifidum,Chorthippus montanus,0.003539066,0.085544339
Herina parva,Oligochaeta,0.00132888,0.100621823
Eupterygini,Lumbricidae,0.000366492,0.123989606
Armadillidium vulgare,Succinea putris,0.003273636,0.131128136
Dixella sp,Succinea putris,0.000531552,0.131128136
Herina parva,Succinea putris,0.00132888,0.131128136
Philaenus spumarius,Succinea putris,0.005619538,0.131128136
Dixella sp,Euconulus alderi,0.000531552,0.173444758
Procloeon bifidum,Euconulus alderi,0.003539066,0.173444758
Procloeon bifidum,Caelifera,0.003539066,0.211793792
Natrix natrix,Locustella naevia,100,13
Eupterygini,Microtus agrestis,0.000366492,35
Locustella naevia,Natrix natrix,13,100
Eupterygini,Capreolus capreolus,0.000366492,20000
