Prey,Predator,PreyMass,PredatorMass
Cymbella kappii,Oligochaeta type II,-999,9.27e-06
Diatoma heimale,Oligochaeta Type I,-999,9.27e-06
Fragilaria vaucheriae,Oligochaeta type II,-999,9.27e-06
Gomphoneis herculeana,Oligochaeta type II,-999,9.27e-06
Gomphonema cf. olivaceum,Oligochaeta Type I,-999,9.27e-06
Unidentified detritus,Oligochaeta Type I,-999,9.27e-06
Unidentified detritus,Oligochaeta type II,-999,9.27e-06
Fragilaria vaucheriae,Nesameletus ornatus,-999,1.06e-05
Cymbella sinuata,Amphipoda spp.,-999,2.85e-05
Gomphonema cf. olivaceum,Amphipoda spp.,-999,2.85e-05
Gomphonema parvulum,Oxyethira albiceps,-999,4.81e-05
Tabellaria flocculosa,Oxyethira albiceps,-999,4.81e-05
Fragilaria vaucheriae,Corynoneura,-999,5.06e-05
Gomphonema cf. olivaceum,Corynoneura,-999,5.06e-05
Audouinella,Aoteapsyche sp.,-999,5.48e-05
Cyclotella sp.,Aoteapsyche sp.,-999,5.48e-05
Fragilaria vaucheriae,Aoteapsyche sp.,-999,5.48e-05
Gomphoneis herculeana,Aoteapsyche sp.,-999,5.48e-05
Synedra ulna,Aoteapsyche sp.,-999,5.48e-05
Cymbella sinuata,Austrosimulium australense,-999,7.29e-05
Gomphoneis herculeana,Austrosimulium australense,-999,7.29e-05
Synedra ulna,Austrosimulium australense,-999,7.29e-05
Rhoicosphenia curvata,Deleatidium spp.,-999,8.2e-05
Unknown green algae filaments,Deleatidium spp.,-999,8.2e-05
Cymbella sinuata,Eukiefidrella,-999,0.000103273
Fragilaria vaucheriae,Eukiefidrella,-999,0.000103273
Achnanthes linearis,Cricotopus II,-999,0.000124278
Achnanthes minutissima,Cricotopus II,-999,0.000124278
Achnanthes saxonica,Cricotopus II,-999,0.000124278
Aucalosira sp.,Cricotopus II,-999,0.000124278
Cymbella kappii,Cricotopus II,-999,0.000124278
Cymbella minuta,Cricotopus II,-999,0.000124278
Gomphoneis herculeana,Cricotopus II,-999,0.000124278
Gomphonema cf. olivaceum,Cricotopus II,-999,0.000124278
Sephanodiscus sp.,Cricotopus II,-999,0.000124278
Cymbella kappii,Tanytarsini,-999,0.000132669
Sephanodiscus sp.,Tanytarsini,-999,0.000132669
Tabellaria flocculosa,Tanytarsini,-999,0.000132669
Eukiefidrella,Costachorema xanthoptera,0.000103273,0.000148527
Diatoma heimale,Pirara,-999,0.000164368
Pinnularia (small - mesolepta??),Pirara,-999,0.000164368
Fragilaria vaucheriae,Cricotopus I ,-999,0.000223747
Tabellaria flocculosa,Cricotopus I ,-999,0.000223747
Aucalosira sp.,Polypedellum,-999,0.000231622
Eukiefidrella,Psilochorema bidens,0.000103273,0.000236259
Pirara,Psilochorema bidens,0.000164368,0.000236259
Synedra ulna,Maoridiamesea,-999,0.000239176
Gomphonema parvulum,Zealandoperla/Acroperla sp.,-999,0.000240406
Rhoicosphenia curvata,Zealandoperla/Acroperla sp.,-999,0.000240406
Achnanthes linearis,Eriopterini sp. ,-999,0.000248146
Gomphoneis herculeana,Eriopterini sp. ,-999,0.000248146
Synedra ulna,Naonella,-999,0.000310421
Cocconeis sp.,Podonomus,-999,0.000374514
Cymbella kappii,Olinga feredayi,-999,0.000380354
Oedogonium,Olinga feredayi,-999,0.000380354
Unidentified detritus,Olinga feredayi,-999,0.000380354
Cymbella minuta,Hudsonema amabilis,-999,0.000445181
Gomphoneis herculeana,Hudsonema amabilis,-999,0.000445181
Synedra ulna,Hudsonema amabilis,-999,0.000445181
Unidentified detritus,Hudsonema amabilis,-999,0.000445181
Cymbella sinuata,Hydora nitida larvae,-999,0.000448909
Gomphonema cf. olivaceum,Hydora nitida larvae,-999,0.000448909
Sephanodiscus sp.,Hydora nitida larvae,-999,0.000448909
Synedra ulna,Hydora nitida larvae,-999,0.000448909
Unidentified detritus,Hydora nitida larvae,-999,0.000448909
Fragilaria vaucheriae,Orchymontia sp.,-999,0.000614333
Nitzschia sp. (small),Scirtid sp. (Broad type),-999,0.000695792
Synedra ulna,Scirtid sp. (Broad type),-999,0.000695792
Gomphonema cf. olivaceum,Hydora nitida adult,-999,0.000695792
Tabellaria flocculosa,Tabanid sp. ,-999,0.000731038
Unidentified detritus,Tabanid sp. ,-999,0.000731038
Gomphoneis herculeana,Stictocladius,-999,0.000819175
Gomphonema cf. olivaceum,Stictocladius,-999,0.000819175
Terrestrial invertebrates,Hydrobiosis silvicola/clavigera,-999,0.000827948
Pirara,Archichauliodes diversus,0.000164368,0.015691593
Austrosimulium australense,Galaxias sp.,7.29e-05,20
Hydrobiosid sp.,Galaxias sp.,4.63e-05,20
Maoridiamesea,Galaxias sp.,0.000239176,20
Naonella,Galaxias sp.,0.000310421,20
Tanytarsini,Galaxias sp.,0.000132669,20
Cricotopus I ,Salmo trutta,0.000223747,634
Cricotopus II,Salmo trutta,0.000124278,634
Hydora nitida adult,Salmo trutta,0.000695792,634
Maoridiamesea,Salmo trutta,0.000239176,634
Unidentified detritus,Salmo trutta,-999,634
