Prey,Predator,PreyMass,PredatorMass
Thienemannimyia,Hydracarina,0.000528527,0.000288806
Apsectrotanypus trifascipennis,Calopteryx splendens,0.001134434,0.000357821
Cryptochironomus,Calopteryx splendens,8.68e-05,0.000357821
Paracladopelma camptolabis,Calopteryx splendens,2.48e-05,0.000357821
Simulium lundstromi,Calopteryx splendens,0.000519977,0.000357821
Nilotanypus,Simulium intermedium,0.001201784,0.000472497
Cryptochironomus,Thienemannimyia,8.68e-05,0.000528527
Simulium intermedium,Thienemannimyia,0.000472497,0.000528527
Apsectrotanypus trifascipennis,Heremodromia,0.001134434,0.000658717
Cryptochironomus,Heremodromia,8.68e-05,0.000658717
Nilotanypus,Heremodromia,0.001201784,0.000658717
Paracladopelma camptolabis,Heremodromia,2.48e-05,0.000658717
Baetis rhodani,Polycentropus flavomaculatus,0.000746418,0.000867016
Cryptochironomus,Polycentropus flavomaculatus,8.68e-05,0.000867016
Elmis aenea,Polycentropus flavomaculatus,0.000163479,0.000867016
Gammarus pulex,Polycentropus flavomaculatus,0.002429482,0.000867016
Oligochaeta,Polycentropus flavomaculatus,0.003815428,0.000867016
Paracladopelma camptolabis,Polycentropus flavomaculatus,2.48e-05,0.000867016
Baetis rhodani,Ablabesmyia monilis,0.000746418,0.001004011
Cryptochironomus,Ablabesmyia monilis,8.68e-05,0.001004011
Potamophylax cingulatus,Ablabesmyia monilis,0.026891886,0.001004011
Simulium equinum,Ablabesmyia monilis,0.000162885,0.001004011
Tanytarsini,Ablabesmyia monilis,9.86e-05,0.001004011
Cryptochironomus,Apsectrotanypus trifascipennis,8.68e-05,0.001134434
Ablabesmyia monilis,Nilotanypus,0.001004011,0.001201784
Paracladopelma camptolabis,Nilotanypus,2.48e-05,0.001201784
Polypedilum nubeculosum,Nilotanypus,5.16e-05,0.001201784
Stempellina bausei,Nilotanypus,8.13e-05,0.001201784
Apsectrotanypus trifascipennis,Gammarus pulex,0.001134434,0.002429482
Apsectrotanypus trifascipennis,Hydropsyche siltalai,0.001134434,0.006520027
Baetis rhodani,Hydropsyche siltalai,0.000746418,0.006520027
Cryptochironomus,Hydropsyche siltalai,8.68e-05,0.006520027
Paracladopelma camptolabis,Hydropsyche siltalai,2.48e-05,0.006520027
Thienemannimyia,Hydropsyche siltalai,0.000528527,0.006520027
Apsectrotanypus trifascipennis,Halesus radiatus,0.001134434,0.008838611
Cryptochironomus,Halesus radiatus,8.68e-05,0.008838611
Paracladopelma camptolabis,Halesus radiatus,2.48e-05,0.008838611
Apsectrotanypus trifascipennis,Hydropsyche pellucidula,0.001134434,0.010641174
Baetis rhodani,Hydropsyche pellucidula,0.000746418,0.010641174
Cryptochironomus,Hydropsyche pellucidula,8.68e-05,0.010641174
Paracladopelma camptolabis,Hydropsyche pellucidula,2.48e-05,0.010641174
Thienemannimyia,Hydropsyche pellucidula,0.000528527,0.010641174
Paracladopelma camptolabis,Sericostoma personatum,2.48e-05,0.011105252
Prodiamesa olivacea,Sericostoma personatum,0.001440825,0.011105252
Ablabesmyia monilis,Gasterosteus aculeatus,0.001004011,1.17735314
Achnanthes delicatula,Gasterosteus aculeatus,4.41e-09,1.17735314
Achnanthes helvetica,Gasterosteus aculeatus,2.27e-09,1.17735314
Achnanthes lanceolata,Gasterosteus aculeatus,3.62e-09,1.17735314
Achnanthes minutissima,Gasterosteus aculeatus,9.13e-10,1.17735314
Apsectrotanypus trifascipennis,Gasterosteus aculeatus,0.001134434,1.17735314
Cricotopus bicinctus,Gasterosteus aculeatus,0.000129092,1.17735314
Epoicocladius flavens,Gasterosteus aculeatus,9.71e-05,1.17735314
Fragilaria fasciculata,Gasterosteus aculeatus,3.87e-09,1.17735314
Heleniella ornaticollis,Gasterosteus aculeatus,7.3e-05,1.17735314
Meridion circulare,Gasterosteus aculeatus,3.53e-09,1.17735314
Nilotanypus,Gasterosteus aculeatus,0.001201784,1.17735314
Parametriocnemus stylatus,Gasterosteus aculeatus,0.000104589,1.17735314
Pinnularia appendiculata,Gasterosteus aculeatus,2.19e-09,1.17735314
Pseudorthocladius,Gasterosteus aculeatus,0.000338411,1.17735314
Pseudostaurosira brevistriata,Gasterosteus aculeatus,2.46e-09,1.17735314
Simulium intermedium,Gasterosteus aculeatus,0.000472497,1.17735314
Staurosirella leptostauron,Gasterosteus aculeatus,2.07e-09,1.17735314
Staurosirella pinnata,Gasterosteus aculeatus,2.07e-09,1.17735314
Surirella brebissonii,Gasterosteus aculeatus,1.58e-08,1.17735314
Thienemanniella,Gasterosteus aculeatus,3.45e-05,1.17735314
Tvetenia,Gasterosteus aculeatus,0.000152897,1.17735314
Polycentropus flavomaculatus,Barbatula barbatula,0.000867016,15.26231247
Simulium intermedium,Barbatula barbatula,0.000472497,15.26231247
Ablabesmyia monilis,Salmo trutta,0.001004011,32.43793607
Apsectrotanypus trifascipennis,Salmo trutta,0.001134434,32.43793607
Asellus aquaticus,Salmo trutta,0.002102653,32.43793607
Athripsodes,Salmo trutta,0.000788183,32.43793607
Baetis rhodani,Salmo trutta,0.000746418,32.43793607
Caenis luctuosa,Salmo trutta,0.000374245,32.43793607
Cricotopus bicinctus,Salmo trutta,0.000129092,32.43793607
Cryptochironomus,Salmo trutta,8.68e-05,32.43793607
Elmis aenea,Salmo trutta,0.000163479,32.43793607
Ephemera danica,Salmo trutta,0.002985056,32.43793607
Epoicocladius flavens,Salmo trutta,9.71e-05,32.43793607
Gammarus pulex,Salmo trutta,0.002429482,32.43793607
Heleniella ornaticollis,Salmo trutta,7.3e-05,32.43793607
Hydracarina,Salmo trutta,0.000288806,32.43793607
Ithytrichia,Salmo trutta,7.38e-05,32.43793607
Limnephilus lunatus,Salmo trutta,0.002143481,32.43793607
Limnephilus rhombicus,Salmo trutta,0.02026648,32.43793607
Limnius volckmari,Salmo trutta,0.000553686,32.43793607
Nemoura avicularis,Salmo trutta,0.003155618,32.43793607
Oligochaeta,Salmo trutta,0.003815428,32.43793607
Paracladopelma camptolabis,Salmo trutta,2.48e-05,32.43793607
Parametriocnemus stylatus,Salmo trutta,0.000104589,32.43793607
Polycentropus flavomaculatus,Salmo trutta,0.000867016,32.43793607
Polypedilum convictum,Salmo trutta,0.000118642,32.43793607
Polypedilum nubeculosum,Salmo trutta,5.16e-05,32.43793607
Potamophylax cingulatus,Salmo trutta,0.026891886,32.43793607
Prodiamesa olivacea,Salmo trutta,0.001440825,32.43793607
Pseudorthocladius,Salmo trutta,0.000338411,32.43793607
Sericostoma personatum,Salmo trutta,0.011105252,32.43793607
Sialis lutaria,Salmo trutta,0.011671145,32.43793607
Simulium equinum,Salmo trutta,0.000162885,32.43793607
Simulium intermedium,Salmo trutta,0.000472497,32.43793607
Simulium lundstromi,Salmo trutta,0.000519977,32.43793607
Stempellina bausei,Salmo trutta,8.13e-05,32.43793607
Tanytarsini,Salmo trutta,9.86e-05,32.43793607
Thienemanniella,Salmo trutta,3.45e-05,32.43793607
Thienemannimyia,Salmo trutta,0.000528527,32.43793607
Tvetenia,Salmo trutta,0.000152897,32.43793607
