Prey,Predator,PreyMass,PredatorMass
PhytoP,Acanthophora spicifera,0.0001,0.000228
PhytoP,Caulerpa prolifera,0.0001,0.000228
PhytoP,Caulerpa racemosa,0.0001,0.000228
PhytoP,Corallina sp.,0.0001,0.000228
PhytoP,Gracilaria Birdiae,0.0001,0.000228
PhytoP,Lithophyllum sp.,0.0001,0.000228
PhytoP,Padina gymnospora,0.0001,0.000228
PhytoP,Plocamium sp.,0.0001,0.000228
Aplysia dactylomela,Stramonita haemastoma,78.27,4.07
Haemulon parra,Stramonita haemastoma,0.01,4.07
Tedania sp.,Stramonita haemastoma,0.01,4.07
Haemulon parra,Aplysia dactylomela,0.01,78.27
