Prey,Predator,PreyMass,PredatorMass
Asparagopsis armata,PhytoP,0.000228,0.0001
Carcinus maenas,PhytoP,0.01,0.0001
Balanus sp.,Bifurcaria bifurcata,0.01,0.000228
Carcinus maenas,Codium sp.,0.01,0.000228
Coryphoblennius galerita,Padina pavonica,0.6,0.000228
Jaera sp.,Colpomenia peregrina,0.01,0.000228
Anemonia sulcata,Omalogyra atomus,3.9,0.0005
Mytilus galloprovincialis,Omalogyra atomus,0.54,0.0005
Chthamalus sp.,Zooplankton,0.01,0.001
Nemertea,Zooplankton,0.01,0.001
Carcinus maenas,Insecta,0.01,0.0017
Chthamalus sp.,Insecta,0.01,0.0017
Turtonia minuta,Insecta,0.0011,0.0017
Cardiidae,Rissoidae,0.0002,0.002
Musculus costulatus,Tricolia pullus,0.005,0.0089
Acanthochitona crinita,Polychaeta,0.18,0.01
Asterina gibbosa,Porifera,0.6,0.01
Calliopidae,Oligochaeta,0.01,0.01
Cardiidae,Stenothoidae,0.0002,0.01
Ectoprocta,Sphaeromatidae,0.01,0.01
Leucothoidae,Stenothoidae,0.01,0.01
Leucothoidae,Tanaidacea,0.01,0.01
Lipophrys pholis,Xantho pilipes,0.56,0.01
Lithophyllum sp.,Necora puber,0.000228,0.01
Musculus costulatus,Leucothoidae,0.005,0.01
Mytilus galloprovincialis,Necora puber,0.54,0.01
Mytilus galloprovincialis,Stenothoidae,0.54,0.01
Palaemon elegans,Nucella sp.,0.13,0.01
Palaemon longirostris,Nucella sp.,0.24,0.01
PhytoP,Necora puber,0.0001,0.01
PhytoP,Tanaidacea,0.0001,0.01
Turtonia minuta,Sphaeromatidae,0.0011,0.01
Barleeia sp.,Palaemon elegans,0.0006,0.13
Lithophyllum sp.,Palaemon elegans,0.000228,0.13
Cardiidae,Lepidochitona cinerea,0.0002,0.15
Mytilus galloprovincialis,Lepidochitona cinerea,0.54,0.15
Porifera,Lepidochitona cinerea,0.01,0.15
Turridae,Lepidochitona cinerea,0.01,0.15
Asterina gibbosa,Acanthochitona crinita,0.6,0.18
Ectoprocta,Pirimela denticulata,0.01,0.32
Mytilus galloprovincialis,Aulactinia verrucosa,0.54,0.5
Nassariidae,Lipophrys pholis,0.31,0.56
Nemertea,Lipophrys pholis,0.01,0.56
Necora puber,Asterina gibbosa,0.01,0.6
Nemertea,Coryphoblennius galerita,0.01,0.6
Aplysia punctata,Lipophrys trigloides,2.36,1.5
Nassariidae,Aplysia punctata,0.31,2.36
Turridae,Aplysia punctata,0.01,2.36
Lithophyllum sp.,Paracentrotus lividus,0.000228,2.99
Acanthochitona crinita,Anemonia sulcata,0.18,3.9
Actinia equina,Anemonia sulcata,1.57,3.9
Dictyota dichotoma,Anemonia sulcata,0.000228,3.9
