Prey,Predator,PreyMass,PredatorMass
Cocconeis pediculus,Polypedilum nubeculosum,4.51e-08,5.16e-05
Melosira varians,Polypedilum nubeculosum,6.41e-09,5.16e-05
Navicula atomus,Polypedilum nubeculosum,1.29e-08,5.16e-05
Navicula lanceolata phyllepta,Polypedilum nubeculosum,3.57e-09,5.16e-05
Navicula minima,Polypedilum nubeculosum,1.11e-09,5.16e-05
Navicula radiosa,Polypedilum nubeculosum,1.29e-08,5.16e-05
Nitzschia agnita,Polypedilum nubeculosum,6e-09,5.16e-05
Nitzschia dissipata,Polypedilum nubeculosum,4.7e-10,5.16e-05
Nitzschia heufleriana,Polypedilum nubeculosum,6e-09,5.16e-05
Staurosirella pinnata,Polypedilum nubeculosum,2.07e-09,5.16e-05
Cocconeis neodiminuta,Tanytarsini,6.86e-09,9.86e-05
Cocconeis pediculus,Tanytarsini,4.51e-08,9.86e-05
Melosira varians,Tanytarsini,6.41e-09,9.86e-05
Navicula goeppertiana,Tanytarsini,1.29e-08,9.86e-05
Navicula lanceolata,Tanytarsini,3.66e-08,9.86e-05
Navicula lenzii,Tanytarsini,1.29e-08,9.86e-05
Navicula menisculus,Tanytarsini,3.19e-08,9.86e-05
Navicula minima,Tanytarsini,1.11e-09,9.86e-05
Navicula radiosa,Tanytarsini,1.29e-08,9.86e-05
Navicula seminulum,Tanytarsini,1.29e-08,9.86e-05
Nitzschia agnita,Tanytarsini,6e-09,9.86e-05
Nitzschia dissipata,Tanytarsini,4.7e-10,9.86e-05
Nitzschia frustulum,Tanytarsini,6e-09,9.86e-05
Nitzschia palea,Tanytarsini,5e-09,9.86e-05
Nitzschia recta,Tanytarsini,2.02e-08,9.86e-05
Cocconeis neodiminuta,Polypedilum convictum,6.86e-09,0.000118642
Cocconeis placentula,Polypedilum convictum,1.49e-08,0.000118642
Gomphonema,Polypedilum convictum,5e-09,0.000118642
Navicula cryptonella,Polypedilum convictum,1.12e-08,0.000118642
Navicula lanceolata phyllepta,Polypedilum convictum,3.57e-09,0.000118642
Navicula lenzii,Polypedilum convictum,1.29e-08,0.000118642
Navicula minima,Polypedilum convictum,1.11e-09,0.000118642
Navicula seminulum,Polypedilum convictum,1.29e-08,0.000118642
Nitzschia heufleriana,Polypedilum convictum,6e-09,0.000118642
Nitzschia palea,Polypedilum convictum,5e-09,0.000118642
Apsectrotanypus trifascipennis,Simulium equinum,0.001134434,0.000167515
Cocconeis pediculus,Simulium equinum,4.51e-08,0.000167515
Corynoneura,Simulium equinum,6.98e-06,0.000167515
Cricotopus,Simulium equinum,9.89e-05,0.000167515
Epoicocladius flavens,Simulium equinum,9.71e-05,0.000167515
Eukiefferiella claripennis,Simulium equinum,9.3e-05,0.000167515
Fragilaria fasciculata,Simulium equinum,3.87e-09,0.000167515
Gomphonema,Simulium equinum,5e-09,0.000167515
Heterotrissocladius marcidus,Simulium equinum,0.000226682,0.000167515
Meridion circulare,Simulium equinum,3.53e-09,0.000167515
Parametriocnemus stylatus,Simulium equinum,0.000104589,0.000167515
Polypedilum pedestre,Simulium equinum,0.000417515,0.000167515
Tanytarsini,Simulium equinum,9.86e-05,0.000167515
Apsectrotanypus trifascipennis,Hydracarina,0.001134434,0.000320421
Corynoneura,Hydracarina,6.98e-06,0.000320421
Eukiefferiella claripennis,Hydracarina,9.3e-05,0.000320421
Nanocladius rectinervis,Hydracarina,0.000115701,0.000320421
Pseudorthocladius,Hydracarina,0.000338411,0.000320421
Thienemanniella,Hydracarina,3.28e-05,0.000320421
Brillia longifurca,Clinocera,0.000397291,0.000344584
Brillia modesta,Clinocera,0.000276125,0.000344584
Chaetocladius piger,Clinocera,0.00017243,0.000344584
Corynoneura,Clinocera,6.98e-06,0.000344584
Epoicocladius flavens,Clinocera,9.71e-05,0.000344584
Eukiefferiella claripennis,Clinocera,9.3e-05,0.000344584
Heterotrissocladius marcidus,Clinocera,0.000226682,0.000344584
Microtendipes pedellus,Clinocera,0.000565952,0.000344584
Polypedilum convictum,Clinocera,0.000118642,0.000344584
Polypedilum nubeculosum,Clinocera,5.16e-05,0.000344584
Polypedilum pedestre,Clinocera,0.000417515,0.000344584
Prodiamesa olivacea,Clinocera,0.001700319,0.000344584
Pseudorthocladius,Clinocera,0.000338411,0.000344584
Pseudosmittia,Clinocera,0.00019678,0.000344584
Thienemannimyia,Clinocera,0.000528527,0.000344584
Apsectrotanypus trifascipennis,Heremodromia,0.001134434,0.000363193
Epoicocladius flavens,Heremodromia,9.71e-05,0.000363193
Eukiefferiella claripennis,Heremodromia,9.3e-05,0.000363193
Nanocladius rectinervis,Heremodromia,0.000115701,0.000363193
Prodiamesa olivacea,Heremodromia,0.001700319,0.000363193
Synorthocladius semivirens,Heremodromia,0.000144423,0.000363193
Thienemanniella,Heremodromia,3.28e-05,0.000363193
Tvetenia,Heremodromia,0.000152897,0.000363193
Amphora inariensis,Polypedilum pedestre,1.16e-09,0.000417515
Cocconeis neodiminuta,Polypedilum pedestre,6.86e-09,0.000417515
Cocconeis placentula,Polypedilum pedestre,1.49e-08,0.000417515
Gomphonema,Polypedilum pedestre,5e-09,0.000417515
Navicula cryptonella,Polypedilum pedestre,1.12e-08,0.000417515
Navicula goeppertiana,Polypedilum pedestre,1.29e-08,0.000417515
Navicula lanceolata phyllepta,Polypedilum pedestre,3.57e-09,0.000417515
Navicula menisculus,Polypedilum pedestre,3.19e-08,0.000417515
Navicula pupula,Polypedilum pedestre,1.29e-08,0.000417515
Nitzschia capitellata,Polypedilum pedestre,6e-09,0.000417515
Nitzschia recta,Polypedilum pedestre,2.02e-08,0.000417515
Brillia longifurca,Serratella ignita,0.000397291,0.000469034
Epoicocladius flavens,Serratella ignita,9.71e-05,0.000469034
Eukiefferiella claripennis,Serratella ignita,9.3e-05,0.000469034
Heterotrissocladius marcidus,Serratella ignita,0.000226682,0.000469034
Polypedilum convictum,Serratella ignita,0.000118642,0.000469034
Polypedilum pedestre,Serratella ignita,0.000417515,0.000469034
Pseudorthocladius,Serratella ignita,0.000338411,0.000469034
