Prey,Predator,PreyMass,PredatorMass
Diatoms,Podon intermedius,1.8e-17,5.88e-05
POM,Pseudocalanus elongatus,-999,8.13e-05
Microcalanus pusillis,Evadne nordmanni,3.21e-05,9.39e-05
Pseudocalanus elongatus,Evadne nordmanni,8.13e-05,9.39e-05
Temora longicornis,Evadne nordmanni,9.39e-05,9.39e-05
Calanus helgolandicus,Oithona nana,0.00020998,0.00037
Eutemora hirundoides,Gitana sarsi,6.96e-05,0.00043147
Acartia clausi,Palaemon serratus,0.00017189,0.0033409
POM,Palaemon serratus,-999,0.0033409
Acartia clausi,Gammaropsis maculata,0.00017189,0.0050477
Calanus elongatus,Gammaropsis maculata,0.00013777,0.0050477
Metridia lucens,Gammaropsis maculata,0.00094371,0.0050477
Temora longicornis,Gammaropsis maculata,9.39e-05,0.0050477
Diatoms,Bougainvillea ramosa,1.8e-17,0.0074024
Microcalanus pusillis,Bougainvillea ramosa,3.21e-05,0.0074024
Pseudocalanus elongatus,Bougainvillea ramosa,8.13e-05,0.0074024
Acartia clausi,Hyperia galba,0.00017189,0.0074024
Pseudocalanus elongatus,Hyperia galba,8.13e-05,0.0074024
Calanus elongatus,Caprella fretensis,0.00013777,0.0087573
Calanus helgolandicus,Caprella fretensis,0.00020998,0.0087573
Centropages typicus,Caprella fretensis,0.00010758,0.0087573
Eutemora hirundoides,Caprella fretensis,6.96e-05,0.0087573
Metridia lucens,Caprella fretensis,0.00094371,0.0087573
Acartia clausi,Gammarellus angulosus,0.00017189,0.011827
Centropages typicus,Gammarellus angulosus,0.00010758,0.011827
Detritus,Circeis armoricana,-999,0.011827
Eutemora hirundoides,Gammarellus angulosus,6.96e-05,0.011827
Metridia lucens,Gammarellus angulosus,0.00094371,0.011827
Eutemora hirundoides,Caryophyllia smithii,6.96e-05,0.02164
Calanus elongatus,Caprella linearis,0.00013777,0.026435
Paracalanus parvus,Caprella linearis,0.00019044,0.026435
Centropages typicus,Caprella penantis,0.00010758,0.029021
Eutemora hirundoides,Caprella penantis,6.96e-05,0.029021
Metridia lucens,Caprella penantis,0.00094371,0.029021
Microcalanus pusillis,Caprella penantis,3.21e-05,0.029021
Pseudocalanus elongatus,Caprella penantis,8.13e-05,0.029021
Asparagopsis armata,Liocarcinus arcuatus,0.28161,0.050704
Chondrus crispus,Liocarcinus arcuatus,0.060571,0.050704
Cladophora rupestris,Liocarcinus arcuatus,0.0043789,0.050704
Enteromorpha compressa,Liocarcinus arcuatus,0.28161,0.050704
Palaemon serratus,Liocarcinus arcuatus,0.0033409,0.050704
Podon intermedius,Liocarcinus arcuatus,5.88e-05,0.050704
Polysiphonia urceolata,Liocarcinus arcuatus,0.020359,0.050704
Ulva lactuca,Liocarcinus arcuatus,0.28161,0.050704
Asterias rubens,Carcinus maenas,3.0182,0.059727
Marthasterias glacialis,Carcinus maenas,0.27284,0.059727
Paracentrotus lividus,Necora puber,0.26729,0.080569
Acartia clausi,Anemonia sulcata,0.00017189,0.092772
Metridia lucens,Anemonia sulcata,0.00094371,0.092772
Paracalanus parvus,Anemonia sulcata,0.00019044,0.092772
Mytilus edulis,Liocarcinus corrugatus,0.77627,0.10799
Cladophora albida,Asterina gibbosa,0.020359,0.14823
Enteromorpha compressa,Asterina gibbosa,0.28161,0.14823
Phaeophila leptochaete,Asterina gibbosa,0.060571,0.14823
Polysiphonia urceolata,Asterina gibbosa,0.020359,0.14823
Cirratulus cirratus,Hyas coarctatus,0.9319,0.22505
Sabellidae,Hyas coarctatus,0.63546,0.22505
Spirobis spirobis,Hyas coarctatus,0.0011285,0.22505
Asterina gibbosa,Marthasterias glacialis,0.14823,0.27284
Carcinus maenas,Marthasterias glacialis,0.059727,0.27284
Gobiusculus flavescens,Marthasterias glacialis,2.27,0.27284
Limacia clavigeria,Marthasterias glacialis,0.02164,0.27284
Semibalanus balanoides,Marthasterias glacialis,0.034575,0.27284
Fish eggs/larvae,Crangon crangon,0.00023,0.28272
Detritus,Eumida sanguinea,-999,0.30047
Aphrodite aculeata,Liocarcinus depurator,0.63546,0.63546
Calanus elongatus,Anthopleura ballii,0.00013777,0.63546
Calanus elongatus,Cordylophora caspia,0.00013777,0.63546
Centropages typicus,Cordylophora caspia,0.00010758,0.63546
Cirratulus cirratus,Aphrodite aculeata,0.9319,0.63546
Eutemora hirundoides,Cordylophora caspia,6.96e-05,0.63546
Hediste diversicolor,Aphrodite aculeata,2.7243,0.63546
Hediste diversicolor,Liocarcinus depurator,2.7243,0.63546
Janua pagenstecheri,Liocarcinus depurator,0.00023053,0.63546
Lanice conchilega,Aphrodite aculeata,4.3528,0.63546
Lepidonotos squamatus,Aphrodite aculeata,0.14823,0.63546
Lepidonotos squamatus,Liocarcinus depurator,0.14823,0.63546
Metridia lucens,Anthopleura ballii,0.00094371,0.63546
Metridia lucens,Cordylophora caspia,0.00094371,0.63546
Mytilus edulis,Polynoidae,0.77627,0.63546
Ophiothrix fragilis,Liocarcinus depurator,0.77627,0.63546
POM,Cordylophora caspia,-999,0.63546
Polynoidae,Aphrodite aculeata,0.63546,0.63546
Pseudocalanus elongatus,Cordylophora caspia,8.13e-05,0.63546
Spirobis cuneatus,Aphrodite aculeata,0.0010339,0.63546
Cirratulus cirratus,Hyas araneus,0.9319,0.70402
Eulalia virdis,Hyas araneus,1.489,0.70402
Eumida sanguinea,Hyas araneus,0.30047,0.70402
Paracentrotus lividus,Hyas araneus,0.26729,0.70402
Sabellidae,Hyas araneus,0.63546,0.70402
Calanus elongatus,Mytilus edulis,0.00013777,0.77627
Centropages typicus,Mytilus edulis,0.00010758,0.77627
