Score,Label
0.9999837,1
0.9999999,1
1,1
0.00277522,1
1,1
0.0002934033,1
0.001365862,1
0.001662709,1
0.9983618,1
0.9999386,1
0.9998568,1
0.9998568,1
0.9998568,1
0.003523551,1
0.9998568,1
0.9999999,1
0.9912277,1
0.9975275,1
0.9999866,1
0.9402621,1
0.9973171,1
0.8437341,1
0.99997,1
0.0003559953,1
0.02656084,1
0.0007860183,1
0.9999986,1
0.9995246,1
0.9998387,1
0.9999919,1
0.0114428,1
0.9889775,1
1,1
0.9997519,1
0.9999996,1
0.9924976,1
0.08288909,1
0.009064108,1
0.2822589,1
0.0004727891,1
0.9999321,1
0.003313673,1
0.9999994,1
0.001571374,1
0.8177943,1
0.0007860183,1
0.9889775,1
0.0007860183,1
0.9999814,1
0.002300506,1
0.001806319,1
0.8820319,1
0.9999837,1
0.9999999,1
0.08288909,0
0.08288909,0
0.9489664,0
0.9935622,0
0.00288267,0
1,0
0.0004596605,0
0.006175928,0
0.9795663,0
0.9998516,0
1,0
0.2822589,0
0.0007860183,0
0.7228333,0
0.9992436,0
0.2665232,0
0.02285425,0
0.0007860183,0
0.001730793,0
0.0007860183,0
0.9999422,0
0.004735881,0
0.9429829,0
0.9998568,0
0.001097782,0
0.003313673,0
0.004735881,0
0.9999681,0
0.9999996,0
0.01165808,0
0.08288909,0
0.0008933779,0
0.001271779,0
0.7503423,0
0.08288909,0
1,0
0.01165808,0
0.004514697,0
0.9998289,0
0.2822589,0
0.000345305,0
0.002669261,0
1,0
0.9889775,0
0.9989219,0
0.9995246,0
0.002155727,0
0.0007860183,0
0.002155727,0
0.08288909,0
0.001213271,0
0.9999642,0
0.02934821,0
0.08288909,0
