Prey,Predator,PreyMass,PredatorMass
PhytoP,Gammaridae,0.0001,0.0003
Zooplankton,Gammaridae,0.001,0.0003
PhytoP,Caprella sp.,0.0001,0.0007
Zooplankton,Caprella sp.,0.001,0.0007
Copepoda,Turbellaria,0.001,0.002
Insecta,Turbellaria,0.0006,0.002
PhytoP,Turbellaria,0.0001,0.002
Zooplankton,Turbellaria,0.001,0.002
Copepoda,Palaemon longirostris,0.001,0.085
Insecta,Palaemon longirostris,0.0006,0.085
Zooplankton,Palaemon longirostris,0.001,0.085
Chthamalus sp.,Carcinus maenas,0.01,0.136
Copepoda,Carcinus maenas,0.001,0.136
Insecta,Carcinus maenas,0.0006,0.136
Insecta,Nassariidae,0.0006,0.152
Musculus costulatus,Lipophrys pholis,0.0088,0.167
Patella ulyssiponensis,Lipophrys pholis,0.15,0.167
Polychaeta,Lipophrys pholis,0.008,0.167
Acanthochitona crinita,Gobius paganellus,0.24,0.181
Barleeia sp.,Gobius paganellus,0.0024,0.181
Gibbula umbilicalis,Gobius paganellus,0.12,0.181
Leptochiton algesirensis,Gobius paganellus,0.13,0.181
Ophiuroidea,Gobius paganellus,0.23,0.181
Palaemon longirostris,Gobius paganellus,0.085,0.181
Patella ulyssiponensis,Gobius paganellus,0.15,0.181
Tanaidacea,Gobius paganellus,0.0022,0.181
Carcinus maenas,Anemonia sulcata,0.136,43.99
Lipophrys pholis,Anemonia sulcata,0.167,43.99
Patella ulyssiponensis,Anemonia sulcata,0.15,43.99
