Prey,Predator,PreyMass,PredatorMass
Adoristes ovatus,roots,6.44e-05,-999
Agonum sp. (juv),algae,0.014797709,-999
Agriotes aterrimus (juv),saphrophytes,0.003631715,-999
Arctoseius magnanalis,dead organic matter,1.64e-05,-999
Atheta sp.,mykorrhiza,0.000743498,-999
Campodea sp. {l},root exudates,0.002292383,-999
Ceratophysella sp.,leaf litter,5.96e-06,-999
Chamobates cuspidatus,plants,1.55e-05,-999
Chamobates voigtsi,saphrophytes,1.17e-05,-999
Chrysomelidae sp.,roots,0.004621467,-999
Coleoptera sp.,plants,0.001535648,-999
Cordalia sp. (juv),algae,0.000274326,-999
Cordalia sp. (juv),dead organic matter,0.000274326,-999
Cordalia sp. (juv),roots,0.000274326,-999
Cryptops hortensis,algae,0.006138127,-999
Dendrobaena octaedra,leaf litter,0.146111111,-999
Elateridae sp1 (juv) {l},algae,0.01092301,-999
Elateridae sp1 (juv) {l},root exudates,0.01092301,-999
Enchytraeidae,dead organic matter,-999,-999
Enchytraeidae,root exudates,-999,-999
Enchytraeidae,roots,-999,-999
Erotylidae sp.,mykorrhiza,0.001337558,-999
Erotylidae sp.,root exudates,0.001337558,-999
Euzetes globulus,leaf litter,0.000319952,-999
Geostiba circellaris,dead organic matter,0.001056938,-999
Gnaphosidae sp. (juv),roots,0.004960839,-999
Habrocerus capillaricornis,saphrophytes,0.001056938,-999
Haplodrassus silvstris,roots,0.046070603,-999
Haplodrassus soerenseni,plants,0.027825231,-999
Lathrobium brunnipes,dead organic matter,0.009805234,-999
Lathrobium brunnipes,roots,0.009805234,-999
Lepidocyrtus lanuginosus,plants,8.99e-06,-999
Lipothrix lubbocki,dead organic matter,1.11e-05,-999
Lithobius curtipes (juv),dead organic matter,0.000375759,-999
Lumbricus rubellus (juv) {xxl},algae,0.32269697,-999
Lumbricus rubellus (juv) {xxl},dead organic matter,0.32269697,-999
Lumbricus rubellus {xxl},plants,0.921851852,-999
Lumbricus rubellus {xxl},roots,0.921851852,-999
Lycosidae sp. (juv),dead organic matter,0.015682465,-999
Lycosidae sp. (juv),roots,0.015682465,-999
Lysigamasus jugincola,dead organic matter,2.1e-05,-999
Lysigamasus puerilis,plants,9.62e-06,-999
Lysigamasus runcatellus,root exudates,4.31e-05,-999
Macrargus rufus,leaf litter,0.004556828,-999
Macrargus rufus,root exudates,0.004556828,-999
Megalothorax minimus,leaf litter,1.52e-05,-999
Megalothorax minimus,plants,1.52e-05,-999
Neobisium sp.,root exudates,0.001603525,-999
Nesovitrea hammonis (juv),algae,0.001439063,-999
Nesovitrea hammonis (juv),dead organic matter,0.001439063,-999
Nesovitrea hammonis (juv),root exudates,0.001439063,-999
Oribatida sp. (juv),dead organic matter,7.36e-07,-999
Othius subuliformis,saphrophytes,0.003693547,-999
Pergamasinae (juv) {s},root exudates,1.87e-05,-999
Pergamasus quisquiliarum,leaf litter,0.000204233,-999
Pergamasus quisquiliarum,root exudates,0.000204233,-999
Pergamasus sp. (juv) {s},algae,5.64e-05,-999
Pergamasus sp. (juv) {s},root exudates,5.64e-05,-999
Phalangiidae sp. (juv),leaf litter,0.005966949,-999
Phthiracarus globosus,root exudates,0.000154429,-999
Phthiracarus longulus,mykorrhiza,6.8e-05,-999
Polydesmus complanatus (juv),algae,0.002503054,-999
Polydesmus complanatus (juv),plants,0.002503054,-999
Protaphorura armata,algae,8.73e-06,-999
Schendyla nemorensis,algae,0.005111424,-999
Schendyla nemorensis,root exudates,0.005111424,-999
Scolopendrella cf. subnuda {s},roots,2.33e-05,-999
Staphylinidae spec,root exudates,0.004003596,-999
Steganacarus herculeanus,root exudates,0.000275361,-999
Suctobelbella sp.,saphrophytes,6.17e-06,-999
Tachyusa sp. (juv),mykorrhiza,0.000198338,-999
Tachyusa sp. (juv),root exudates,0.000198338,-999
Theridiidae sp. (juv),leaf litter,0.003831577,-999
Veigaia cerva (juv),roots,3.3e-05,-999
Veigaia nemorensis,leaf litter,4.83e-05,-999
Veigaia nemorensis,root exudates,4.83e-05,-999
Veigaia nemorensis (juv),plants,1.79e-05,-999
amoebae,roots,2.8e-08,-999
bacteria,root exudates,9.5e-16,-999
ciliates,dead organic matter,2.63e-09,-999
ciliates,roots,2.63e-09,-999
dead organic matter,mykorrhiza,-999,-999
plants,leaf litter,-999,-999
plants,roots,-999,-999
root exudates,dead organic matter,-999,-999
saphrophytes,root exudates,-999,-999
saphrophytes,roots,-999,-999
Ceratophysella sp.,ciliates,5.96e-06,2.63e-09
Isotomiella minor,ciliates,3.27e-06,2.63e-09
Lithobius sp2 {l},ciliates,0.000157031,2.63e-09
Micranurida pygmaea,ciliates,5.04e-06,2.63e-09
Pseudosinella alba,ciliates,2.7e-06,2.63e-09
Folsomia quadrioculata,amoebae,5.41e-06,2.8e-08
Trachytes aegrota (juv) {xs},amoebae,3.57e-06,2.8e-08
Agonum sp. (juv),root feeding nematodes,0.014797709,2.35e-07
Lysigamasus cf conus,root feeding nematodes,2.49e-05,2.35e-07
Ceratophysella sp.,flagellates,5.96e-06,3.63e-07
Othius sp. (juv) {m},flagellates,0.002792224,3.63e-07
Trachytes aegrota (juv) {xs},flagellates,3.57e-06,3.63e-07
Enchytraeidae,fungivorous nematodes,-999,5.35e-07
dead organic matter,fungivorous nematodes,-999,5.35e-07
root exudates,fungivorous nematodes,-999,5.35e-07
Atheta sp.,Oribatida sp. (juv),0.000743498,7.36e-07
Othius sp. (juv) {m},Oribatida sp. (juv),0.002792224,7.36e-07
dead organic matter,bacterivorous nematodes,-999,8.52e-07
Cryptops hortensis,Parisotoma notabilis,0.006138127,2.41e-06
Gnaphosidae sp. (juv),Parisotoma notabilis,0.004960839,2.41e-06
Linyphiidae cf Erigoniinae (juv) {m},Parisotoma notabilis,0.000220271,2.41e-06
Tachyusa sp. (juv),Parisotoma notabilis,0.000198338,2.41e-06
predacious nematodes,Parisotoma notabilis,3.56e-06,2.41e-06
Enchytraeidae,Pseudosinella alba,-999,2.7e-06
predacious nematodes,Pseudosinella alba,3.56e-06,2.7e-06
Enchytraeidae,Isotomiella minor,-999,3.27e-06
Lasioseius lawrencei,Isotomiella minor,1.11e-05,3.27e-06
Lithobius curtipes {s},Isotomiella minor,3.87e-05,3.27e-06
Lithobius sp2 {l},Isotomiella minor,0.000157031,3.27e-06
Notiophilus biguttatus,Isotomiella minor,0.009963206,3.27e-06
Pseudosinella alba,Isotomiella minor,2.7e-06,3.27e-06
Adoristes ovatus,predacious nematodes,6.44e-05,3.56e-06
Diplocephalus picinus,predacious nematodes,0.001612679,3.56e-06
Julidae sp.,predacious nematodes,0.00617,3.56e-06
Julidae sp. (juv) {m},predacious nematodes,0.000294023,3.56e-06
Micranurida pygmaea,predacious nematodes,5.04e-06,3.56e-06
Microneta viaria,predacious nematodes,0.001863227,3.56e-06
Nesovitrea hammonis,predacious nematodes,0.002188587,3.56e-06
Oppiella nova,predacious nematodes,8.99e-06,3.56e-06
Tachyusa sp. (juv),predacious nematodes,0.000198338,3.56e-06
Zercon cf peltatus (juv),predacious nematodes,8.22e-06,3.56e-06
Arion fuscus,Trachytes aegrota (juv) {xs},1.0918425,3.57e-06
Lumbricus rubellus {xxl},Trachytes aegrota (juv) {xs},0.921851852,3.57e-06
Lithobius sp2 {l},Folsomia quadrioculata,0.000157031,5.41e-06
Othius sp. (juv) {m},Folsomia quadrioculata,0.002792224,5.41e-06
root exudates,Folsomia quadrioculata,-999,5.41e-06
