Prey,Predator,PreyMass,PredatorMass
Acari,Acari,0.0002,0.0002
Ralfsia verrucosa,Acari,0.000228,0.0002
Oligochaeta,Oligochaeta,0.001,0.001
Zooplankton,Oligochaeta,0.001,0.001
PhytoP,Zooplankton,0.0001,0.001
Zooplankton,Zooplankton,0.001,0.001
Fucus,Littorina littorea,0.000228,0.0019
Ralfsia fungiformis,Littorina littorea,0.000228,0.0019
Ralfsia verrucosa,Littorina littorea,0.000228,0.0019
Eteone sp.,Eteone sp.,0.0022,0.0022
Fabricia stellaris,Eteone sp.,0.0002,0.0022
Fucus,Nematoda,0.000228,0.01
Nematoda,Nematoda,0.01,0.01
Eteone longa,Eteone longa,0.0186,0.0186
Eteone sp.,Eteone longa,0.0022,0.0186
Fabricia stellaris,Eteone longa,0.0002,0.0186
Polychaeta,Eteone longa,0.2243,0.0186
Zooplankton,Eteone longa,0.001,0.0186
Fucus,Littorina saxatilis,0.000228,0.0425
Ralfsia fungiformis,Littorina saxatilis,0.000228,0.0425
Ralfsia fungiformis,Littorina obtusata,0.000228,0.0914
Zooplankton,Balanus crenatus,0.001,0.1624
Fucus,Testudinalia testudinalis,0.000228,0.185
Eteone sp.,Polychaeta,0.0022,0.2243
Polychaeta,Polychaeta,0.2243,0.2243
Ralfsia fungiformis,Polychaeta,0.000228,0.2243
Zooplankton,Polychaeta,0.001,0.2243
Alitta virens,Alitta virens,0.6969,0.6969
Fucus,Alitta virens,0.000228,0.6969
Ralfsia verrucosa,Alitta virens,0.000228,0.6969
PhytoP,Mytilus sp.,0.0001,1.2729
