Prey,Predator,PreyMass,PredatorMass
grasses and sedges,Microtus oeconomus,-999,28.2
shrubs,Microtus oeconomus,-999,28.2
arthropods,passerines,0.002,34
forbs,passerines,-999,34
lichens,lemmings,-999,35
lemmings,Mustela erminea,35,134
lemmings,Stercocarius spec.,35,391
passerines,Stercocarius spec.,34,391
shrubs,Lagopus spec. ,-999,575
lichens,waterfowl,-999,908.2823529
mosses,waterfowl,-999,908.2823529
lemmings,Buteo lagopus,35,951
forbs,Lepus arcticus,-999,3000
grasses and sedges,Lepus arcticus,-999,3000
Lagopus spec. ,Vulpes lagopus,575,3300
lemmings,Vulpes lagopus,35,3300
shorebirds,Vulpes vulpes,83.21,5000
Lepus arcticus,Gulo gulo,3000,12500
lichens,Rangifer tarandus,-999,100000
