Prey,Predator,PreyMass,PredatorMass
Caulerpa racemosa,Zooplankton,0.000228,0.001
Dictyota sp,Gammaridae,0.000228,0.01
Dictyota sp,Tanaidacea,0.000228,0.01
Pagurus sp.,Tanaidacea,1.57,0.01
Acanthophora spicifera,Ischnochiton striolatus,0.000228,0.1
Padina sp.,Ischnochiton striolatus,0.000228,0.1
Ulva lactuca,Ischnochiton striolatus,0.000228,0.1
Polychaeta,Palaemon northropi,0.01,0.3
Zooplankton,Morula nodulosa,0.001,0.72
Clibanarius vittatus,Morula nodulosa,1.01,0.72
Caulerpa racemosa,Clibanarius vittatus,0.000228,1.01
Ulva lactuca,Clibanarius vittatus,0.000228,1.01
Caulerpa racemosa,Alpheus formosus,0.000228,1.7
Morula nodulosa,Bunodosoma cangicum,0.72,1.8
Lithophyllum,Bunodosoma cangicum,0.000228,1.8
Ulva lactuca,Bathygobius soporator,0.000228,2.2
Caulerpa racemosa,Tegula viridula,0.000228,2.66
Padina sp.,Tegula viridula,0.000228,2.66
Odontesthes argentinensis,Crassostrea virginica,0.01,5.83
