Prey,Predator,PreyMass,PredatorMass
Algae,Anurida maritima,8.21e-07,0.00065
Tricorynus,Axelsonia littoralis,0.005,0.00074676
Staphylinidae,Veigaia,0.0476,0.000795
Tricorynus,Veigaia,0.005,0.000795
Detritus,Crematogaster ashmeadi,-999,0.001558448
Ecdytolopha,Apanteles hemileucae,0.148376753,0.001671743
Bembidion contractum,Scleroderma macrogaster,0.0051,0.002300114
Ecdytolopha,Scleroderma macrogaster,0.148376753,0.002300114
Leptostylus,Scleroderma macrogaster,0.01,0.002300114
Nemapogon,Scleroderma macrogaster,0.025336077,0.002300114
Phoebis agarithe,Scleroderma macrogaster,5.536546454,0.002300114
Scydmaenidae,Scleroderma macrogaster,0.003,0.002300114
Tricorynus,Scleroderma macrogaster,0.005,0.002300114
Sergiolus,Scleroderma macrogaster,0.0039,0.002300114
Algae,Scleroderma macrogaster,8.21e-07,0.002300114
Pseudomyrmex elongatus,Scydmaenidae,0.016248394,0.003
Peripsocus,Scydmaenidae,0.00325,0.003
Pseudothrips inequalis,Dictyna,0.001874225,0.00325
Galumna,Dictyna,0.0017,0.00325
Phoebis agarithe,Dictyna,5.536546454,0.00325
Tricorynus,Pseudoacalles,0.005,0.00423
Detritus,Pseudoacalles,-999,0.00423
Odonata,Bembidion contractum,0.399604248,0.0051
Tricorynus,Bembidion contractum,0.005,0.0051
Anisomeristes,Hentzia palmarum,3.62e-05,0.006
Arunta interclusa,Hentzia palmarum,0.787365181,0.006
Ascia monuste,Hentzia palmarum,6.828348317,0.006
Aysha velox,Hentzia palmarum,0.0065,0.006
Bembidion contractum,Hentzia palmarum,0.0051,0.006
Dictyna,Hentzia palmarum,0.00325,0.006
Ecdytolopha,Hentzia palmarum,0.148376753,0.006
Leucauge venusta,Hentzia palmarum,0.00675,0.006
Phocides batabano,Hentzia palmarum,1.36330884,0.006
Scydmaenidae,Hentzia palmarum,0.003,0.006
Tachys occulator,Hentzia palmarum,0.0035,0.006
Trochopus plumbeus,Hentzia palmarum,0.008,0.006
