Prey,Predator,PreyMass,PredatorMass
Ligia exotica,Metepeira labyrinthea,1.348779475,0.012
Pseudothrips inequalis,Metepeira labyrinthea,0.001874225,0.012
Bdella,Trypoxylon collinum,8.52e-06,0.040552112
Aysha velox,Staphylinidae,0.0065,0.0476
Detritus,Calliephialtes ferrugineus,-999,0.098554409
Phalacrocorax dilophus,Odonata,2568.732374,0.399604248
Oiketicus abbottii,Littorina angulifera,0.071247903,0.588325869
Tetragnatha,Fungi,0.01,4.46244769
Detritus,Dendroica,-999,8
Dendroica,Agelaius phoeniceus,8,54.5
Detritus,Agelaius phoeniceus,-999,54.5
Natrix,Agelaius phoeniceus,100,54.5
