Prey,Predator,PreyMass,PredatorMass
Dictyota sp.,PhytoP,0.000228,0.0001
Sphacelaria sp.,PhytoP,0.000228,0.0001
Sphacelaria sp.,Lobophora variegata,0.000228,0.000228
Ostracoda,Lithophyllum sp.,0.001,0.000228
Centroceras clavulatum,Corallina sp.,0.000228,0.000228
Dictyota sp.,Sphacelaria sp.,0.000228,0.000228
Padina gymnospora,Acanthophora spicifera,0.000228,0.000228
Caulerpa scalpelliformis,Acanthophora spicifera,0.000228,0.000228
Padina gymnospora,Dictyota sp.,0.000228,0.000228
Fissurella rosea,Caulerpa scalpelliformis,0.001,0.000228
Centroceras clavulatum,Ulva lactuca,0.000228,0.000228
Sphacelaria sp.,Ulva lactuca,0.000228,0.000228
Dictyota sp.,Bryopsis pennata,0.000228,0.000228
Sphacelaria sp.,Spatoglossum schroederi,0.000228,0.000228
Sphacelaria sp.,Acanthophora spicifera,0.000228,0.000228
Centroceras clavulatum,Lobophora variegata,0.000228,0.000228
Hypnea musciformis,Corallina sp.,0.000228,0.000228
Sphacelaria sp.,Caulerpa scalpelliformis,0.000228,0.000228
Centroceras clavulatum,Dictyota sp.,0.000228,0.000228
Isopoda,Dictyota sp.,0.001,0.000228
Dictyota sp.,Corallina sp.,0.000228,0.000228
Sphacelaria sp.,Hypnea musciformis,0.000228,0.000228
Caulerpa scalpelliformis,Hypnea musciformis,0.000228,0.000228
Gracilaria sp.,Lobophora variegata,0.000228,0.000228
Acanthophora spicifera,Caulerpa scalpelliformis,0.000228,0.000228
Sphacelaria sp.,Centroceras clavulatum,0.000228,0.000228
Sphacelaria sp.,Dictyota sp.,0.000228,0.000228
Sphacelaria sp.,Gracilaria sp.,0.000228,0.000228
Centroceras clavulatum,Hypnea musciformis,0.000228,0.000228
Centroceras clavulatum,Caulerpa scalpelliformis,0.000228,0.000228
Acanthophora spicifera,Hypnea musciformis,0.000228,0.000228
Centroceras clavulatum,Fissurella rosea,0.000228,0.001
Dictyota sp.,Fissurella rosea,0.000228,0.001
Sphacelaria sp.,Fissurella rosea,0.000228,0.001
Amphitoidae,Isopoda,0.0069,0.001
Caulerpa scalpelliformis,Isopoda,0.000228,0.001
Dictyota sp.,Isopoda,0.000228,0.001
Gracilaria sp.,Isopoda,0.000228,0.001
Hypnea musciformis,Isopoda,0.000228,0.001
Idotea,Isopoda,0.01,0.001
Padina gymnospora,Isopoda,0.000228,0.001
Spatoglossum schroederi,Isopoda,0.000228,0.001
Ulva lactuca,Isopoda,0.000228,0.001
Acanthophora spicifera,Ostracoda,0.000228,0.001
Corallina sp.,Ostracoda,0.000228,0.001
Dictyota sp.,Ostracoda,0.000228,0.001
Gracilaria sp.,Ostracoda,0.000228,0.001
Hypnea musciformis,Ostracoda,0.000228,0.001
Lithophyllum sp.,Ostracoda,0.000228,0.001
Lobophora variegata,Ostracoda,0.000228,0.001
Sphacelaria sp.,Ostracoda,0.000228,0.001
Ulva lactuca,Ostracoda,0.000228,0.001
PhytoP,Isopoda,0.0001,0.001
Eriphia gonagra,Isopoda,0.01,0.001
Sphoeroides sp.,Isopoda,0.1,0.001
