Prey,Predator,PreyMass,PredatorMass
Gelidium spinosum,PhytoP,0.000228,0.0001
Sphaeromatidae,PhytoP,0.01,0.0001
Zooplankton,PhytoP,0.001,0.0001
Colpomenia peregrina,PhytoP,0.000228,0.0001
Oligochaeta,PhytoP,0.0059,0.0001
Sphacelaria cirrosa,Bifurcaria bifurcata,0.000228,0.000228
Rissoidae,Lithophyllum sp.,0.0034,0.000228
Ampithoidae,Ellisolandia elongata,0.0055,0.000228
Bifurcaria bifurcata,Ulva lactuca,0.000228,0.000228
Sphacelaria cirrosa,Ulva lactuca,0.000228,0.000228
Colpomenia peregrina,Dictyopteris polypodioides,0.000228,0.000228
Colpomenia peregrina,Lithophyllum sp.,0.000228,0.000228
Bifurcaria bifurcata,Ellisolandia elongata,0.000228,0.000228
Ampithoidae,Gelidium spinosum,0.0055,0.000228
Oligochaeta,Bifurcaria bifurcata,0.0059,0.000228
Gelidium spinosum,Ulva lactuca,0.000228,0.000228
Ampithoidae,Dictyota dichotoma,0.0055,0.000228
Oligochaeta,Dictyota dichotoma,0.0059,0.000228
Sphaeromatidae,Dictyota dichotoma,0.01,0.000228
Ampithoidae,Lithophyllum sp.,0.0055,0.000228
Sphacelaria cirrosa,Dictyopteris polypodioides,0.000228,0.000228
Ampithoidae,Cystoseira sp.,0.0055,0.000228
Rissoidae,Codium sp.,0.0034,0.000228
Colpomenia peregrina,Codium sp.,0.000228,0.000228
Bifurcaria bifurcata,Chondrus crispus,0.000228,0.000228
Zooplankton,Codium sp.,0.001,0.000228
Zooplankton,Lithophyllum sp.,0.001,0.000228
Sphaeromatidae,Lithophyllum sp.,0.01,0.000228
Zooplankton,Gelidium spinosum,0.001,0.000228
Bifurcaria bifurcata,Dictyopteris polypodioides,0.000228,0.000228
Sphaeromatidae,Colpomenia peregrina,0.01,0.000228
Zooplankton,Bifurcaria bifurcata,0.001,0.000228
Sphaeromatidae,Bifurcaria bifurcata,0.01,0.000228
Bifurcaria bifurcata,Codium sp.,0.000228,0.000228
Zooplankton,Colpomenia peregrina,0.001,0.000228
Cystoseira sp.,Bifurcaria bifurcata,0.000228,0.000228
Rissoidae,Chondrus crispus,0.0034,0.000228
Zooplankton,Copepoda,0.001,0.001
Ampithoidae,Copepoda,0.0055,0.001
Sphacelaria cirrosa,Copepoda,0.000228,0.001
Sphacelaria cirrosa,Zooplankton,0.000228,0.001
Bifurcaria bifurcata,Barleeia sp.,0.000228,0.0022
Codium sp.,Barleeia sp.,0.000228,0.0022
Colpomenia peregrina,Barleeia sp.,0.000228,0.0022
Gelidium spinosum,Barleeia sp.,0.000228,0.0022
Sphacelaria cirrosa,Barleeia sp.,0.000228,0.0022
Ulva lactuca,Barleeia sp.,0.000228,0.0022
Sphaeromatidae,Barleeia sp.,0.01,0.0022
Actinia equina,Barleeia sp.,4.75,0.0022
Rissoidae,Barleeia sp.,0.0034,0.0022
Insecta,Barleeia sp.,0.01,0.0022
Ampithoidae,Barleeia sp.,0.0055,0.0022
