Prey,Predator,PreyMass,PredatorMass
Rhodomelaceae,PhytoP,0.000228,0.0001
Zooplankton,PhytoP,0.001,0.0001
Padina pavonica,Insecta,0.000228,0.0002
Rhodomelaceae,Insecta,0.000228,0.0002
Zooplankton,Rhodomelaceae,0.001,0.000228
Rhodomelaceae,Padina pavonica,0.000228,0.000228
Padina pavonica,Gammaridae,0.000228,0.0005
Rhodomelaceae,Gammaridae,0.000228,0.0005
Padina pavonica,Omalogyra atomus,0.000228,0.0005
Zooplankton,Isopoda,0.001,0.0007
Zooplankton,Polychaeta,0.001,0.0008
Zooplankton,Tanaidacea,0.001,0.0008
Rhodomelaceae,Polychaeta,0.000228,0.0008
Rhodomelaceae,Copepoda,0.000228,0.001
Padina pavonica,Gibbula umbilicalis,0.000228,0.0073
Rhodomelaceae,Gibbula umbilicalis,0.000228,0.0073
Padina pavonica,Patella ulyssiponensis,0.000228,0.01
Rhodomelaceae,Batzella inops,0.000228,0.01
Copepoda,Lipophrys pholis,0.001,0.115
Gammaridae,Lipophrys pholis,0.0005,0.115
Omalogyra atomus,Lipophrys pholis,0.0005,0.115
Padina pavonica,Lipophrys pholis,0.000228,0.115
Polychaeta,Lipophrys pholis,0.0008,0.115
Rhodomelaceae,Lipophrys pholis,0.000228,0.115
Tanaidacea,Lipophrys pholis,0.0008,0.115
Zooplankton,Lipophrys pholis,0.001,0.115
PhytoP,Lipophrys pholis,0.0001,0.115
