Prey,Predator,PreyMass,PredatorMass
Clathromorphum circumscriptum,Harpacticoida,0.000228,0.001
Polysiphonia sp.,Harpacticoida,0.000228,0.001
Ulvaria obscura,Harpacticoida,0.000228,0.001
Zooplankton,Harpacticoida,0.001,0.001
Petalonia fascia,Hediste diversicolor,0.000228,0.032
Polysiphonia sp.,Hediste diversicolor,0.000228,0.032
Ulvaria obscura,Hediste diversicolor,0.000228,0.032
Clathromorphum circumscriptum,Testudinalia testudinalis,0.000228,0.4828
Dictyosiphon foeniculaceus,Testudinalia testudinalis,0.000228,0.4828
Fucus,Testudinalia testudinalis,0.000228,0.4828
Rhodomela lycopodioides,Testudinalia testudinalis,0.000228,0.4828
Testudinalia testudinalis,Mytilus sp.,0.4828,1.6468
