Prey,Predator,PreyMass,PredatorMass
Linyphiidae (juv),roots,0.000519895,-999
amoebae,root exudates,2.8e-08,-999
mykorrhiza,dead organic matter,-999,-999
mykorrhiza,leaf litter,-999,-999
mykorrhiza,roots,-999,-999
predacious nematodes,root exudates,3.56e-06,-999
predacious nematodes,roots,3.56e-06,-999
leaf litter,flagellates,-999,3.63e-07
root exudates,fungivorous nematodes,-999,5.35e-07
Aporrectodea rosea (juv),Parisotoma notabilis,0.085811429,2.41e-06
Oppiella falcata,predacious nematodes,6.68e-06,3.56e-06
Lysigamasus minorleitneriae,Suctobelbella sp.,2.32e-05,6.17e-06
Uropoda cassidea (juv),Suctobelbella sp.,3.95e-05,6.17e-06
amoebae,Protaphorura armata,2.8e-08,8.73e-06
omnivorous nematodes,Protaphorura armata,6.02e-05,8.73e-06
Oribatida sp. (juv),Dissorhina ornata,7.36e-07,1.17e-05
Parisotoma notabilis,Dissorhina ornata,2.41e-06,1.17e-05
Aegopinella nitens,Leptogamasus suecicus,0.026216488,1.44e-05
Athous sp. (juv),Leptogamasus suecicus,0.000875669,1.44e-05
Lithobius aeruginosus {l},Leptogamasus suecicus,0.002201557,1.44e-05
Phalangiidae sp. (juv),Leptogamasus suecicus,0.005966949,1.44e-05
Rhynchaenus fagi,Leptogamasus suecicus,0.001056494,1.44e-05
Suctobelbella sp.,Leptogamasus suecicus,6.17e-06,1.44e-05
Amara aenea,Rhodacarus agrestis,0.048427875,1.55e-05
saphrophytes,Rhodacarus agrestis,-999,1.55e-05
Pachylaelaps cf. vexillifer,Uropoda athiasae (juv),4.12e-05,1.6e-05
Leptogamasus cf. tectegynellus,Veigaia nemorensis (juv),4.25e-05,1.79e-05
Rhynchaenus fagi,Veigaia nemorensis (juv),0.001056494,1.79e-05
Uropoda athiasae,Veigaia nemorensis (juv),2.17e-05,1.79e-05
Dinychus perforatus,Pergamasinae (juv) {s},6.09e-05,1.87e-05
Porcellio conspersum,Pergamasinae (juv) {s},0.004025013,1.87e-05
Trichoniscus pusillus {m},Pergamasinae (juv) {s},0.000404192,1.87e-05
Uropoda cassidea,Pergamasinae (juv) {s},8.54e-05,1.87e-05
Uroseius cylindricus (juv),Pergamasinae (juv) {s},2.39e-05,1.87e-05
Veigaia cf mollis (juv),Pergamasinae (juv) {s},6e-05,1.87e-05
Uropoda athiasae,Trachytes pauperior{s},2.17e-05,1.92e-05
Aegopinella nitens (juv),Lysigamasus minorleitneriae,0.009240836,2.32e-05
Aporrectodea rosea (juv),Lysigamasus minorleitneriae,0.085811429,2.32e-05
Ceratozetes gracilis,Lysigamasus minorleitneriae,3.57e-05,2.32e-05
Monachoides incarnatus (juv),Lysigamasus minorleitneriae,0.037934138,2.32e-05
Phalangiidae sp. (juv),Lysigamasus minorleitneriae,0.005966949,2.32e-05
Trichoniscus sp.,Lysigamasus minorleitneriae,0.001742812,2.32e-05
Allaiulus nitidus (juv) {l},Uroseius cylindricus (juv),0.001395388,2.39e-05
Molops piceus,Uroseius cylindricus (juv),0.110875648,2.39e-05
Schendyla nemorensis,Uroseius cylindricus (juv),0.005111424,2.39e-05
Megalothorax minimus,Trachytes aegrota (juv) {s},1.52e-05,2.42e-05
Allaiulus nitidus (juv) {l},Lysigamasus cf rostriforceps,0.001395388,2.46e-05
Aporectodea longa (juv),Lysigamasus cf rostriforceps,0.385857143,2.46e-05
Aporrectodea rosea (juv),Lysigamasus cf rostriforceps,0.085811429,2.46e-05
Carabidae sp. (juv),Lysigamasus cf rostriforceps,0.623319917,2.46e-05
