Prey,Predator,PreyMass,PredatorMass
Ellisolandia elongata,Insecta,0.000228,0.0007
Sphacelaria cirrosa,Pantopoda,0.000228,0.0007
Ellisolandia elongata,Ophiuroidea,0.000228,0.0018
Sphacelaria cirrosa,Ophiuroidea,0.000228,0.0018
PhytoP,Gammaridae,0.0001,0.0026
Zooplankton,Oligochaeta,0.001,0.0026
Ellisolandia elongata,Ampithoidae,0.000228,0.003
Sphacelaria cirrosa,Ampithoidae,0.000228,0.003
Sphacelaria cirrosa,Rissoidae,0.000228,0.0038
Ulva lactuca,Rissoidae,0.000228,0.0038
Zooplankton,Mytilus galloprovincialis,0.001,0.0132
Ellisolandia elongata,Sphaeromatidae,0.000228,0.098
Ulva lactuca,Acanthochitona crinita,0.000228,0.125
Ellisolandia elongata,Palaemon longirostris,0.000228,0.136
Ellisolandia elongata,Lipophrys pholis,0.000228,0.16
Gobius paganellus,Lipophrys pholis,0.273,0.16
Insecta,Lipophrys pholis,0.0007,0.16
Leptochiton algesirensis,Lipophrys pholis,0.13,0.16
Nucella sp.,Lipophrys pholis,0.0054,0.16
Tanaidacea,Lipophrys pholis,0.0014,0.16
Acanthochitona crinita,Gobius paganellus,0.125,0.273
Copepoda,Gobius paganellus,0.001,0.273
Lepidochitona cinerea,Gobius paganellus,1.38,0.273
Lipophrys pholis,Gobius paganellus,0.16,0.273
Sphacelaria cirrosa,Gobius paganellus,0.000228,0.273
Sphaeromatidae,Gobius paganellus,0.098,0.273
Ulva lactuca,Gobius paganellus,0.000228,0.273
Zooplankton,Gobius paganellus,0.001,0.273
Ulva lactuca,Gibbula umbilicalis,0.000228,0.613
Ellisolandia elongata,Aplysia punctata,0.000228,1.11
Ulva lactuca,Pachygrapsus marmoratus,0.000228,3.291
Ulva lactuca,Patella ulyssiponensis,0.000228,14.72
Ellisolandia elongata,Carcinus maenas,0.000228,111.1
Gibbula umbilicalis,Carcinus maenas,0.613,111.1
Gobius paganellus,Carcinus maenas,0.273,111.1
