Prey,Predator,PreyMass,PredatorMass
Gasteracantha ellipsoides,Anurida maritima,0.007,0.00065
Ligia exotica,Bembidion contractum,1.348779475,0.0051
Staphylinidae,Bembidion contractum,0.0476,0.0051
Tricorynus,Aysha velox,0.005,0.0065
Anurida maritima,Gasteracantha ellipsoides,0.00065,0.007
Axelsonia littoralis,Gasteracantha ellipsoides,0.00074676,0.007
Littorina angulifera,Gasteracantha ellipsoides,0.588325869,0.007
Tetragnatha,Gasteracantha ellipsoides,0.01,0.007
Alarodia slossoniae,Trochopus plumbeus,0.055875412,0.008
Callihormius bifasciatus,Trochopus plumbeus,0.001671743,0.008
Odonata,Trochopus plumbeus,0.399604248,0.008
Trypoxylon collinum,Trochopus plumbeus,0.040552112,0.008
Natrix,Metepeira labyrinthea,100,0.012
Metepeira labyrinthea,Oiketicus abbottii,0.012,0.071247903
Ascia monuste,Odonata,6.828348317,0.399604248
Aratus pisonii,Agelaius phoeniceus,0.311301534,54.5
Detritus,Natrix,-999,100
Algae,Butorides virescens,8.21e-07,240
