Prey,Predator,PreyMass,PredatorMass
Cumacea,Polychaeta,0.0002,0.0002
Fucus serratus,Harparticoida,0.000228,0.0002
PhytoP,Harparticoida,0.0001,0.0002
Rhodomela confervoides,Insecta,0.000228,0.0002
Rhodomela confervoides,Polychaeta,0.000228,0.0002
Rhodomela confervoides,Sphaeromatidae,0.000228,0.0002
Fucus vesiculosus,Gammaridae,0.000228,0.0009
PhytoP,Gammaridae,0.0001,0.0009
Corallina officinalis,Ostracoda,0.000228,0.001
Fucus vesiculosus,Tanaidacea,0.000228,0.002
Zooplankton,Tanaidacea,0.001,0.002
Colpomenia peregrina,Stenothoidae,0.000228,0.0035
Austrominius modestus,Carcinus maenas,0.001,0.01
Colpomenia peregrina,Carcinus maenas,0.000228,0.01
Gibbula cineraria,Carcinus maenas,0.01,0.01
Polychaeta,Carcinus maenas,0.0002,0.01
Colpomenia peregrina,Phorcus lineatus,0.000228,0.01
Colpomenia peregrina,Tonicella rubra,0.000228,0.01
Corallina officinalis,Patella depressa,0.000228,0.01
Corallina officinalis,Patella ulyssiponensis,0.000228,0.01
Corallina officinalis,Patella vulgata,0.000228,0.01
Corallina officinalis,Phorcus lineatus,0.000228,0.01
Cumacea,Pagurus bernhardus,0.0002,0.01
Fucus serratus,Palaemon serratus,0.000228,0.01
Fucus serratus,Patella ulyssiponensis,0.000228,0.01
Fucus vesiculosus,Membranipora membranaceae,0.000228,0.01
Fucus vesiculosus,Procerodes littoralis,0.000228,0.01
Littorina littorea,Pagurus bernhardus,0.0158,0.01
Littorina saxatilis,Pagurus bernhardus,0.01,0.01
Oshurkovia littoralis,Palaemon serratus,0.01,0.01
Rhodomela confervoides,Oshurkovia littoralis,0.000228,0.01
Rhodomela confervoides,Palaemon serratus,0.000228,0.01
Rhodomela confervoides,Phorcus lineatus,0.000228,0.01
Fucus vesiculosus,Littorina littorea,0.000228,0.0158
Corallina officinalis,Gibbula umbilicalis,0.000228,0.079
Fucus serratus,Gibbula umbilicalis,0.000228,0.079
Fucus vesiculosus,Gibbula umbilicalis,0.000228,0.079
Rhodomela confervoides,Gibbula umbilicalis,0.000228,0.079
