Prey,Predator,PreyMass,PredatorMass
Achnanthes lanceoloata,Achnanthes sp. (small),-999,-999
Achnanthes lanceoloata,Cymbella minuta,-999,-999
Achnanthes lanceoloata,Diatoma heimale,-999,-999
Achnanthes lanceoloata,Fragilaria spp.,-999,-999
Achnanthes lanceoloata,Navicula bicephala,-999,-999
Achnanthes lanceoloata,Nitzschia sp. (large),-999,-999
Achnanthes lanceoloata,Nitzschia sp. (small),-999,-999
Achnanthes lanceoloata,Oedogonium,-999,-999
Achnanthes lanceoloata,Pinnularia (small - mesolepta??),-999,-999
Achnanthes lanceoloata,Rhoicosphenia curvata,-999,-999
Achnanthes lanceoloata,Rhopalodia novae zelandicae,-999,-999
Achnanthes lanceoloata,Spirogyra,-999,-999
Achnanthes lanceoloata,Stephanodiscus sp.,-999,-999
Achnanthes lanceoloata,Unknown green algae filaments,-999,-999
Aucalosira sp.,Unidentified detritus,-999,-999
Cocconeis sp.,Cymbella cuspidata,-999,-999
Cocconeis sp.,Diatoma heimale,-999,-999
Cocconeis sp.,Eunotia sp. large,-999,-999
Cocconeis sp.,Fragilaria spp.,-999,-999
Cocconeis sp.,Melosira varians,-999,-999
Cocconeis sp.,Microspora sp.,-999,-999
Cocconeis sp.,Navicula cryptocephala,-999,-999
Cocconeis sp.,Navicula sp.,-999,-999
Cocconeis sp.,Nitzschia sp. (small),-999,-999
Cocconeis sp.,Rhoicosphenia curvata,-999,-999
Cocconeis sp.,Rhopalodia novae zelandicae,-999,-999
Cocconeis sp.,Spirogyra,-999,-999
Cocconeis sp.,Surirella (small),-999,-999
Cocconeis sp.,Terrestrial Invertebrates,-999,-999
Cocconeis sp.,Unknown green algae filaments,-999,-999
Eunotia sp.,Achnanthes saxonica,-999,-999
Eunotia sp.,Cyclotella sp.,-999,-999
Eunotia sp.,Eunotia sp. large,-999,-999
Eunotia sp.,Fragilaria spp.,-999,-999
Eunotia sp.,Microspora sp.,-999,-999
Eunotia sp.,Navicula avenacea,-999,-999
Eunotia sp.,Navicula cryptocephala,-999,-999
Eunotia sp.,Navicula sp.,-999,-999
Eunotia sp.,Nitzschia sp. (small),-999,-999
Eunotia sp.,Pinnularia (small - mesolepta??),-999,-999
Eunotia sp.,Stephanodiscus sp.,-999,-999
Eunotia sp.,Surirella (small),-999,-999
Eunotia sp.,Terrestrial Invertebrates,-999,-999
Macrophyte,Caloneis sp. ?,-999,-999
Macrophyte,Cyclotella sp.,-999,-999
Macrophyte,Cymbella cuspidata,-999,-999
Macrophyte,Eunotia sp. large,-999,-999
Macrophyte,Fragilaria spp.,-999,-999
Macrophyte,Microspora sp.,-999,-999
Macrophyte,Navicula avenacea,-999,-999
Macrophyte,Navicula sp.,-999,-999
Macrophyte,Nitzschia sp. (small),-999,-999
Macrophyte,Pinnularia (small - mesolepta??),-999,-999
Macrophyte,Rhoicosphenia curvata,-999,-999
Macrophyte,Rhopalodia novae zelandicae,-999,-999
Macrophyte,Spirogyra,-999,-999
Macrophyte,Stauroneis sp.,-999,-999
Macrophyte,Surirella (small),-999,-999
Macrophyte,Unknown green algae filaments,-999,-999
Navicula rhynchocephala,Achnanthes sp. (small),-999,-999
Navicula rhynchocephala,Cyclotella sp.,-999,-999
Navicula rhynchocephala,Diatoma heimale,-999,-999
Navicula rhynchocephala,Eunotia sp. large,-999,-999
Navicula rhynchocephala,Navicula bicephala,-999,-999
Navicula rhynchocephala,Navicula cryptocephala,-999,-999
Navicula rhynchocephala,Pinnularia (small - mesolepta??),-999,-999
Navicula rhynchocephala,Rhopalodia novae zelandicae,-999,-999
Navicula rhynchocephala,Spirogyra,-999,-999
Navicula rhynchocephala,Stephanodiscus sp.,-999,-999
Navicula rhynchocephala,Terrestrial Invertebrates,-999,-999
Navicula rhynchocephala,Unknown green algae filaments,-999,-999
Unidentified detritus,Achnanthes sp. (small),-999,-999
Unidentified detritus,Cyclotella sp.,-999,-999
Unidentified detritus,Cymbella cuspidata,-999,-999
Unidentified detritus,Diatoma heimale,-999,-999
Unidentified detritus,Eunotia sp. large,-999,-999
Unidentified detritus,Fragilaria spp.,-999,-999
Unidentified detritus,Gomphoneis herculeana,-999,-999
Unidentified detritus,Navicula bicephala,-999,-999
Unidentified detritus,Navicula sp.,-999,-999
Unidentified detritus,Nitzschia sp. (small),-999,-999
Unidentified detritus,Pinnularia (small - mesolepta??),-999,-999
Unidentified detritus,Rhoicosphenia curvata,-999,-999
Unidentified detritus,Spirogyra,-999,-999
Unidentified detritus,Stephanodiscus sp.,-999,-999
Austroperla cyrene,Pycnocentria sp. ,2.34e-05,1.22e-05
Oligochaete Type I,Austroperla cyrene,0.000169234,2.34e-05
Orchymontia sp. ,Austroperla cyrene,0.000614333,2.34e-05
Pycnocentria sp. ,Austroperla cyrene,1.22e-05,2.34e-05
Stictocladius,Austroperla cyrene,0.001586455,2.34e-05
Zealolessica cheira,Austroperla cyrene,0.000409901,2.34e-05
Orchymontia sp. ,Pelicypod sp. ,0.000614333,0.000136292
Aoteapsyche sp.,Oligochaete Type I,9.74e-05,0.000169234
Austroperla cyrene,Oligochaete Type I,2.34e-05,0.000169234
Megaleptoperla grandis,Oligochaete Type I,0.000343498,0.000169234
Nothodixa sp.,Oligochaete Type I,0.000221426,0.000169234
Orchymontia sp. ,Oligochaete Type I,0.000614333,0.000169234
Philorheithrus agilis,Oligochaete Type I,0.000409901,0.000169234
Psilochorema bidens,Oligochaete Type I,0.000266079,0.000169234
Scirtid sp. (Broad type),Oligochaete Type I,0.000286519,0.000169234
Stictocladius,Oligochaete Type I,0.001586455,0.000169234
Stratiomyid sp. ,Oligochaete Type I,0.000286519,0.000169234
Aoteapsyche sp.,Nothodixa sp.,9.74e-05,0.000221426
Megaleptoperla grandis,Nothodixa sp.,0.000343498,0.000221426
Salmo trutta,Nothodixa sp.,200,0.000221426
Eunotia sp.,Psilachorema bidens ,-999,0.000266079
Macrophyte,Psilachorema bidens ,-999,0.000266079
Navicula rhynchocephala,Psilachorema bidens ,-999,0.000266079
Unidentified detritus,Psilachorema bidens ,-999,0.000266079
Salmo trutta,Zealolessica cheira,200,0.000409901
Aoteapsyche sp.,Orchymontia sp. ,9.74e-05,0.000614333
Austroperla cyrene,Orchymontia sp. ,2.34e-05,0.000614333
Megaleptoperla grandis,Orchymontia sp. ,0.000343498,0.000614333
Nothodixa sp.,Orchymontia sp. ,0.000221426,0.000614333
