Prey,Predator,PreyMass,PredatorMass
Achnanthes helvetica,Simulium equinum,2.27e-09,0.000162885
Heleniella ornaticollis,Simulium equinum,7.3e-05,0.000162885
Parametriocnemus stylatus,Simulium equinum,0.000104589,0.000162885
Epoicocladius flavens,Simulium intermedium,9.71e-05,0.000472497
Fragilaria fasciculata,Simulium intermedium,3.87e-09,0.000472497
Polypedilum nubeculosum,Simulium intermedium,5.16e-05,0.000472497
Tvetenia,Simulium intermedium,0.000152897,0.000472497
Achnanthes delicatula,Simulium lundstromi,4.41e-09,0.000519977
Cymbella sinuata,Simulium lundstromi,3.45e-09,0.000519977
Meridion circulare,Simulium lundstromi,3.53e-09,0.000519977
Thienemanniella,Simulium lundstromi,3.45e-05,0.000519977
Limnephilus lunatus,Polycentropus flavomaculatus,0.002143481,0.000867016
Gammarus pulex,Ablabesmyia monilis,0.002429482,0.001004011
Heleniella ornaticollis,Ablabesmyia monilis,7.3e-05,0.001004011
Melosira varians,Ablabesmyia monilis,6.41e-09,0.001004011
Polypedilum nubeculosum,Ablabesmyia monilis,5.16e-05,0.001004011
Potamophylax cingulatus,Ablabesmyia monilis,0.026891886,0.001004011
Simulium lundstromi,Ablabesmyia monilis,0.000519977,0.001004011
Thienemanniella,Ablabesmyia monilis,3.45e-05,0.001004011
Thienemannimyia,Ablabesmyia monilis,0.000528527,0.001004011
Baetis rhodani,Apsectrotanypus trifascipennis,0.000746418,0.001134434
Paracladopelma camptolabis,Apsectrotanypus trifascipennis,2.48e-05,0.001134434
Polypedilum nubeculosum,Apsectrotanypus trifascipennis,5.16e-05,0.001134434
Tanytarsini,Apsectrotanypus trifascipennis,9.86e-05,0.001134434
Thienemannimyia,Apsectrotanypus trifascipennis,0.000528527,0.001134434
Cryptochironomus,Nilotanypus,8.68e-05,0.001201784
Elmis aenea,Nilotanypus,0.000163479,0.001201784
Pseudorthocladius,Nilotanypus,0.000338411,0.001201784
Thienemannimyia,Nilotanypus,0.000528527,0.001201784
Achnanthes helvetica,Limnephilus lunatus,2.27e-09,0.002143481
Achnanthes minutissima,Limnephilus lunatus,9.13e-10,0.002143481
Achnanthes lanceolata,Gammarus pulex,3.62e-09,0.002429482
Pinnularia appendiculata,Hydropsyche siltalai,2.19e-09,0.006520027
Pseudostaurosira brevistriata,Hydropsyche siltalai,2.46e-09,0.006520027
Staurosirella leptostauron,Hydropsyche siltalai,2.07e-09,0.006520027
Fragilaria fasciculata,Hydropsyche pellucidula,3.87e-09,0.010641174
Melosira varians,Hydropsyche pellucidula,6.41e-09,0.010641174
Staurosirella pinnata,Hydropsyche pellucidula,2.07e-09,0.010641174
Epoicocladius flavens,Sialis lutaria,9.71e-05,0.011671145
Limnephilus rhombicus,Sialis lutaria,0.02026648,0.011671145
Nemoura avicularis,Sialis lutaria,0.003155618,0.011671145
Thienemannimyia,Sialis lutaria,0.000528527,0.011671145
Achnanthes lanceolata,Limnephilus rhombicus,3.62e-09,0.02026648
Thienemannimyia,Limnephilus rhombicus,0.000528527,0.02026648
Achnanthes minutissima,Gasterosteus aculeatus,9.13e-10,1.17735314
Cymbella sinuata,Gasterosteus aculeatus,3.45e-09,1.17735314
Heleniella ornaticollis,Gasterosteus aculeatus,7.3e-05,1.17735314
Sericostoma personatum,Barbatula barbatula,0.011105252,15.26231247
Limnephilus rhombicus,Salmo trutta,0.02026648,32.43793607
Nemoura avicularis,Salmo trutta,0.003155618,32.43793607
