Prey,Predator,PreyMass,PredatorMass
amoebae,Enchytraeidae,2.8e-08,-999
bacteria,Enchytraeidae,9.5e-16,-999
mykorrhiza,Enchytraeidae,-999,-999
root exudates,bacteria,-999,9.5e-16
roots,root feeding nematodes,-999,2.35e-07
Enchytraeidae,Oribatida sp. (juv),-999,7.36e-07
saphrophytes,Oribatida sp. (juv),-999,7.36e-07
amoebae,Isotomiella minor,2.8e-08,3.27e-06
flagellates,Isotomiella minor,3.63e-07,3.27e-06
mykorrhiza,Isotomiella minor,-999,3.27e-06
amoebae,predacious nematodes,2.8e-08,3.56e-06
Isotomiella minor,Pergamasinae (juv) {xs},3.27e-06,6.46e-06
Uropodina sp. (juv),Pergamasinae (juv) {xs},3.52e-06,6.46e-06
bacterivorous nematodes,Pergamasinae (juv) {xs},8.52e-07,6.46e-06
Isotomiella minor,Veigaia exigua (juv),3.27e-06,8.43e-06
Onychiuridae,Veigaia exigua (juv),6.75e-06,8.43e-06
mykorrhiza,Dissorhina ornata,-999,1.17e-05
fungivorous nematodes,Mesaphorura sp.,5.35e-07,1.46e-05
saphrophytes,Oppiella subpectinata,-999,1.52e-05
saphrophytes,Oppiella obsoleta,-999,1.58e-05
Desoria violacea,Veigaia exigua,8.34e-06,1.59e-05
Isotomiella minor,Veigaia exigua,3.27e-06,1.59e-05
Mesaphorura sp.,Veigaia exigua,1.46e-05,1.59e-05
Trachytes pauperior (juv),Veigaia exigua,1.16e-05,1.59e-05
Uropoda minima,Veigaia exigua,1.34e-05,1.59e-05
Veigaia exigua (juv),Veigaia exigua,8.43e-06,1.59e-05
saphrophytes,Hypochthonius rufulus,-999,2.51e-05
predacious nematodes,Pachyseius humeralis,3.56e-06,3.28e-05
bacterivorous nematodes,Veigaia nemorensis,8.52e-07,4.83e-05
algae,omnivorous nematodes,-999,6.02e-05
amoebae,omnivorous nematodes,2.8e-08,6.02e-05
plants,omnivorous nematodes,-999,6.02e-05
saphrophytes,Nothrus silvestris,-999,8.43e-05
dead organic matter,Eulohmannia ribagai,-999,8.7e-05
dead organic matter,Phthiracarus compressus,-999,0.000123863
saphrophytes,Scutigerella immaculata {m},-999,0.000203722
Lithobius sp2 {l},Lithobius sp3 {m},0.000157031,0.000204057
plants,Pulmonata sp. (juv),-999,0.000232019
leaf litter,Trichoniscus pusillus {m},-999,0.000404192
mykorrhiza,Trichoniscus pusillus {m},-999,0.000404192
Lepidocyrtus lanuginosus,Athous subfuscus (juv) {m},8.99e-06,0.000471002
Lithobius sp3 {m},Athous subfuscus (juv) {m},0.000204057,0.000471002
Megalothorax minimus,Athous subfuscus (juv) {m},1.52e-05,0.000471002
Tomocerus flavescens,Athous subfuscus (juv) {m},0.000281974,0.000471002
Bythinus acutangulus,Linyphiidae (juv),0.000326196,0.000519895
Folsomia quadrioculata,Linyphiidae (juv),5.41e-06,0.000519895
Oncopodura crassicornis,Linyphiidae (juv),1.67e-05,0.000519895
Pachyseius humeralis,Linyphiidae (juv),3.28e-05,0.000519895
Tomocerus flavescens,Linyphiidae (juv),0.000281974,0.000519895
Trichoniscus pusillus {m},Linyphiidae (juv),0.000404192,0.000519895
Linyphiidae (juv),Geostiba circellaris,0.000519895,0.001056938
Geostiba circellaris,Tenuiphantes tenebricola,0.001056938,0.001080164
Megalothorax minimus,Tenuiphantes tenebricola,1.52e-05,0.001080164
Pachyseius humeralis,Tenuiphantes tenebricola,3.28e-05,0.001080164
Tenuiphantes tenebricola,Saloca diceros,0.001080164,0.001156146
saphrophytes,Nargus anisotomoides,-999,0.001385543
Coleoptera sp.,Xantholinus sp. (juv) {m},0.001535648,0.001552369
omnivorous nematodes,Xantholinus sp. (juv) {m},6.02e-05,0.001552369
Chordeumatidae (juv) {s},Neobisium sp.,0.000194267,0.001603525
Coleoptera sp.,Neobisium sp.,0.001535648,0.001603525
Nargus anisotomoides,Neobisium sp.,0.001385543,0.001603525
Nesovitrea hammonis (juv),Neobisium sp.,0.001439063,0.001603525
Pulmonata sp. (juv),Neobisium sp.,0.000232019,0.001603525
Tomocerus flavescens,Neobisium sp.,0.000281974,0.001603525
Nargus anisotomoides,Salticidae sp. (juv),0.001385543,0.001820737
Trichoniscus sp.,Salticidae sp. (juv),0.001742812,0.001820737
Bythinus acutangulus,Microneta viaria,0.000326196,0.001863227
Coleoptera sp.,Microneta viaria,0.001535648,0.001863227
Diplocephalus picinus,Microneta viaria,0.001612679,0.001863227
Nargus anisotomoides,Microneta viaria,0.001385543,0.001863227
Saloca diceros,Microneta viaria,0.001156146,0.001863227
Tachyusa sp. (juv),Microneta viaria,0.000198338,0.001863227
Xantholinus sp. (juv) {m},Microneta viaria,0.001552369,0.001863227
Lithobius cf. mutabilis (juv),Tenuiphantes tenuis,0.001784674,0.001997645
Tomocerus flavescens,Tenuiphantes tenuis,0.000281974,0.001997645
Trichoniscus sp.,Tenuiphantes tenuis,0.001742812,0.001997645
Bythinus acutangulus,Quedius sp. (juv),0.000326196,0.002088641
Nargus anisotomoides,Quedius sp. (juv),0.001385543,0.002088641
Tenuiphantes tenuis,Quedius sp. (juv),0.001997645,0.002088641
omnivorous nematodes,Quedius sp. (juv),6.02e-05,0.002088641
predacious nematodes,Quedius sp. (juv),3.56e-06,0.002088641
root feeding nematodes,Quedius sp. (juv),2.35e-07,0.002088641
Clausilia bidentata,Nesovitrea hammonis,0.079863719,0.002188587
Diplocephalus picinus,Campodea sp. {l},0.001612679,0.002292383
Salticidae sp. (juv),Campodea sp. {l},0.001820737,0.002292383
mykorrhiza,Nargus wilkini,-999,0.002349298
Bythinus acutangulus,Harpactea lepida (juv) small,0.000326196,0.002996785
Bythinus acutangulus,Walckenaeria cuspidata,0.000326196,0.003001519
Scydmaenidae sp2,Walckenaeria cuspidata,0.000550589,0.003001519
Coleoptera sp.,Lithobius sp.,0.001535648,0.00359344
Eulohmannia ribagai,Lithobius sp.,8.7e-05,0.00359344
Veigaia nemorensis,Lithobius sp.,4.83e-05,0.00359344
Coelotes terrestris,Lithobius muticus,0.03574029,0.003677257
Discus rotundatus (juv),Staphylinidae spec,0.003997226,0.004003596
Nesovitrea hammonis (juv),Staphylinidae spec,0.001439063,0.004003596
Saloca diceros,Staphylinidae spec,0.001156146,0.004003596
Trichoniscus sp.,Staphylinidae spec,0.001742812,0.004003596
Eulohmannia ribagai,Geophilus ribauti,8.7e-05,0.004253993
Lithobius sp2 {l},Geophilus ribauti,0.000157031,0.004253993
Phthiracarus anonymus,Geophilus ribauti,7.15e-05,0.004253993
Veigaia nemorensis,Geophilus ribauti,4.83e-05,0.004253993
Lithobius sp.,Harpactea lepida (juv) large,0.00359344,0.004962887
Lithobius sp2 {l},Harpactea lepida (juv) large,0.000157031,0.004962887
Microneta viaria,Harpactea lepida (juv) large,0.001863227,0.004962887
Plectophoreus fischeri,Harpactea lepida (juv) large,0.000326196,0.004962887
Glomeris sp. (juv) {m},Geophilus insculptus,0.000269864,0.005906476
Trichoniscus sp.,Phalangiidae sp. (juv),0.001742812,0.005966949
Geophilus insculptus,Geophilomorpha sp.,0.005906476,0.006669259
Discus rotundatus,Strigamia acuminata,0.007771684,0.006997365
Geophilomorpha sp.,Strigamia acuminata,0.006669259,0.006997365
Geophilus insculptus,Strigamia acuminata,0.005906476,0.006997365
Julidae sp.,Strigamia acuminata,0.00617,0.006997365
Monachoides incarnatus (juv),Strigamia acuminata,0.037934138,0.006997365
Oniscus asellus,Strigamia acuminata,0.008617633,0.006997365
dead organic matter,Discus rotundatus,-999,0.007771684
Diplocephalus picinus,Robertus lividus,0.001612679,0.008396656
Phalangiidae sp. (juv),Xantholinus laevigatus,0.005966949,0.010916669
Strigamia acuminata,Xantholinus laevigatus,0.006997365,0.010916669
Elateridae sp1 (juv) {l},Amaurobius sp. (juv),0.01092301,0.012068147
Harpactea lepida (juv) large,Amaurobius sp. (juv),0.004962887,0.012068147
Lithobius sp.,Amaurobius sp. (juv),0.00359344,0.012068147
