Prey,Predator,PreyMass,PredatorMass
Cryptomonas ovata,benthic detritus,4.75e-11,-999
Cryptomonas ovata,Nitzschia sp.,4.75e-11,1.26e-10
Cryptomonas ovata,Asterionella formosa,4.75e-11,5.12e-10
Peridinium inconspicuum,Asterionella formosa,5.6e-08,5.12e-10
Asterionella formosa,Peridinium inconspicuum,5.12e-10,5.6e-08
Cryptomonas ovata,Peridinium inconspicuum,4.75e-11,5.6e-08
Cryptomonas ovata,Peridinium limbatum,4.75e-11,5.6e-08
Synchaeta sp.,Chydorus sphaericus,1.37e-05,2.18e-06
Bosmina longirostris,Paracyclops sp.,1.55e-06,1e-05
Ceriodaphnia quadrangula,Paracyclops sp.,5.85e-06,1e-05
Chrosomus eos,Mesocyclops edax,3,1e-05
Chrosomus eos,Paracyclops sp.,3,1e-05
Cryptomonas ovata,Paracyclops sp.,4.75e-11,1e-05
Diaphanosoma birgei,Mesocyclops edax,4.01e-05,1e-05
Diaphanosoma birgei,Paracyclops sp.,4.01e-05,1e-05
Ictalurus nebulosus,Mesocyclops edax,13,1e-05
Ictalurus nebulosus,Paracyclops sp.,13,1e-05
Nitzschia sp.,Paracyclops sp.,1.26e-10,1e-05
Notemigonus crysoleucas,Mesocyclops edax,2,1e-05
Notemigonus crysoleucas,Paracyclops sp.,2,1e-05
Umbra limi,Mesocyclops edax,3.5,1e-05
Umbra limi,Paracyclops sp.,3.5,1e-05
benthic detritus,Mesocyclops edax,-999,1e-05
fish eggs,Mesocyclops edax,0.0201,1e-05
fish eggs,Paracyclops sp.,0.0201,1e-05
fish fry,Paracyclops sp.,0.016,1e-05
Chrosomus eos,fish fry,3,0.016
Cryptomonas ovata,fish fry,4.75e-11,0.016
Ictalurus nebulosus,fish fry,13,0.016
Notemigonus crysoleucas,fish fry,2,0.016
Umbra limi,fish fry,3.5,0.016
Cryptomonas ovata,fish eggs,4.75e-11,0.0201
Chrosomus eos,Notemigonus crysoleucas,3,2
Ictalurus nebulosus,Notemigonus crysoleucas,13,2
Peridinium inconspicuum,Notemigonus crysoleucas,5.6e-08,2
Peridinium limbatum,Notemigonus crysoleucas,5.6e-08,2
Umbra limi,Notemigonus crysoleucas,3.5,2
benthic detritus,Notemigonus crysoleucas,-999,2
fish eggs,Notemigonus crysoleucas,0.0201,2
fish fry,Notemigonus crysoleucas,0.016,2
Ictalurus nebulosus,Chrosomus eos,13,3
Notemigonus crysoleucas,Chrosomus eos,2,3
Umbra limi,Chrosomus eos,3.5,3
fish eggs,Chrosomus eos,0.0201,3
Cryptomonas ovata,Umbra limi,4.75e-11,3.5
Cryptomonas ovata,Ictalurus nebulosus,4.75e-11,13
