Prey,Predator,PreyMass,PredatorMass
Acanthochitona crinita,PhytoP,0.125,0.0001
Ellisolandia elongata,PhytoP,0.000228,0.0001
Lipophrys pholis,PhytoP,0.16,0.0001
Musculus costulatus,PhytoP,0.0095,0.0001
Sphacelaria cirrosa,PhytoP,0.000228,0.0001
Ulva lactuca,PhytoP,0.000228,0.0001
Zooplankton,PhytoP,0.001,0.0001
Acanthochitona crinita,Nemertea,0.125,0.00019
Ellisolandia elongata,Nemertea,0.000228,0.00019
Musculus costulatus,Nemertea,0.0095,0.00019
Sphacelaria cirrosa,Nemertea,0.000228,0.00019
Ulva lactuca,Nemertea,0.000228,0.00019
Zooplankton,Nemertea,0.001,0.00019
Acanthochitona crinita,Sphacelaria cirrosa,0.125,0.000228
Acanthochitona crinita,Ulva lactuca,0.125,0.000228
Ellisolandia elongata,Sphacelaria cirrosa,0.000228,0.000228
Ellisolandia elongata,Ulva lactuca,0.000228,0.000228
Gobius paganellus,Ulva lactuca,0.273,0.000228
Insecta,Ulva lactuca,0.0007,0.000228
Lipophrys pholis,Ellisolandia elongata,0.16,0.000228
Musculus costulatus,Sphacelaria cirrosa,0.0095,0.000228
Musculus costulatus,Ulva lactuca,0.0095,0.000228
Patella ulyssiponensis,Ellisolandia elongata,14.72,0.000228
Patella ulyssiponensis,Ulva lactuca,14.72,0.000228
Polychaeta,Ellisolandia elongata,0.0082,0.000228
Polychaeta,Sphacelaria cirrosa,0.0082,0.000228
Polychaeta,Ulva lactuca,0.0082,0.000228
Sphacelaria cirrosa,Ellisolandia elongata,0.000228,0.000228
Sphacelaria cirrosa,Ulva lactuca,0.000228,0.000228
Ulva lactuca,Ellisolandia elongata,0.000228,0.000228
Ulva lactuca,Sphacelaria cirrosa,0.000228,0.000228
Zooplankton,Ellisolandia elongata,0.001,0.000228
Zooplankton,Sphacelaria cirrosa,0.001,0.000228
Acanthochitona crinita,Lithophyllum sp.,0.125,0.000228
Ellisolandia elongata,Lithophyllum sp.,0.000228,0.000228
Lipophrys pholis,Lithophyllum sp.,0.16,0.000228
Sphacelaria cirrosa,Lithophyllum sp.,0.000228,0.000228
Ulva lactuca,Lithophyllum sp.,0.000228,0.000228
Zooplankton,Lithophyllum sp.,0.001,0.000228
