Prey,Predator,PreyMass,PredatorMass
Cryptomonas erosa,benthic detritus,4.75e-11,-999
copepod nauplii,benthic detritus,0.001812356,-999
nanoflagellates ,benthic detritus,3.49e-12,-999
nanoflagellates ,Chroococcus limneticus,3.49e-12,1.53e-11
Cryptomonas erosa,Merismopedia tenuissima,4.75e-11,2.41e-11
nanoflagellates ,Merismopedia tenuissima,3.49e-12,2.41e-11
Cryptomonas erosa,Uroglenopsis americana,4.75e-11,4.79e-11
nanoflagellates ,Uroglenopsis americana,3.49e-12,4.79e-11
Cryptomonas erosa,Elakatrothrix gelatinosa,4.75e-11,1.96e-10
Cryptomonas ovata,Elakatrothrix gelatinosa,4.75e-11,1.96e-10
nanoflagellates ,Schroederia setigera,3.49e-12,6.37e-10
Cryptomonas erosa,Sphaerocystis schroeteri,4.75e-11,1.11e-09
Cryptomonas ovata,Sphaerocystis schroeteri,4.75e-11,1.11e-09
nanoflagellates ,Sphaerocystis schroeteri,3.49e-12,1.11e-09
nanoflagellates ,Dinobryon sp.,3.49e-12,1.36e-09
Cryptomonas erosa,Coelastrum cambricum,4.75e-11,1.49e-09
Cryptomonas ovata,Coelastrum cambricum,4.75e-11,1.49e-09
nanoflagellates ,Coelastrum cambricum,3.49e-12,1.49e-09
Cryptomonas erosa,Peridinium wisconsinense,4.75e-11,5.6e-08
nanoflagellates ,Peridinium wisconsinense,3.49e-12,5.6e-08
nanoflagellates ,Oocyctis sp.,3.49e-12,8.61e-08
Ambloplites rupestris,Diaptomus sicilis,97,5.79e-06
Bosmina longirostris,Diaptomus sicilis,1.55e-06,5.79e-06
Colletheca mutabilis,Diaptomus sicilis,3.21e-05,5.79e-06
Conochiloides dossuarius,Diaptomus sicilis,1.83e-06,5.79e-06
Conochiloides unicornis,Diaptomus sicilis,3.18e-07,5.79e-06
Daphnia ambigua,Diaptomus sicilis,1e-05,5.79e-06
Daphnia parvula,Diaptomus sicilis,1e-05,5.79e-06
Diaphanosoma birgei,Diaptomus sicilis,4.01e-05,5.79e-06
Eucyclops agilis,Diaptomus sicilis,1e-05,5.79e-06
Gastropus stylifer,Diaptomus sicilis,8.55e-07,5.79e-06
Ictalurus nebulosus,Diaptomus sicilis,37,5.79e-06
Keratella crassa,Diaptomus sicilis,1.89e-06,5.79e-06
Lepomis gibbosus,Diaptomus sicilis,18,5.79e-06
Leptodora kindtii,Diaptomus sicilis,0.00456,5.79e-06
Luxilus cornutus,Diaptomus sicilis,40,5.79e-06
Mesocyclops edax,Diaptomus sicilis,1e-05,5.79e-06
Peridinium wisconsinense,Diaptomus sicilis,5.6e-08,5.79e-06
Polyarthra euryptera,Diaptomus sicilis,1.09e-06,5.79e-06
Polyarthra remata,Diaptomus sicilis,1.99e-07,5.79e-06
Trichotria tetractis,Diaptomus sicilis,4.42e-06,5.79e-06
Tropocyclops prasinus,Diaptomus sicilis,6.85e-06,5.79e-06
benthic detritus,Diaptomus sicilis,-999,5.79e-06
copepod nauplii,Diaptomus sicilis,0.001812356,5.79e-06
fish eggs,Diaptomus sicilis,0.0201,5.79e-06
nanoflagellates ,Diaptomus sicilis,3.49e-12,5.79e-06
Asplanchna sp.,Tropocyclops prasinus,7.35e-06,6.85e-06
Catostomus catostomus,Tropocyclops prasinus,300,6.85e-06
Chroococcus limneticus,Tropocyclops prasinus,1.53e-11,6.85e-06
Chrysosphaerella longispina,Tropocyclops prasinus,7.65e-10,6.85e-06
Dinobryon sp.,Tropocyclops prasinus,1.36e-09,6.85e-06
Holopedium gibberum,Tropocyclops prasinus,6.82e-05,6.85e-06
Ictalurus nebulosus,Tropocyclops prasinus,37,6.85e-06
benthic detritus,Tropocyclops prasinus,-999,6.85e-06
fish eggs,Tropocyclops prasinus,0.0201,6.85e-06
Bosmina longirostris,Asplanchna sp.,1.55e-06,7.35e-06
Catostomus catostomus,Asplanchna sp.,300,7.35e-06
Catostomus commersoni,Asplanchna sp.,252,7.35e-06
Ceriodaphnia quadrangula,Asplanchna sp.,5.85e-06,7.35e-06
Chrysosphaerella longispina,Asplanchna sp.,7.65e-10,7.35e-06
Coelastrum cambricum,Asplanchna sp.,1.49e-09,7.35e-06
Cryptomonas ovata,Asplanchna sp.,4.75e-11,7.35e-06
Daphnia ambigua,Asplanchna sp.,1e-05,7.35e-06
Diaphanosoma birgei,Asplanchna sp.,4.01e-05,7.35e-06
Diaptomus minutus,Asplanchna sp.,1.44e-05,7.35e-06
Dinobryon sp.,Asplanchna sp.,1.36e-09,7.35e-06
Elakatrothrix gelatinosa,Asplanchna sp.,1.96e-10,7.35e-06
Holopedium gibberum,Asplanchna sp.,6.82e-05,7.35e-06
Ictalurus nebulosus,Asplanchna sp.,37,7.35e-06
Mallomonas sp.,Asplanchna sp.,5.65e-09,7.35e-06
Merismopedia tenuissima,Asplanchna sp.,2.41e-11,7.35e-06
Oocyctis sp.,Asplanchna sp.,8.61e-08,7.35e-06
Sphaerocystis schroeteri,Asplanchna sp.,1.11e-09,7.35e-06
copepod nauplii,Asplanchna sp.,0.001812356,7.35e-06
fish eggs,Asplanchna sp.,0.0201,7.35e-06
fish fry,Asplanchna sp.,0.016,7.35e-06
Ambloplites rupestris,Eucyclops agilis,97,1e-05
Catostomus catostomus,Eucyclops agilis,300,1e-05
Catostomus commersoni,Eucyclops agilis,252,1e-05
Chroococcus limneticus,Eucyclops agilis,1.53e-11,1e-05
