Prey,Predator,PreyMass,PredatorMass
Cystoseira sp.,Gammaridae,0.000228,0.0004
Ellisolandia elongata,Gammaridae,0.000228,0.0004
Sphacelaria cirrosa,Gammaridae,0.000228,0.0004
Codium sp.,Rissoidae,0.000228,0.0009
Ellisolandia elongata,Rissoidae,0.000228,0.0009
Cystoseira sp.,Barleeia sp.,0.000228,0.002
Sphacelaria cirrosa,Barleeia sp.,0.000228,0.002
Zooplankton,Musculus costulatus,0.001,0.0085
Zooplankton,Atherina boyeri,0.001,0.01
Asparagopsis armata,Palaemon longirostris,0.000228,0.102
Colpomenia peregrina,Palaemon longirostris,0.000228,0.102
Sphacelaria cirrosa,Palaemon longirostris,0.000228,0.102
Colpomenia peregrina,Sphaeromatidae,0.000228,0.162
Cystoseira sp.,Sphaeromatidae,0.000228,0.162
Asparagopsis armata,Aulactinia verrucosa,0.000228,0.2
Nematoda,Aulactinia verrucosa,0.01,0.2
Ulva lactuca,Aulactinia verrucosa,0.000228,0.2
Cystoseira sp.,Pirimela denticulata,0.000228,0.265
Fucus vesiculosus,Pirimela denticulata,0.000228,0.265
Oligochaeta,Pirimela denticulata,0.0004,0.265
Ellisolandia elongata,Gobius paganellus,0.000228,0.285
Asparagopsis armata,Gibbula umbilicalis,0.000228,0.403
Colpomenia peregrina,Gibbula umbilicalis,0.000228,0.403
Fucus vesiculosus,Gibbula umbilicalis,0.000228,0.403
Sphacelaria cirrosa,Gibbula umbilicalis,0.000228,0.403
PhytoP,Gibbula umbilicalis,0.0001,0.403
Codium sp.,Coryphoblennius galerita,0.000228,0.6575
Ellisolandia elongata,Coryphoblennius galerita,0.000228,0.6575
Asparagopsis armata,Actinia fragacea,0.000228,0.935
Cystoseira sp.,Actinia fragacea,0.000228,0.935
Sphacelaria cirrosa,Actinia fragacea,0.000228,0.935
Asparagopsis armata,Palaemon elegans,0.000228,1.62
Bifurcaria bifurcata,Palaemon elegans,0.000228,1.62
Colpomenia peregrina,Palaemon elegans,0.000228,1.62
Bifurcaria bifurcata,Paracentrotus lividus,0.000228,2.48
Colpomenia peregrina,Paracentrotus lividus,0.000228,2.48
Acanthochitona crinita,Lipophrys trigloides,0.152,2.51
Chthamalus sp.,Lipophrys trigloides,0.01,2.51
Lepidochitona cinerea,Lipophrys trigloides,0.162,2.51
Patella vulgata,Lipophrys trigloides,0.635,2.51
Ulva lactuca,Lipophrys trigloides,0.000228,2.51
Bifurcaria bifurcata,Actinia equina,0.000228,2.515
Codium sp.,Actinia equina,0.000228,2.515
Sphacelaria cirrosa,Actinia equina,0.000228,2.515
Sphacelaria cirrosa,Patella depressa,0.000228,3.14
Ulva lactuca,Patella depressa,0.000228,3.14
Polychaeta,Patella depressa,0.0035,3.14
Mytilus galloprovincialis,Anemonia sulcata,0.156,35.33
Colpomenia peregrina,Anemonia sulcata,0.000228,35.33
