Prey,Predator,PreyMass,PredatorMass
Pachygrapsus crassipes,trypanorhynch-grapsid,8.2920462,-302.023196372093
Mesostephanus appendiculatus,Polydora nuchalis,0.0156212192743363,0.00263131377358491
Probolocoryphe species A,Polydora nuchalis,0.0348604629263158,0.00263131377358491
Marine detritus,Trichocorixia sp.,-999,0.00360519
Mesostephanus appendiculatus,Stictodora hancocki,0.0156212192743363,0.011159813699115
Renicola cerithidicola,Renicola buchanani,0.0158266240047619,0.0129577344554455
Cyathocotylidae,Himasthla rhigedana,0.00726142462105263,0.0161051905660377
Renicola buchanani,Cloacitrema michiganiensis,0.0129577344554455,0.016520044159292
Renicola cerithidicola,Euhaplorchis californiensis,0.0158266240047619,0.0176184099518072
Probolocoryphe species A,Parorchis acanthus,0.0348604629263158,0.019181136
Stictodora hancocki,Parorchis acanthus,0.011159813699115,0.019181136
Probolocoryphe species A,Himasthla B,0.0348604629263158,0.0200449314772727
Renicola buchanani,Austrobilharzia sp.,0.0129577344554455,0.0275827360363636
Phocitremoides ovale,Clevelandia ios,0.0107834963027523,0.3380892
Renicola cerithidicola,Fundulus parvipinnis,0.0158266240047619,0.50501708
Mytilus galloprovincialis,Atherinops affinis,-523.285697,2.59261677
Nuttallia nuttallii,Atherinops affinis,38.6265448405405,2.59261677
Polydora nuchalis,Atherinops affinis,0.00263131377358491,2.59261677
Capitella capitata,Pachygrapsus crassipes,0.00196500903225806,8.2920462
Nuttallia nuttallii,Pachygrapsus crassipes,38.6265448405405,8.2920462
Protothaca staminea,Pachygrapsus crassipes,15.4362070862069,8.2920462
Phocitremoides ovale,Protothaca staminea,0.0107834963027523,15.4362070862069
Probolocoryphe species A,Protothaca staminea,0.0348604629263158,15.4362070862069
Renicola sp.,Protothaca staminea,0.0203509775324675,15.4362070862069
Catatropis johnstoni,Macoma secta,0.0197584337142857,22.6431035368421
Hemiuridae,Hypsopsetta guttulata,-411.347741070588,24.6492672
Tagelus affinis,Hypsopsetta guttulata,5.68175037567568,24.6492672
Mesostephanus appendiculatus,Acanthogobius flavimanus,0.0156212192743363,26.9388716
Parorchis acanthus,Acanthogobius flavimanus,0.019181136,26.9388716
Renicola cerithidicola,Leptocottus armatus,0.0158266240047619,28.5679949
Stictodora hancocki,Paralichthys californicus,0.011159813699115,35.3681077
unk a/sm meso,Paralichthys californicus,-480.531643965949,35.3681077
Cloacitrema michiganiensis,Nuttallia nuttallii,0.016520044159292,38.6265448405405
Macoma nasuta,Nuttallia nuttallii,5.61185038343284,38.6265448405405
Phocitremoides ovale,Nuttallia nuttallii,0.0107834963027523,38.6265448405405
Renicola cerithidicola,Nuttallia nuttallii,0.0158266240047619,38.6265448405405
Macoma secta,Actitis macularia,22.6431035368421,44.1
Ephydra,Charadrius vociferus,0.0411414346341463,95
Acanthoparyphium spinulosum,Saxidomus nuttalli,0.0128262962727273,131.135718042857
Himasthla B,Saxidomus nuttalli,0.0200449314772727,131.135718042857
Mesostephanus appendiculatus,Saxidomus nuttalli,0.0156212192743363,131.135718042857
Renicola cerithidicola,Saxidomus nuttalli,0.0158266240047619,131.135718042857
Renicola sp.,Saxidomus nuttalli,0.0203509775324675,131.135718042857
Tagelus affinis,Saxidomus nuttalli,5.68175037567568,131.135718042857
Saxidomus nuttalli,Larus philadelphia,131.135718042857,211.25
Renicola buchanani,Butorides virescens,0.0129577344554455,241
trypanorhynch-fish,Butorides virescens,-295.158790631818,241
Glossocercus sp.,Egretta caerulea,-226.177147213585,340
tetraphyllidean-fish,Egretta caerulea,-245.037708301887,340
Calidris mauri,Accipiter cooperi,24.2,360
Calidris minutilla,Accipiter cooperi,20.9,360
Trematode,Accipiter cooperi,-657.878030921951,360
Acanthoparyphium spinulosum,Limosa fedoa,0.0128262962727273,367.5
Cyathocotylidae,Limosa fedoa,0.00726142462105263,367.5
Pygidiopsoides spindalis,Limosa fedoa,0.0112953385054054,367.5
Gregarinea,Corvus brachyrhynchos,1.13e-06,399.5
Mesostephanus appendiculatus,Corvus brachyrhynchos,0.0156212192743363,399.5
Protothaca staminea,Corvus brachyrhynchos,15.4362070862069,399.5
Cloacitrema michiganiensis,Podilymbus podiceps,0.016520044159292,416
Cloacitrema michiganiensis,Urolophus halleri,0.016520044159292,467.2
Macoma nasuta,Urolophus halleri,5.61185038343284,467.2
Tagelus affinis,Larus canus,5.68175037567568,480
Atherinops affinis,Sterna caspia,2.59261677,655.5
Tagelus californianus,Larus californicus,17.3660391540541,738
Acteocina inculta,Anas americana,0.00735517,780
Mesostephanus appendiculatus,Nycticorax nycticorax,0.0156212192743363,869.6
Renicola cerithidicola,Egretta alba,0.0158266240047619,873.5
Renicola sp.,Melanitta perspicillata,0.0203509775324675,950
Stictodora hancocki,Melanitta perspicillata,0.011159813699115,950
Hysterolecitha trilocalis,Mergus serrator,-446.361116125106,1040.5
unk c,Mergus serrator,-624.3749993625,1040.5
Cloacitrema michiganiensis,Anas platyrhynchos,0.016520044159292,1186.5
Stictodora hancocki,Aechmophorus occidentalis,0.011159813699115,1314
trypanorhynch-fish,Aechmophorus occidentalis,-295.158790631818,1314
unk a/sm meso,Aechmophorus occidentalis,-480.531643965949,1314
Hypsopsetta guttulata,Triakis semifasciata,24.6492672,1314.95447
Neotrypaea californiensis,Triakis semifasciata,4.74904783,1314.95447
Nuttallia nuttallii,Triakis semifasciata,38.6265448405405,1314.95447
unk a/sm meso,Phalacrocorax penicillatus,-480.531643965949,2254.5
Cloacitrema michiganiensis,Procyon locator,0.016520044159292,6000
Fulica americana,Procyon locator,650,6000
