Prey,Predator,PreyMass,PredatorMass
Ceroplastes,Algae,0.005,8.21e-07
Lapisma sp.,Melichares,0.057932236,3.59e-06
Pauropoda,Tapinoma littorale,0.001387308,0.000398141
Dendroica,Veigaia,8,0.000795
Ceroplastes,Hypoponera opacior,0.005,0.00114621
Ceroplastes,Pauropoda,0.005,0.001387308
Blissus insularis,Callihormius bifasciatus,0.004,0.001671743
Ceroplastes,Callihormius bifasciatus,0.005,0.001671743
Odonata,Iphiaulax epicus,0.399604248,0.001671743
Rhizoglyphus callae,Ecphylus,5.5e-06,0.001671743
Scaphytopius,Ecphylus,0.0075,0.001671743
Argiope argentata,Neanastatus,0.00459071,0.002300114
Orius,Neanastatus,0.0035,0.002300114
Rhizophora mangle,Lichenomima,0.057932236,0.00325
Rhizophora mangle,Aedes taeniorhynchus,0.057932236,0.0035
Embidopsocus laticeps,Sergiolus,0.00325,0.0039
Lachesilla,Sergiolus,0.00325,0.0039
Apocrita,Ballus,0.826845887,0.004
Melittobia chalybii,Ballus,0.000722205,0.004
Metatropiphorus belfragei,Uloborus,0.009,0.005
Pauropoda,Tricorynus,0.001387308,0.005
Aedes taeniorhynchus,Hentzia palmarum,0.0035,0.006
Cyrtoxipha,Hentzia palmarum,0.018459537,0.006
Psocidus texanus,Anyphaena,0.00325,0.006
Fungi,Styloleptus biustus,4.46244769,0.0065
Psocidus texanus,Gnaphosa,0.00325,0.0066
Casinaria texana,Pirata,0.098554409,0.00665
Ecphylus,Pirata,0.001671743,0.00665
Vacusus vicinus,Pirata,0.007,0.00665
Camponotus tortuganus,Maevia vittata,0.013570258,0.007
Pauropoda,Oxacis,0.001387308,0.007
Tholeria reversalis,Argyrodes nephilae,0.578053133,0.0077
Ballus,Trochopus plumbeus,0.004,0.008
Hentzia palmarum,Trochopus plumbeus,0.006,0.008
Melittobia chalybii,Paraphidippus flavus,0.000722205,0.008
Odonata,Trochopus plumbeus,0.399604248,0.008
Pseudomyrmex elongatus,Paraphidippus flavus,0.016248394,0.008
Fungi,Brachymeria psyche,4.46244769,0.008284363
Turpilia rostrata,Stoidis aurata,0.388073661,0.009
Labidura riparia,Trypoxylon collinum,0.0215,0.040552112
Scytodes,Trypoxylon collinum,4.75,0.040552112
Hentzia palmarum,Staphylinidae,0.006,0.0476
Rhizophora mangle,Latiblattella,0.057932236,0.057932236
Pauropoda,Tholeria reversalis,0.001387308,0.578053133
Blissus insularis,Butorides virescens,0.004,240
Cecidomyidae,Butorides virescens,0.003,240
Phocides batabano,Butorides virescens,1.36330884,240
