Prey,Predator,PreyMass,PredatorMass
Entomobryomorpha,Acari pred,2.95e-05,3.45e-05
Fulgoroidea,Theridiidae,0.000300523,6.29e-05
Sminthuridae,Edaphus blŸhweissi,2.95e-05,6.72e-05
Sminthuridae,Anotylus sp,2.95e-05,0.000105535
Poduromorpha,Bryaxis sp,2.95e-05,0.000105535
Ceratopogonidae,Araneidae,0.000760097333333333,0.000112274
Acari phyto,Brachygluta sp,3.45e-05,0.000214014
Poduromorpha,Brachygluta sp,2.95e-05,0.000214014
Chartoscirta cincta,Stilicus rufipes,0.003909244,0.000245429
Opilionida,Stilicus rufipes,0.010951018,0.000245429
Vertigo pygmaea,Stilicus rufipes,0.0529128,0.000245429
Anacaena limbata,Thomisidae,0.000981717,0.000359276
Aphtona lutescens,Thomisidae,0.000490858,0.000359276
Argyra vestita,Thomisidae,0.000797328,0.000359276
Chrysopidae,Thomisidae,0.000797328,0.000359276
Pipinculus sp,Thomisidae,0.000637862,0.000359276
Platystethus nodifrons,Thomisidae,0.000849185,0.000359276
Teuchophorus calcaratus,Thomisidae,0.000265776,0.000359276
Xysticus sp,Thomisidae,0.000984555,0.000359276
Hebrus pusillus,Liocranidae,0.003811513,0.000366186
Diplocampa assimile,Hypostenus sp,0.001595289,0.000490858
Liocranidae,Hypostenus sp,0.000366186,0.000490858
Emberiza schoeniclus,Ceratopogonidae,20,0.000760097333333333
Psychodidae,Lepthyphantes tenuis,0.000494574565217391,0.00077728
Chloropidae,Argyra vestita,0.001310275,0.000797328
Chrysopidae,Theridion sp,0.000797328,0.000884372
Hebrus pusillus,Theridion sp,0.003811513,0.000884372
Herina parva,Theridion sp,0.00132888,0.000884372
Limnobaris dolorosa,Theridion sp,0.011289741,0.000884372
Brachygluta sp,Gnathonarium dentatum,0.000214014,0.000977646
Carabidae,Gabrius fermoralis,0.000980218,0.000981717
Pelochares versicolor,Gabrius fermoralis,0.001492209,0.000981717
Trochosa sp,Gabrius fermoralis,0.007289163,0.000981717
Chaetocnema confusa,Xysticus sp,0.001227146,0.000984555
Chrysomelidae,Xysticus sp,0.00564487,0.000984555
Hybotidae,Xysticus sp,8.85e-05,0.000984555
Jassidae,Xysticus sp,0.000732983,0.000984555
Lesteva sicula,Xysticus sp,0.001227146,0.000984555
Limoniidae,Xysticus sp,0.00156532848275862,0.000984555
Muscidae copro,Xysticus sp,0.001118917,0.000984555
Pachybrachius sp,Xysticus sp,0.004153571,0.000984555
Salticidae,Xysticus sp,0.0057653479,0.000984555
Sciaridae,Xysticus sp,0.000234149,0.000984555
Staphylinidae,Xysticus sp,0.003694438,0.000984555
Trogophloeus corticinus,Xysticus sp,0.000245429,0.000984555
Zora spinimana,Xysticus sp,0.00518187,0.000984555
Cicadina,Walckenaeria nudipalpis,0.000332286,0.001036374
Brachygluta sp,Antistea elegans,0.000214014,0.0010581811875
Bryaxis sp,Antistea elegans,0.000105535,0.0010581811875
Araneae,Lesteva sicula,0.010881926,0.001227146
Pelochares versicolor,Lesteva sicula,0.001492209,0.001227146
Anotylus sp,Tetramorium sp,0.000105535,0.00132888
Cicadina,Tetramorium sp,0.000332286,0.00132888
Diplocampa assimile,Tetramorium sp,0.001595289,0.00132888
Lesteva sicula,Tetramorium sp,0.001227146,0.00132888
Liocranidae,Tetramorium sp,0.000366186,0.00132888
Pentatomidae,Tetramorium sp,0.002252702,0.00132888
Valvata sp,Tetramorium sp,0.032903268,0.00132888
Vertigo moulinsiana,Tetramorium sp,0.065315869,0.00132888
Vertigo pygmaea,Tetramorium sp,0.0529128,0.00132888
Chironomidae,Lathrobium fovalum,0.000389125388888889,0.001472575
Cicadina,Lathrobium fovalum,0.000332286,0.001472575
Dryops auriculatus,Lathrobium fovalum,0.004000495,0.001472575
Hypostenus sp,Lathrobium fovalum,0.000490858,0.001472575
Trichia sericea,Lathrobium fovalum,0.271818361,0.001472575
Vertigo pygmaea,Lathrobium fovalum,0.0529128,0.001472575
Zelotes sp,Lathrobium fovalum,0.002418206,0.001472575
Delphacidae,Hercostomus assimilis,0.000652355,0.001594655
Hybotidae,Hercostomus assimilis,8.85e-05,0.001594655
Vertigo moulinsiana,Diplocampa assimile,0.065315869,0.001595289
Anacaena limbata,Tetartopeus terminatum,0.000981717,0.002208862
Coleoptera,Tetartopeus terminatum,3.84e-05,0.002208862
Jassidae,Tetartopeus terminatum,0.000732983,0.002208862
Limacidae,Tetartopeus terminatum,0.345443419,0.002208862
Pterostichus sp,Tetartopeus terminatum,0.013253174,0.002208862
Chrysomelidae,Argiope bruennichi,0.00564487,0.002266204
Coenagrion pulchellum,Argiope bruennichi,0.016220717,0.002266204
Muscidae flor,Argiope bruennichi,0.001118917,0.002266204
Tetrastichus sp,Argiope bruennichi,0.000845167,0.002266204
Ceratopogonidae,Sitticus sp,0.000760097333333333,0.002763664
Drosophilidae,Sitticus sp,0.000531552,0.002763664
Ephydridae,Sitticus sp,0.000797328,0.002763664
Hybotidae,Sitticus sp,8.85e-05,0.002763664
Ceratopogonidae,Clubiona sp,0.000760097333333333,0.003451125
Chaetocnema confusa,Clubiona sp,0.001227146,0.003451125
Ephydridae,Clubiona sp,0.000797328,0.003451125
Psychodidae,Clubiona sp,0.000494574565217391,0.003451125
Chrysotus cilipes,Tetragnatha sp,0.000265776,0.00353048469444444
Lepidoptera,Tetragnatha sp,0.000250873,0.00353048469444444
Tetrastichus sp,Tetragnatha sp,0.000845167,0.00353048469444444
Acari phyto,Propylaea quatuordecimpunctata,3.45e-05,0.003583266
Gongylidiellum murcidum,Staphylinidae,0.000383458,0.003694438
Helicidae,Staphylinidae,0.083148428,0.003694438
Jassidae,Staphylinidae,0.000732983,0.003694438
Pentatomidae,Staphylinidae,0.002252702,0.003694438
Xysticus sp,Staphylinidae,0.000984555,0.003694438
Pipinculus sp,Dolichopus nubilius,0.000637862,0.003720863
Fulgoroidea,Pirata sp,0.000300523,0.003972767
Hebrus pusillus,Pirata sp,0.003811513,0.003972767
Ligidium hypnorum,Pirata sp,0.003745511,0.003972767
Delphacidae,Paederus riparius,0.000652355,0.004589525
Lathrobium fovalum,Paederus riparius,0.001472575,0.004589525
Pentatomidae,Paederus riparius,0.002252702,0.004589525
Pirata tenuitarsis,Paederus riparius,0.007289163,0.004589525
Staphylinidae,Paederus riparius,0.003694438,0.004589525
Teuchophorus calcaratus,Salticidae,0.000265776,0.0057653479
Delphacidae,Lycosidae,0.000652355,0.00586394428125
Dolichopus nubilius,Larinioides sp,0.003720863,0.006149152
Ilione lineata,Larinioides sp,0.002657759,0.006149152
Euconulus alderi,Dolomedes sp,0.039465254,0.006460064
Herina parva,Dolomedes sp,0.00132888,0.006460064
Limoniidae,Dolomedes sp,0.00156532848275862,0.006460064
Marpissa radiata,Dolomedes sp,0.0186293973333333,0.006460064
Stratiomyidae,Dolomedes sp,0.015946554,0.006460064
Chrysopidae,Tibellus sp,0.000797328,0.007220072
Pentatomidae,Tibellus sp,0.002252702,0.007220072
Sitticus sp,Tibellus sp,0.002763664,0.007220072
Tetramesa sp,Tibellus sp,0.000595338,0.007220072
Jassidae,Pirata latitans,0.000732983,0.007289163
Opilionida,Pirata latitans,0.010951018,0.007289163
Pelochares versicolor,Pirata latitans,0.001492209,0.007289163
Pentatomidae,Pirata latitans,0.002252702,0.007289163
Xysticus sp,Pirata tenuitarsis,0.000984555,0.007289163
Dryops auriculatus,Trochosa sp,0.004000495,0.007289163
Pentatomidae,Trochosa sp,0.002252702,0.007289163
Pirata tenuitarsis,Trochosa sp,0.007289163,0.007289163
Platystethus nodifrons,Trochosa sp,0.000849185,0.007289163
Tetramorium sp,Trochosa sp,0.00132888,0.007289163
Chaetocnema confusa,Araneae,0.001227146,0.010881926
Pelochares versicolor,Araneae,0.001492209,0.010881926
Sciaridae,Araneae,0.000234149,0.010881926
Tetramesa sp,Araneae,0.000595338,0.010881926
Chrysopidae,Pardosa prativaga,0.000797328,0.012609216
Diplocampa assimile,Pardosa prativaga,0.001595289,0.012609216
Erichsonius cinerascens,Pardosa prativaga,0.000245429,0.012609216
Lesteva sicula,Pardosa prativaga,0.001227146,0.012609216
Opilionida,Pardosa prativaga,0.010951018,0.012609216
Diplocampa assimile,Pardosa sp,0.001595289,0.012851037
Pirata sp,Pardosa sp,0.003972767,0.012851037
Aphidoidea,Zygoptera,0.000195462,0.013566418
Cloeon simile,Zygoptera,0.000589844,0.013566418
Drosophilidae,Zygoptera,0.000531552,0.013566418
Lepidoptera,Zygoptera,0.000250873,0.013566418
