Prey,Predator,PreyMass,PredatorMass
forbs,passerines,-999,34
grasses and sedges,passerines,-999,34
mosses,lemmings,-999,44
Rangifer tarandus,lemmings,100000,44
grasses and sedges,Microtus oeconomus,-999,59.1
shorebirds,Mustela erminea,58.6867,134
Lagopus spec. ,Falco spec.,598,763.5
lemmings,Larus spec.,44,812.4675325
arthropods,Larus spec.,0.002,812.4675325
grasses and sedges,waterfowl,-999,944.1746324
mosses,waterfowl,-999,944.1746324
forbs,waterfowl,-999,944.1746324
Microtus oeconomus,Buteo lagopus,59.1,951
forbs,Lepus arcticus,-999,3000
grasses and sedges,Lepus arcticus,-999,3000
Lagopus spec. ,Vulpes lagopus,598,3300
Microtus oeconomus,Vulpes lagopus,59.1,3300
Microtus oeconomus,Vulpes vulpes,59.1,5000
Lagopus spec. ,Vulpes vulpes,598,5000
grasses and sedges,Rangifer tarandus,-999,100000
lichens,Rangifer tarandus,-999,100000
mosses,Rangifer tarandus,-999,100000
