Prey,Predator,PreyMass,PredatorMass
Cryptomonas ovata,Peridinium inconspicuum,4.75e-11,5.6e-08
Cryptomonas erosa,Conochiloides dossuarius,4.75e-11,1.83e-06
Peridinium inconspicuum,Eucyclops agilis,5.6e-08,1e-05
Merismopedia tenuissima,Eucyclops agilis,2.41e-11,1e-05
Dinobryon sp.,Eucyclops agilis,1.36e-09,1e-05
Dinobryon bavaricum,Diaptomus minutus,1.36e-09,1.44e-05
Cryptomonas ovata,copepod nauplii,4.75e-11,0.001812356
Bosmina longirostris,fish fry,1.55e-06,0.016
Chydorus sphaericus,fish fry,2.18e-06,0.016
Conochiloides dossuarius,fish fry,1.83e-06,0.016
Diaptomus leptopus,fish fry,1.01e-05,0.016
Diaptomus minutus,fish fry,1.44e-05,0.016
Keratella testudo,fish fry,1e-08,0.016
copepod nauplii,fish fry,0.001812356,0.016
Salvelinus fontinalis,fish eggs,200,0.0201
