Prey,Predator,PreyMass,PredatorMass
Ampithoidae,Padina pavonica,0.0083,0.000228
Lipophrys pholis,Amphipholis squamata,0.01,0.0016
Amphipholis squamata,Coryphoblennius galerita,0.0016,0.01
Ampithoidae,Coryphoblennius galerita,0.0083,0.01
Ampithoidae,Lipophrys pholis,0.0083,0.01
Polychaeta,Lipophrys pholis,0.01,0.01
Ampithoidae,Liza ramada,0.0083,0.436
Cystoseira abies-marina,Liza ramada,0.000228,0.436
Polychaeta,Liza ramada,0.01,0.436
Coryphoblennius galerita,Liza ramada,0.01,0.436
Cystoseira abies-marina,Pachygrapsus transversus,0.000228,1.14
Gammaridae,Pachygrapsus transversus,0.01,1.14
