Prey,Predator,PreyMass,PredatorMass
Caulerpa scalpelliformis,PhytoP,0.000228,0.0001
Codium decorticatum,PhytoP,0.000228,0.0001
Zooplankton,Sargassum vulgare,0.001,0.000228
Pomacanthus paru,Idotea,1,0.0007
Cinachyrella alloclada,Tanaidacea,0.01,0.0008
Eudistoma vannamei,Tanaidacea,0.01,0.0008
Isaurus sp.,Tanaidacea,0.01,0.0008
Mycale sp.,Tanaidacea,2.42,0.0008
PhytoP,Tanaidacea,0.0001,0.0008
Protopalythoa variabilis,Tanaidacea,0.483,0.0008
Stramonita haemastoma,Tanaidacea,1.1,0.0008
Eudistoma vannamei,Ostracoda,0.01,0.001
Mycale sp.,Ostracoda,2.42,0.001
Phallusia nigra,Ostracoda,0.01,0.001
Protopalythoa variabilis,Ostracoda,0.483,0.001
Zooplankton,Ostracoda,0.001,0.001
Ischnochiton striolatus,Polychaeta,0.01,0.0013
Ophiura sp.,Polychaeta,0.0066,0.0013
Pomacanthus paru,Polychaeta,1,0.0013
Talitridae,Polychaeta,0.014,0.0013
Brachidontes sp.,Gammaridae,0.001,0.0015
Cinachyrella alloclada,Gammaridae,0.01,0.0015
Mycale sp.,Gammaridae,2.42,0.0015
Protopalythoa variabilis,Gammaridae,0.483,0.0015
Sabellidae,Gammaridae,0.002,0.0015
Stramonita haemastoma,Gammaridae,1.1,0.0015
Brachidontes sp.,Eulithidium affine,0.001,0.0025
Cinachyrella alloclada,Eulithidium affine,0.01,0.0025
Eudistoma vannamei,Eulithidium affine,0.01,0.0025
Phallusia nigra,Eulithidium affine,0.01,0.0025
PhytoP,Eulithidium affine,0.0001,0.0025
Protopalythoa variabilis,Eulithidium affine,0.483,0.0025
Sabellidae,Eulithidium affine,0.002,0.0025
Stramonita haemastoma,Eulithidium affine,1.1,0.0025
Brachidontes sp.,Ophiura sp.,0.001,0.0066
Cinachyrella alloclada,Ophiura sp.,0.01,0.0066
Isaurus sp.,Ophiura sp.,0.01,0.0066
Mycale sp.,Ophiura sp.,2.42,0.0066
PhytoP,Ophiura sp.,0.0001,0.0066
Stramonita haemastoma,Ophiura sp.,1.1,0.0066
Brachidontes sp.,Ischnochiton striolatus,0.001,0.01
Brachidontes sp.,Tegula viridula,0.001,0.01
Cinachyrella alloclada,Ischnochiton striolatus,0.01,0.01
Cinachyrella alloclada,Tegula viridula,0.01,0.01
Engina turbinella,Tegula viridula,0.085,0.01
Eudistoma vannamei,Ischnochiton striolatus,0.01,0.01
Eudistoma vannamei,Tegula viridula,0.01,0.01
Isaurus sp.,Ischnochiton striolatus,0.01,0.01
Isaurus sp.,Tegula viridula,0.01,0.01
Mycale sp.,Tegula viridula,2.42,0.01
Phallusia nigra,Ischnochiton striolatus,0.01,0.01
PhytoP,Ischnochiton striolatus,0.0001,0.01
PhytoP,Tegula viridula,0.0001,0.01
Protopalythoa variabilis,Tegula viridula,0.483,0.01
Sabellidae,Ischnochiton striolatus,0.002,0.01
Stramonita haemastoma,Ischnochiton striolatus,1.1,0.01
Stramonita haemastoma,Tegula viridula,1.1,0.01
Zooplankton,Ischnochiton striolatus,0.001,0.01
Clibanarius antillensis,Talitridae,0.221,0.014
Pachygrapsus transversus,Talitridae,0.1,0.014
Pomacanthus paru,Talitridae,1,0.014
Brachidontes sp.,Engina turbinella,0.001,0.085
PhytoP,Engina turbinella,0.0001,0.085
Sabellidae,Engina turbinella,0.002,0.085
Cinachyrella alloclada,Pachygrapsus transversus,0.01,0.1
Eudistoma vannamei,Pachygrapsus transversus,0.01,0.1
Isaurus sp.,Pachygrapsus transversus,0.01,0.1
Mycale sp.,Pachygrapsus transversus,2.42,0.1
PhytoP,Pachygrapsus transversus,0.0001,0.1
Protopalythoa variabilis,Pachygrapsus transversus,0.483,0.1
Brachidontes sp.,Abudefduf saxatilis,0.001,0.86
Eudistoma vannamei,Abudefduf saxatilis,0.01,0.86
Isaurus sp.,Abudefduf saxatilis,0.01,0.86
PhytoP,Abudefduf saxatilis,0.0001,0.86
Polychaeta,Abudefduf saxatilis,0.0013,0.86
Protopalythoa variabilis,Abudefduf saxatilis,0.483,0.86
Sabellidae,Abudefduf saxatilis,0.002,0.86
Brachidontes sp.,Pomacanthus paru,0.001,1
Mycale sp.,Pomacanthus paru,2.42,1
Sabellidae,Pomacanthus paru,0.002,1
Stramonita haemastoma,Pomacanthus paru,1.1,1
Zooplankton,Pomacanthus paru,0.001,1
Brachidontes sp.,Eriphia gonagra,0.001,1.67
Cinachyrella alloclada,Eriphia gonagra,0.01,1.67
Eudistoma vannamei,Eriphia gonagra,0.01,1.67
Isaurus sp.,Eriphia gonagra,0.01,1.67
Mycale sp.,Eriphia gonagra,2.42,1.67
Phallusia nigra,Eriphia gonagra,0.01,1.67
PhytoP,Eriphia gonagra,0.0001,1.67
Protopalythoa variabilis,Eriphia gonagra,0.483,1.67
Sabellidae,Eriphia gonagra,0.002,1.67
Zooplankton,Eriphia gonagra,0.001,1.67
Caulerpa prolifera,Mycale sp.,0.000228,2.42
Zooplankton,Mycale sp.,0.001,2.42
Abudefduf saxatilis,Menippe nodifrons,0.86,5.7
Brachidontes sp.,Menippe nodifrons,0.001,5.7
Cinachyrella alloclada,Menippe nodifrons,0.01,5.7
Eudistoma vannamei,Menippe nodifrons,0.01,5.7
Ophiura sp.,Menippe nodifrons,0.0066,5.7
Phallusia nigra,Menippe nodifrons,0.01,5.7
PhytoP,Menippe nodifrons,0.0001,5.7
Polychaeta,Menippe nodifrons,0.0013,5.7
Sabellidae,Menippe nodifrons,0.002,5.7
