Prey,Predator,PreyMass,PredatorMass
Antithamnion sp.,PhytoP,0.000228,0.0001
Zooplankton,Fabricia stellaris,0.001,0.0002
Chordaria flagelliformis,Polychaeta,0.000228,0.0002
Ralfsia verrucosa,Polychaeta,0.000228,0.0002
Rhodomela lycopodioides,Polychaeta,0.000228,0.0002
Antithamnion sp.,Ralfsia verrucosa,0.000228,0.000228
Antithamnion sp.,Petalonia fascia,0.000228,0.000228
Petalonia fascia,Skeneopsis planorbis,0.000228,0.0003
PhytoP,Harpacticoida,0.0001,0.001
Nematoda,Harpacticoida,0.01,0.001
Antithamnion sp.,Nematoda,0.000228,0.01
Chordaria flagelliformis,Nematoda,0.000228,0.01
Rhodomela lycopodioides,Nematoda,0.000228,0.01
Zooplankton,Nematoda,0.001,0.01
Antithamnion sp.,Littorina obtusata,0.000228,0.0289
Clathromorphum circumscriptum,Balanus crenatus,0.000228,0.0504
Rhodomela lycopodioides,Balanus crenatus,0.000228,0.0504
Petalonia fascia,Gammarus oceanicus,0.000228,0.1592
Ralfsia verrucosa,Gammarus oceanicus,0.000228,0.1592
Rhodomela lycopodioides,Gammarus oceanicus,0.000228,0.1592
Zooplankton,Gammarus oceanicus,0.001,0.1592
Rhodomela lycopodioides,Testudinalia testudinalis,0.000228,0.2924
Zooplankton,Mytilus sp.,0.001,2.6068
