Prey,Predator,PreyMass,PredatorMass
Ostracoda,PhytoP,0.001,0.0001
Phymatolithon calcareum,Halacaridae,0.0002,0.0002
Phymatolithon calcareum,Nematoda,0.0002,0.0002
Ulva lactuca,Nematoda,0.0002,0.0002
Stenothoidae,Nemalion helminthoides,0.0019,0.0002
Nematoda,Insecta,0.0002,0.0002
Ostracoda,Nemalion helminthoides,0.001,0.0002
Furcellaria lumbricalis,Omalogyra atomus,0.0002,0.0003
Phymatolithon calcareum,Omalogyra atomus,0.0002,0.0003
Ostracoda,Amphipholis squamata,0.001,0.0006
Furcellaria lumbricalis,Harparticoida,0.0002,0.001
Nemalion helminthoides,Harparticoida,0.0002,0.001
Ulva lactuca,Harparticoida,0.0002,0.001
Furcellaria lumbricalis,Ostracoda,0.0002,0.001
Nemalion helminthoides,Ostracoda,0.0002,0.001
Phymatolithon calcareum,Ostracoda,0.0002,0.001
Palaemon serratus,Ostracoda,0.01,0.001
Furcellaria lumbricalis,Gammaridae,0.0002,0.0011
Harparticoida,Gammaridae,0.001,0.0011
Nemalion helminthoides,Gammaridae,0.0002,0.0011
Phymatolithon calcareum,Gammaridae,0.0002,0.0011
Furcellaria lumbricalis,Polychaeta,0.0002,0.0012
Gammaridae,Polychaeta,0.0011,0.0012
Phymatolithon calcareum,Polychaeta,0.0002,0.0012
Ulva lactuca,Tanaidacea,0.0002,0.0012
Zooplankton,Tanaidacea,0.001,0.0012
Palaemon serratus,Tanaidacea,0.01,0.0012
Bivalvia,Tanaidacea,0.0017,0.0012
Omalogyra atomus,Tanaidacea,0.0003,0.0012
Ostracoda,Bivalvia,0.001,0.0017
Furcellaria lumbricalis,Stenothoidae,0.0002,0.0019
Gammaridae,Stenothoidae,0.0011,0.0019
Phymatolithon calcareum,Stenothoidae,0.0002,0.0019
Spirorbis spirorbis,Stenothoidae,0.0002,0.0019
Acanthochitona crinita,Stenothoidae,0.01,0.0019
Furcellaria lumbricalis,Barleeia sp.,0.0002,0.0026
Nematoda,Nereis sp.,0.0002,0.0076
Patella vulgata,Nereis sp.,0.01,0.0076
Insecta,Nereis sp.,0.0002,0.0076
Furcellaria lumbricalis,Acanthochitona crinita,0.0002,0.01
Phymatolithon calcareum,Acanthochitona crinita,0.0002,0.01
Harparticoida,Nemertea,0.001,0.01
Stenothoidae,Nemertea,0.0019,0.01
Tanaidacea,Nemertea,0.0012,0.01
Furcellaria lumbricalis,Palaemon serratus,0.0002,0.01
Ostracoda,Palaemon serratus,0.001,0.01
Phymatolithon calcareum,Palaemon serratus,0.0002,0.01
Stenothoidae,Acanthochitona crinita,0.0019,0.01
Furcellaria lumbricalis,Gibbula umbilicalis,0.0002,0.3297
