Prey,Predator,PreyMass,PredatorMass
Cucujidae,Detritus,0.0155,-999
Scheloribates,Detritus,0.000282,-999
Cryptorama minutum,Detritus,0.005,-999
Aedes taeniorhynchus,Detritus,0.0035,-999
Orgygia detrita,Detritus,0.313497562,-999
Tricorynus,Detritus,0.005,-999
Algae,Detritus,8.21e-07,-999
Trochopus plumbeus,Detritus,0.008,-999
Latiblattella,Detritus,0.057932236,-999
Oiketicus abbottii,Detritus,0.071247903,-999
Butorides virescens,Ornitnonyssus bursa,240,3.77e-09
Arunta interclusa,Cheyletia wellsi,0.787365181,4.83e-07
Blissus insularis,Cheyletia wellsi,0.004,4.83e-07
Flatoidinus punctatus,Cheyletia wellsi,0.0115,4.83e-07
Membracidae,Cheyletia wellsi,0.0085,4.83e-07
Neurotmeta breviceps,Cheyletia wellsi,0.008,4.83e-07
Proctolaelaps,Cheyletia wellsi,3.59e-06,4.83e-07
Pseudococcus,Cheyletia wellsi,-999,4.83e-07
Scaphytopius,Cheyletia wellsi,0.0075,4.83e-07
Axelsonia littoralis,Cheyletia wellsi,0.00074676,4.83e-07
Trochopus plumbeus,Arctoseius,0.008,5.3e-07
Kalotermes jouteli,Arctoseius,0.008284363,5.3e-07
Fungi,Asca,4.46244769,5.3e-07
Orgygia detrita,Algae,0.313497562,8.21e-07
Chauliognathus marginatus,Algae,0.0095,8.21e-07
Liothrips,Algae,0.001874225,8.21e-07
Syrphidae,Algae,0.015,8.21e-07
Cryptorama minutum,Algae,0.005,8.21e-07
Detritus,Proctolaelaps,-999,3.59e-06
Tetranychus,Tydeidae,0.000415,0.0002
Dendroica,Tydeidae,8,0.0002
Agelaius phoeniceus,Tydeidae,54.5,0.0002
Butorides virescens,Tydeidae,240,0.0002
Metatropiphorus belfragei,Tydeidae,0.009,0.0002
Carthasis decoratus,Scheloribates,0.009,0.000282
Metapelma schwarzi,Brachymyrmex,0.002300114,0.000398141
Amblyseius,Brachymyrmex,0.0004,0.000398141
Tapinoma littorale,Amblyseius,0.000398141,0.0004
Kalotermes jouteli,Amblyseius,0.008284363,0.0004
Chrysobothris,Amblyseius,0.0136,0.0004
Camponotus planatus,Melittobia chalybii,0.003869709,0.000722205
Camponotus tortuganus,Melittobia chalybii,0.013570258,0.000722205
Crematogaster ashmeadi,Melittobia chalybii,0.001558448,0.000722205
Hypoponera opacior,Melittobia chalybii,0.00114621,0.000722205
Paratrechina bourbonica,Melittobia chalybii,0.00114621,0.000722205
Trochopus plumbeus,Xenomyrmex floridanus,0.008,0.000760079
Arctoseius,Veigaia,5.3e-07,0.000795
Entonyssus,Veigaia,0.021508161,0.000795
Eupodes,Veigaia,6.37e-05,0.000795
Ornitnonyssus bursa,Veigaia,3.77e-09,0.000795
Scheloribates,Veigaia,0.000282,0.000795
Tetranychus,Veigaia,0.000415,0.000795
Tydeidae,Veigaia,0.0002,0.000795
Dolomedes,Actinopteryx fucicola,0.03,0.000866
Scleroderma macrogaster,Poecilipa rhizophorae,0.002300114,0.000875
Metepeira labyrinthea,Probaryconus,0.012,0.000921608
Argyrodes nephilae,Probaryconus,0.0077,0.000921608
Phocides batabano,Probaryconus,1.36330884,0.000921608
Actenodes auronotata,Hypoponera opacior,0.0115,0.00114621
Liothrips,Paratrechina bourbonica,0.001874225,0.00114621
Proctolaelaps,Hypoponera opacior,3.59e-06,0.00114621
Aratus pisonii,Hypoponera opacior,0.311301534,0.00114621
