Prey,Predator,PreyMass,PredatorMass
Cottus gobio,Simulium equinum,3.224488396,0.000162885
Glossiphonia complanata,Serratella ignita,0.046200753,0.000228106
Simulium erythrocephalum,Heremodromia,0.000519977,0.00041201
Heremodromia,Simulium lundstromi,0.00041201,0.000519977
Barbatula barbatula,Hydropsyche pellucidula,8.086210793,0.009010755
Lepidostoma hirtum,Gasterosteus aculeatus,0.001435046,0.755647266
Orectochilus villosus,Gasterosteus aculeatus,0.00920976,0.755647266
Athripsodes,Perca fluviatilis,0.000767652,30.55513463
Athripsodes,Anguilla anguilla,0.000767652,175.4961058
Ithytrichia,Anguilla anguilla,8.85e-05,175.4961058
