Prey,Predator,PreyMass,PredatorMass
Larus delawarensis,Plasmodium sp.,518.5,-999
Leptocottus armatus,Trichodina sp.,28.5679949,-999
Anas crecca,Trematode,338,-657.878030921951
Bucephala albeola,Trematode,401,-657.878030921951
Calidris mauri,Trematode,24.2,-657.878030921951
Upogebia macginitieorum,Orthione griffenis,8.1941841,-570.751789062857
Calidris minutilla,unk a/sm meso,20.9,-480.531643965949
Mergus serrator,cystacanth-fish musc,1040.5,-458.997783783784
Aechmophorus occidentalis,cystacanth-fish b.cav,1314,-406.99757037037
Calidris minutilla,cystacanth-fish b.cav,20.9,-406.99757037037
Egretta alba,cystacanth-fish b.cav,873.5,-406.99757037037
Egretta caerulea,cystacanth-fish b.cav,340,-406.99757037037
Phalacrocorax penicillatus,cystacanth-fish b.cav,2254.5,-406.99757037037
Assiminea californica,Microphallidae,0.00201946,-307.384555899658
Larus californicus,Microphallidae,738,-307.384555899658
Procyon locator,Microphallidae,6000,-307.384555899658
Uca crenulata,Microphallidae,1.86130374,-307.384555899658
Triakis semifasciata,trypanorhynch-grapsid,1314.95447,-302.023196372093
Cyclopoida,Glossocercus sp.,8.28e-06,-226.177147213585
Capitella capitata,Gregarinea,0.00196500903225806,1.13e-06
Clevelandia ios,Pseudophyllidean-fish,0.3380892,5.76e-06
Phytoplankton,Cyclopoida,-999,8.28e-06
Larus delawarensis,renic,518.5,3.6644303030303e-05
Tagelus affinis,Pseudomyicola,5.68175037567568,0.00014392
Fundulus parvipinnis,Spirocamallanus pereirae,0.50501708,0.000906959657358491
Harpacticoida,Spirocamallanus pereirae,5.17e-06,0.000906959657358491
Marine detritus,Oligochaeta,-999,0.00114
Marine detritus,Culex tarsalis,-999,0.00217
Calidris mauri,Aedes taeniorhynchus,24.2,0.0025
Calidris minutilla,Aedes taeniorhynchus,20.9,0.0025
Marine detritus,Aedes taeniorhynchus,-999,0.0025
Austrobilharzia sp.,Polydora nuchalis,0.0275827360363636,0.00263131377358491
Catatropis johnstoni,Polydora nuchalis,0.0197584337142857,0.00263131377358491
Maritrema sp.,Polydora nuchalis,0.00947000790410959,0.00263131377358491
Phocitremoides ovale,Polydora nuchalis,0.0107834963027523,0.00263131377358491
Catatropis johnstoni,Cyathocotylidae,0.0197584337142857,0.00726142462105263
Cerithidea californica,Cyathocotylidae,1.2137299,0.00726142462105263
Clevelandia ios,Cyathocotylidae,0.3380892,0.00726142462105263
Cymatogaster aggregata,Cyathocotylidae,3.67831145,0.00726142462105263
Paralichthys californicus,Cyathocotylidae,35.3681077,0.00726142462105263
Renicola cerithidicola,Cyathocotylidae,0.0158266240047619,0.00726142462105263
Corophiidae,Maritrema sp.,0.00573086,0.00947000790410959
Ephydra,Pardosa sp.,0.0411414346341463,0.01040481
Larus delawarensis,Phocitremoides ovale,518.5,0.0107834963027523
Ceryle alcyon,Stictodora hancocki,147.6,0.011159813699115
Egretta alba,Stictodora hancocki,873.5,0.011159813699115
Fundulus parvipinnis,Stictodora hancocki,0.50501708,0.011159813699115
Larus californicus,Stictodora hancocki,738,0.011159813699115
Paralichthys californicus,Stictodora hancocki,35.3681077,0.011159813699115
Phalacrocorax penicillatus,Stictodora hancocki,2254.5,0.011159813699115
Renicola buchanani,Stictodora hancocki,0.0129577344554455,0.011159813699115
Larus delawarensis,Pygidiopsoides spindalis,518.5,0.0112953385054054
Mesostephanus appendiculatus,Pygidiopsoides spindalis,0.0156212192743363,0.0112953385054054
Recurvirostra americana,Pygidiopsoides spindalis,304.3,0.0112953385054054
Stictodora hancocki,Pygidiopsoides spindalis,0.011159813699115,0.0112953385054054
Tringa melanoleuca,Pygidiopsoides spindalis,165,0.0112953385054054
Calidris minutilla,Acanthoparyphium spinulosum,20.9,0.0128262962727273
Catatropis johnstoni,Acanthoparyphium spinulosum,0.0197584337142857,0.0128262962727273
Larus californicus,Acanthoparyphium spinulosum,738,0.0128262962727273
Macoma nasuta,Acanthoparyphium spinulosum,5.61185038343284,0.0128262962727273
Renicola buchanani,Acanthoparyphium spinulosum,0.0129577344554455,0.0128262962727273
Renicola sp.,Acanthoparyphium spinulosum,0.0203509775324675,0.0128262962727273
Cerithidea californica,Renicola buchanani,1.2137299,0.0129577344554455
Ceryle alcyon,Renicola buchanani,147.6,0.0129577344554455
Mesostephanus appendiculatus,Renicola buchanani,0.0156212192743363,0.0129577344554455
Phalacrocorax penicillatus,Renicola buchanani,2254.5,0.0129577344554455
Podilymbus podiceps,Renicola buchanani,416,0.0129577344554455
Renicola cerithidicola,Renicola buchanani,0.0158266240047619,0.0129577344554455
Catoptrophorus semipalmatus,Mesostephanus appendiculatus,270,0.0156212192743363
Hypsopsetta guttulata,Mesostephanus appendiculatus,24.6492672,0.0156212192743363
Larus delawarensis,Mesostephanus appendiculatus,518.5,0.0156212192743363
Recurvirostra americana,Renicola cerithidicola,304.3,0.0158266240047619
Renicola buchanani,Renicola cerithidicola,0.0129577344554455,0.0158266240047619
Renicola sp.,Renicola cerithidicola,0.0203509775324675,0.0158266240047619
Cerithidea californica,Himasthla rhigedana,1.2137299,0.0161051905660377
Larus californicus,Himasthla rhigedana,738,0.0161051905660377
Renicola sp.,Himasthla rhigedana,0.0203509775324675,0.0161051905660377
Upogebia macginitieorum,Himasthla rhigedana,8.1941841,0.0161051905660377
Calidris mauri,Cloacitrema michiganiensis,24.2,0.016520044159292
Cerithidea californica,Cloacitrema michiganiensis,1.2137299,0.016520044159292
Larus californicus,Cloacitrema michiganiensis,738,0.016520044159292
Pachygrapsus crassipes,Cloacitrema michiganiensis,8.2920462,0.016520044159292
Ardea herodius,Euhaplorchis californiensis,2400,0.0176184099518072
Calidris alpina,Euhaplorchis californiensis,51.45,0.0176184099518072
Hemigrapsus oregonensis,Parorchis acanthus,1.16850119,0.019181136
Macoma nasuta,Parorchis acanthus,5.61185038343284,0.019181136
Renicola sp.,Parorchis acanthus,0.0203509775324675,0.019181136
Calidris alpina,Catatropis johnstoni,51.45,0.0197584337142857
Cerithidea californica,Catatropis johnstoni,1.2137299,0.0197584337142857
Mesostephanus appendiculatus,Catatropis johnstoni,0.0156212192743363,0.0197584337142857
Renicola sp.,Catatropis johnstoni,0.0203509775324675,0.0197584337142857
Acanthoparyphium spinulosum,Himasthla B,0.0128262962727273,0.0200449314772727
Anas platyrhynchos,Himasthla B,1186.5,0.0200449314772727
Catatropis johnstoni,Himasthla B,0.0197584337142857,0.0200449314772727
Charadrius semipalmatus,Himasthla B,46.95,0.0200449314772727
Limnodromus scilopaceus,Himasthla B,104.5,0.0200449314772727
Probolocoryphe species A,Himasthla B,0.0348604629263158,0.0200449314772727
Capitella capitata,Renicola sp.,0.00196500903225806,0.0203509775324675
Larus californicus,Austrobilharzia sp.,738,0.0275827360363636
Stictodora hancocki,Austrobilharzia sp.,0.011159813699115,0.0275827360363636
Procyon locator,Probolocoryphe species A,6000,0.0348604629263158
Phytoplankton,Cryptomya californica,-999,0.168073727368421
Catatropis johnstoni,Clevelandia ios,0.0197584337142857,0.3380892
Corophiidae,Clevelandia ios,0.00573086,0.3380892
Nuttallia nuttallii,Clevelandia ios,38.6265448405405,0.3380892
Aedes taeniorhynchus,Fundulus parvipinnis,0.0025,0.50501708
Catatropis johnstoni,Fundulus parvipinnis,0.0197584337142857,0.50501708
Culex tarsalis,Fundulus parvipinnis,0.00217,0.50501708
Ephydra,Fundulus parvipinnis,0.0411414346341463,0.50501708
Glossocercus sp.,Fundulus parvipinnis,-226.177147213585,0.50501708
Nemertean,Fundulus parvipinnis,0.00162242,0.50501708
Parvatrema sp.,Fundulus parvipinnis,1.6659756097561e-06,0.50501708
tetraphyllidean-fish,Fundulus parvipinnis,-245.037708301887,0.50501708
Diptera,Hemigrapsus oregonensis,0.008395168,1.16850119
Tagelus affinis,Hemigrapsus oregonensis,5.68175037567568,1.16850119
carrion-detritus,Hemigrapsus oregonensis,-999,1.16850119
Cyclopoida,Atherinops affinis,8.28e-06,2.59261677
Glossocercus sp.,Atherinops affinis,-226.177147213585,2.59261677
Marine detritus,Atherinops affinis,-999,2.59261677
Glossocercus sp.,Cymatogaster aggregata,-226.177147213585,3.67831145
Harpacticoida,Cymatogaster aggregata,5.17e-06,3.67831145
tetraphyllidean-fish,Cymatogaster aggregata,-245.037708301887,3.67831145
Marine detritus,Neotrypaea californiensis,-999,4.74904783
Phytoplankton,Neotrypaea californiensis,-999,4.74904783
Acanthoparyphium spinulosum,Macoma nasuta,0.0128262962727273,5.61185038343284
Hysterolecitha trilocalis,Macoma nasuta,-446.361116125106,5.61185038343284
Parorchis acanthus,Macoma nasuta,0.019181136,5.61185038343284
Phocitremoides ovale,Macoma nasuta,0.0107834963027523,5.61185038343284
Renicola sp.,Macoma nasuta,0.0203509775324675,5.61185038343284
Trematode,Macoma nasuta,-657.878030921951,5.61185038343284
renic,Macoma nasuta,3.6644303030303e-05,5.61185038343284
unk a/sm meso,Macoma nasuta,-480.531643965949,5.61185038343284
unk c,Macoma nasuta,-624.3749993625,5.61185038343284
Acanthoparyphium spinulosum,Tagelus affinis,0.0128262962727273,5.68175037567568
Austrobilharzia sp.,Tagelus affinis,0.0275827360363636,5.68175037567568
Cryptomya californica,Tagelus affinis,0.168073727368421,5.68175037567568
Hemiuridae,Tagelus affinis,-411.347741070588,5.68175037567568
Himasthla rhigedana,Tagelus affinis,0.0161051905660377,5.68175037567568
Macoma secta,Tagelus affinis,22.6431035368421,5.68175037567568
Maritrema sp.,Tagelus affinis,0.00947000790410959,5.68175037567568
Microphallidae,Tagelus affinis,-307.384555899658,5.68175037567568
Trematode,Tagelus affinis,-657.878030921951,5.68175037567568
renic,Tagelus affinis,3.6644303030303e-05,5.68175037567568
Glossocercus sp.,Upogebia macginitieorum,-226.177147213585,8.1941841
Phytoplankton,Tagelus subteres,-999,8.25127473873016
Tagelus californianus,Pachygrapsus crassipes,17.3660391540541,8.2920462
Phytoplankton,Protothaca staminea,-999,15.4362070862069
unk a/sm meso,Tagelus californianus,-480.531643965949,17.3660391540541
Glossocercus sp.,Gillichthys mirabilis,-226.177147213585,19.4152654
Harpacticoida,Gillichthys mirabilis,5.17e-06,19.4152654
Renicola buchanani,Gillichthys mirabilis,0.0129577344554455,19.4152654
Thalassinidea,Gillichthys mirabilis,0.00011485,19.4152654
Trichocorixia sp.,Gillichthys mirabilis,0.00360519,19.4152654
Ephydra,Calidris minutilla,0.0411414346341463,20.9
Glossocercus sp.,Calidris minutilla,-226.177147213585,20.9
green gammaridean,Calidris minutilla,0.00461043,20.9
Austrobilharzia sp.,Macoma secta,0.0275827360363636,22.6431035368421
Hemiuridae,Macoma secta,-411.347741070588,22.6431035368421
Microphallidae,Macoma secta,-307.384555899658,22.6431035368421
Stictodora hancocki,Macoma secta,0.011159813699115,22.6431035368421
Tagelus subteres,Macoma secta,8.25127473873016,22.6431035368421
unk a/sm meso,Macoma secta,-480.531643965949,22.6431035368421
Cloacitrema michiganiensis,Calidris mauri,0.016520044159292,24.2
Corophiidae,Calidris mauri,0.00573086,24.2
Ephydra,Calidris mauri,0.0411414346341463,24.2
Probolocoryphe species A,Calidris mauri,0.0348604629263158,24.2
Nematoda,Hypsopsetta guttulata,0.0001045,24.6492672
Neotrypaea californiensis,Hypsopsetta guttulata,4.74904783,24.6492672
Nuttallia nuttallii,Hypsopsetta guttulata,38.6265448405405,24.6492672
Orthione griffenis,Hypsopsetta guttulata,-570.751789062857,24.6492672
Picornavirus,Hypsopsetta guttulata,-999,24.6492672
Portunion conformis,Hypsopsetta guttulata,0.0289158,24.6492672
Renicola cerithidicola,Hypsopsetta guttulata,0.0158266240047619,24.6492672
Spirocamallanus pereirae,Hypsopsetta guttulata,0.000906959657358491,24.6492672
Tagelus affinis,Hypsopsetta guttulata,5.68175037567568,24.6492672
Thalassinidea,Hypsopsetta guttulata,0.00011485,24.6492672
renic,Hypsopsetta guttulata,3.6644303030303e-05,24.6492672
tetraphyllidean larva,Hypsopsetta guttulata,-432.89995172,24.6492672
trypanorhynch-fish,Hypsopsetta guttulata,-295.158790631818,24.6492672
Henneguya,Acanthogobius flavimanus,-999,26.9388716
Pachygrapsus crassipes,Acanthogobius flavimanus,8.2920462,26.9388716
Portunion conformis,Acanthogobius flavimanus,0.0289158,26.9388716
Fundulus parvipinnis,Leptocottus armatus,0.50501708,28.5679949
Glossocercus sp.,Leptocottus armatus,-226.177147213585,28.5679949
Gregarinea,Leptocottus armatus,1.13e-06,28.5679949
Maritrema sp.,Leptocottus armatus,0.00947000790410959,28.5679949
Neotrypaea californiensis,Leptocottus armatus,4.74904783,28.5679949
Acanthoparyphium spinulosum,Nuttallia nuttallii,0.0128262962727273,38.6265448405405
Parorchis acanthus,Nuttallia nuttallii,0.019181136,38.6265448405405
Phocitremoides ovale,Nuttallia nuttallii,0.0107834963027523,38.6265448405405
Saxidomus nuttalli,Nuttallia nuttallii,131.135718042857,38.6265448405405
renic,Nuttallia nuttallii,3.6644303030303e-05,38.6265448405405
Acteocina inculta,Actitis macularia,0.00735517,44.1
Cerithidea californica,Actitis macularia,1.2137299,44.1
Corophiidae,Actitis macularia,0.00573086,44.1
Diptera,Actitis macularia,0.008395168,44.1
Hysterolecitha trilocalis,Actitis macularia,-446.361116125106,44.1
Polydora nuchalis,Actitis macularia,0.00263131377358491,44.1
Pseudomyicola,Actitis macularia,0.00014392,44.1
Stictodora hancocki,Actitis macularia,0.011159813699115,44.1
Maritrema sp.,Charadrius semipalmatus,0.00947000790410959,46.95
Oligochaeta,Charadrius semipalmatus,0.00114,46.95
Polydora nuchalis,Calidris alpina,0.00263131377358491,51.45
Oniscidea,Charadrius vociferus,0.00242802,95
