Prey,Predator,PreyMass,PredatorMass
Eunotia exigua,Oxyethira,3.8e-10,0.000100273
Fragilaria,Oxyethira,5.79e-10,0.000100273
CPOM,Chironomidae,-999,0.000118741
FPOM,Chironomidae,-999,0.000118741
Tabellaria flocculosa,Chironomidae,1.06e-09,0.000118741
Tabellaria flocculosa,Ceratopogonidae,1.06e-09,0.000125872
Fragilaria,Amphinemura sulcicollis,5.79e-10,0.000247488
Eunotia exigua,Baetis vernus,3.8e-10,0.00028359
Simuliidae,Dicranota,0.000382314,0.000335431
CPOM,Baetis rhodani,-999,0.000477693
FPOM,Baetis rhodani,-999,0.000477693
Siphonoperla torrentium,Tanypodinae,0.000737973,0.00051759
Eunotia exigua,Tinodes waeneri,3.8e-10,0.000520258
Fragilaria,Tinodes waeneri,5.79e-10,0.000520258
Oligochaeta,Siphonoperla torrentium,0.000208159,0.000737973
Tanypodinae,Siphonoperla torrentium,0.00051759,0.000737973
Eunotia,Tipulidae,6.7e-10,0.000891767
Dicranota,Plectrocnemia conspersa,0.000335431,0.002630228
Baetis rhodani,Cordulegaster boltonii,0.000477693,0.017875364
Dicranota,Cordulegaster boltonii,0.000335431,0.017875364
Dicranota,Salmo trutta,0.000335431,9.878923935
Halesus radiatus,Salmo trutta,0.001671464,9.878923935
Oligochaeta,Salmo trutta,0.000208159,9.878923935
